Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
22	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	Dragons	Sharks
16	Interchange	28:00	-	-	-	-	-	-	-	-	18	9	66	-	22	-	-	-	-	-	9	-	3.77s	-	-	-	-	-	1	11	0.11	100%	16	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	27:59	-	7	Sea Eagles	Storm
16	Interchange	19:00	-	-	-	-	-	-	-	-	15	5	48	-	10	-	-	-	-	-	5	-	3.13s	-	-	-	-	-	1	6	0.2	93.75%	15	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	1	-	-	19:22	-	8	Sea Eagles	Wests Tigers
17	Interchange	40:00	-	-	-	-	-	-	-	-	40	12	105	-	30	-	-	-	-	-	11	-	2.89s	-	-	-	-	1	4	15	0.33	94.44%	34	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39:57	-	10	Sea Eagles	Broncos
17	Interchange	44:00	-	-	-	-	-	-	-	-	37	15	140	-	46	-	-	-	-	1	14	-	3.52s	-	-	-	1	1	4	18	0.27	88.46%	23	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	44:08	-	11	Sea Eagles	Sharks
18	Interchange	37:00	-	-	-	-	-	-	-	-	37	7	59	-	19	-	-	-	-	-	6	-	2.73s	-	-	-	-	-	5	11	0.71	96.97%	32	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36:28	-	16	Sea Eagles	Eels
16	Lock	54:00	-	-	-	-	-	-	-	-	41	12	92	-	37	-	-	-	-	1	12	-	3.08s	-	-	-	2	-	5	17	0.42	95.83%	23	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	28:57	25:06	17	Sea Eagles	Storm
17	Interchange	29:00	-	-	-	-	-	-	-	-	26	7	53	-	20	-	-	-	-	-	7	-	3.33s	-	-	-	1	1	4	11	0.57	100%	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	29:37	-	18	Sea Eagles	Roosters
15	Interchange	26:00	-	-	-	-	-	-	-	-	12	6	51	-	18	-	-	-	-	-	6	-	3.74s	-	-	-	-	-	-	6	-	90.91%	10	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	26:18	-	20	Sea Eagles	Cowboys
15	Interchange	32:00	-	-	-	-	-	-	-	-	20	8	92	-	43	-	-	-	-	-	8	-	2.95s	-	-	-	1	-	1	10	0.13	79.17%	19	5	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	21:13	10:24	21	Sea Eagles	Sharks
15	Interchange	14:00	-	-	-	-	-	-	-	-	9	3	30	-	15	-	-	-	-	-	3	-	3.36s	-	-	-	-	-	1	5	0.33	88.89%	8	-	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	14:00	-	22	Sea Eagles	Dragons
