Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
15	Interchange	55:00	-	-	-	-	-	-	-	-	29	13	101	-	30	-	-	-	-	-	13	-	3.99s	-	-	-	-	-	3	16	0.23	80.95%	34	6	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	43:12	11:55	1	Knights	Warriors
16	Interchange	35:00	-	-	-	-	-	-	-	-	40	7	30	-	8	-	-	-	-	1	6	-	3.96s	1	1	-	2	-	1	8	0.14	93.94%	31	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:16	06:58	11	Knights	Titans
16	Interchange	50:00	-	-	-	-	-	-	-	-	44	14	102	-	26	-	-	-	-	1	13	-	2.94s	-	-	-	4	2	5	18	0.36	85.71%	30	5	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	50:00	-	12	Knights	Sharks
13	Lock	64:00	-	-	-	-	-	-	-	-	27	16	101	-	19	-	1	-	-	1	12	-	3.86s	-	-	-	-	3	12	24	0.75	88.46%	23	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	53:25	10:27	13	Knights	Sea Eagles
13	Lock	38:00	-	-	-	-	-	-	-	-	27	10	74	-	8	-	-	-	-	1	10	-	3.79s	-	-	-	-	-	-	11	-	78.13%	25	3	4	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	29:50	08:29	15	Knights	Broncos
13	Lock	68:00	-	-	-	-	-	-	-	-	53	15	132	-	34	-	-	-	-	-	11	-	3.41s	-	-	-	-	-	8	19	0.53	89.66%	52	5	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	34:43	23:21	16	Knights	Roosters
13	Lock	67:00	-	-	-	-	-	-	-	-	33	14	104	-	21	-	-	-	-	3	10	-	4.06s	-	-	-	2	-	17	28	1.21	74%	37	12	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	67:26	-	17	Knights	Panthers
13	Lock	31:00	-	-	-	-	-	-	-	-	38	10	83	-	33	-	-	-	-	6	9	-	3.91s	-	-	-	1	2	5	14	0.5	94.12%	16	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	31:02	-	18	Knights	Bulldogs
13	Lock	60:00	-	-	-	-	-	-	-	-	46	22	169	-	56	-	-	-	-	2	16	-	4.19s	-	-	-	-	2	10	25	0.45	89.66%	26	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	47:53	12:31	20	Knights	Wests Tigers
13	Lock	47:00	-	-	-	-	-	-	-	-	33	11	78	-	27	-	-	-	-	2	9	-	3.56s	1	10	-	-	3	5	16	0.45	85.71%	30	2	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	1	-	-	28:50	18:19	21	Knights	Storm
13	Lock	42:00	-	-	-	-	-	-	-	-	47	13	95	-	20	-	-	-	-	4	7	-	3.93s	-	-	-	2	-	11	19	0.85	96.15%	25	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	31:28	11:18	22	Knights	Raiders
