Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
2	Winger	80:00	-	-	-	-	-	-	-	-	26	11	103	24	18	1	-	-	-	1	-	-	4.36s	2	22	-	-	-	3	14	0.27	100%	8	-	-	-	1	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	1	Rabbitohs	Sharks
2	Winger	80:00	4	1	-	-	-	-	-	-	40	12	129	-	21	1	-	-	-	3	-	-	3.47s	-	-	-	1	-	6	19	0.5	100%	4	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	2	Rabbitohs	Panthers
2	Winger	80:00	4	1	-	-	-	-	-	-	40	10	103	35	10	2	-	-	-	4	-	-	4s	2	14	-	-	-	2	13	0.2	77.78%	7	2	-	-	1	1	-	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	3	Rabbitohs	Roosters
2	Winger	82:00	-	-	-	-	-	-	-	-	24	11	113	56	15	1	-	-	-	5	-	-	3.75s	-	-	-	-	-	2	15	0.18	75%	3	1	-	-	2	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	82:00	-	4	Rabbitohs	Sea Eagles
2	Winger	73:00	-	-	-	-	-	-	-	-	26	15	141	28	29	-	-	-	-	3	-	-	3.54s	-	-	-	2	-	5	21	0.33	85.71%	6	1	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	73:00	-	5	Rabbitohs	Storm
2	Winger	80:00	4	1	-	-	-	-	-	-	27	9	100	19	28	1	-	-	-	-	-	-	3.07s	-	-	-	1	-	5	15	0.56	50%	1	-	1	-	-	1	17	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	7	Rabbitohs	Dolphins
2	Winger	80:00	-	-	-	-	-	-	-	-	49	19	166	8	31	3	1	-	-	4	-	-	3.87s	-	-	-	2	1	7	25	0.37	100%	3	-	-	-	4	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	8	Rabbitohs	Panthers
2	Winger	80:00	-	-	-	-	-	-	-	-	17	10	110	42	24	2	-	-	-	1	-	-	4.16s	-	-	-	-	-	5	20	0.5	100%	2	-	-	-	2	-	-	-	-	-	-	-	-	-	3	4	-	1	-	-	-	-	-	80:00	-	9	Rabbitohs	Broncos
2	Winger	80:00	8	2	-	-	-	-	-	-	40	10	87	20	13	3	-	-	-	2	1	-	4.12s	-	-	-	-	-	3	16	0.3	66.67%	2	1	-	-	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	10	Rabbitohs	Storm
2	Winger	80:00	-	-	-	-	-	-	-	-	24	15	150	66	30	1	-	-	-	-	-	-	3.71s	-	-	-	-	-	4	20	0.27	100%	5	-	-	-	2	1	13	-	-	-	-	-	1	-	1	1	-	-	-	-	-	-	-	80:00	-	11	Rabbitohs	Wests Tigers
