Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
15	Lock	68:00	-	-	-	-	-	-	-	-	61	12	106	-	35	-	-	-	-	1	11	-	4.22s	-	-	-	1	1	4	15	0.33	100%	45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	67:54	-	1	Wests Tigers	Titans
17	Interchange	53:00	-	-	-	-	-	-	-	-	54	13	113	-	43	-	-	-	-	-	13	-	3.49s	-	-	-	1	1	1	14	0.08	97.87%	46	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	1	-	-	-	-	52:52	-	2	Wests Tigers	Knights
15	Interchange	49:00	-	-	-	-	-	-	-	-	40	13	134	-	45	-	-	-	-	1	12	-	3.08s	-	-	-	-	3	2	15	0.15	96.67%	29	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	48:24	-	3	Wests Tigers	Bulldogs
15	Interchange	42:00	-	-	-	-	-	-	-	-	34	10	89	-	40	-	-	-	-	-	10	-	3.91s	-	-	-	-	-	1	11	0.1	100%	26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	42:05	-	4	Wests Tigers	Storm
15	Prop	43:00	-	-	-	-	-	-	-	-	39	10	82	8	26	-	-	-	-	-	9	-	3.06s	-	-	-	1	-	-	10	-	87.88%	29	1	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:59	20:55	5	Wests Tigers	Broncos
15	Interchange	24:00	-	-	-	-	-	-	-	-	31	5	55	15	20	-	-	-	-	1	4	-	2.86s	-	-	-	-	-	1	6	0.2	100%	24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:18	-	6	Wests Tigers	Eels
16	Interchange	48:00	-	-	-	-	-	-	-	-	51	15	147	28	32	-	-	-	-	4	13	-	3.29s	-	-	-	2	1	5	20	0.33	87.5%	21	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	48:02	-	8	Wests Tigers	Sea Eagles
16	Interchange	55:00	-	-	-	-	-	-	-	-	59	16	173	19	67	-	-	-	-	-	15	-	3.17s	-	-	-	-	2	2	19	0.13	100%	36	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	55:00	-	9	Wests Tigers	Panthers
16	Interchange	56:00	-	-	-	-	-	-	-	-	55	14	134	-	44	-	-	-	-	-	14	-	3.01s	-	-	-	-	2	3	17	0.21	97.78%	44	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	56:46	-	10	Wests Tigers	Dragons
16	Interchange	50:00	-	-	-	-	-	-	-	-	42	11	118	-	47	-	-	-	-	-	11	-	3.19s	-	-	-	-	1	5	16	0.45	92.5%	37	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	50:01	-	11	Wests Tigers	Rabbitohs
