Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
23	Interchange	35:00	-	-	-	-	-	-	-	-	26	6	56	-	24	-	-	-	-	1	6	-	3.25s	-	-	-	-	2	3	9	0.5	100%	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25:56	08:15	7	Bulldogs	Eels
16	Interchange	36:00	-	-	-	-	-	-	-	-	25	7	47	-	20	-	-	-	-	-	7	-	3.86s	-	-	-	-	-	3	10	0.43	94.74%	18	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35:37	-	8	Bulldogs	Sharks
12	2nd Row	66:00	4	1	-	-	-	-	-	-	48	10	89	-	29	-	-	-	-	1	9	-	3.18s	-	-	-	1	-	1	11	0.1	93.33%	28	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57:56	07:35	10	Eels	Titans
12	2nd Row	80:00	-	-	-	-	-	-	-	-	51	9	83	-	37	-	-	-	-	1	9	-	3.45s	-	-	-	-	-	-	9	-	97.56%	40	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	-	-	-	80:00	-	11	Eels	Raiders
12	2nd Row	05:00	-	-	-	-	-	-	-	-	3	2	14	-	1	-	-	-	-	-	2	-	4.7s	-	-	-	-	-	-	2	-	100%	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	05:00	-	12	Eels	Rabbitohs
12	2nd Row	56:00	-	-	-	-	-	-	-	-	32	10	82	-	28	-	-	-	-	3	10	-	3.03s	-	-	-	1	-	1	12	0.1	82.76%	24	3	2	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	56:19	-	15	Eels	Bulldogs
12	2nd Row	80:00	-	-	-	-	-	-	-	-	43	14	127	-	38	-	-	-	-	3	14	-	3.92s	-	-	-	1	-	-	14	-	91.67%	22	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	16	Eels	Sea Eagles
12	2nd Row	54:00	4	1	-	-	-	-	-	-	41	9	93	-	21	1	-	-	-	1	9	-	3.6s	-	-	-	-	-	-	9	-	100%	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54:09	-	17	Eels	Dolphins
12	2nd Row	56:00	-	-	-	-	-	-	-	-	27	4	30	-	11	-	-	-	-	1	4	-	3.13s	-	-	-	-	-	-	5	-	96.77%	30	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	1	-	-	49:41	06:06	19	Eels	Warriors
16	Interchange	19:00	-	-	-	-	-	-	-	-	15	5	56	-	22	-	-	-	-	1	5	-	3.03s	-	-	-	-	-	-	5	-	90.91%	10	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:24	-	20	Eels	Titans
16	Interchange	28:00	-	-	-	-	-	-	-	-	19	6	40	-	13	-	-	-	-	2	6	-	3.18s	-	-	-	2	-	-	6	-	84.62%	11	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	28:00	-	21	Eels	Cowboys
11	2nd Row	61:00	-	-	-	-	-	-	-	-	31	4	26	-	10	-	1	-	-	-	4	-	3.67s	-	-	-	1	-	-	4	-	83.33%	25	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	60:34	-	22	Eels	Storm
