Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
9	Interchange	46:00	-	-	-	-	-	-	-	-	15	4	40	-	2	-	-	-	-	-	-	-	4.24s	1	14	-	-	2	60	60	15	76.67%	23	6	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	46:02	-	1	Wests Tigers	Titans
9	Hooker	68:00	-	-	-	-	-	-	-	-	54	14	108	-	19	-	1	1	-	1	4	-	3.96s	10	83	-	2	3	100	109	7.14	91.49%	43	4	-	-	-	1	2	-	-	1	-	-	-	-	1	1	-	1	-	-	-	-	-	46:52	21:06	2	Wests Tigers	Knights
9	Hooker	80:00	-	-	-	-	-	-	-	-	52	17	125	-	10	-	-	-	-	2	-	-	3.03s	11	88	-	1	3	114	120	6.71	86.27%	44	6	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	3	Wests Tigers	Bulldogs
9	Hooker	80:00	4	1	-	-	-	-	-	-	41	6	31	-	-	-	-	-	-	-	-	-	-	6	31	-	1	2	121	127	20.17	79.63%	43	9	2	-	-	2	45	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	4	Wests Tigers	Storm
9	Hooker	54:00	-	-	-	-	-	-	-	-	27	1	18	-	8	-	-	-	-	-	-	-	2.2s	1	18	-	-	1	54	55	54	92.86%	26	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	53:54	-	5	Wests Tigers	Broncos
9	Hooker	80:00	-	-	-	1	-	-	-	-	55	11	63	-	17	-	-	-	-	3	2	-	3.36s	6	32	-	3	13	123	131	11.18	88.1%	37	4	1	-	-	1	19	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Wests Tigers	Eels
9	Hooker	80:00	4	1	-	-	-	-	-	-	55	10	65	-	20	1	-	-	-	2	2	-	3.42s	8	50	-	1	7	138	150	13.8	84.78%	39	7	-	-	-	4	77	-	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	8	Wests Tigers	Sea Eagles
9	Hooker	60:00	-	-	-	-	-	-	-	-	56	7	74	-	17	1	-	-	-	4	-	-	3.98s	7	74	-	1	11	106	114	15.14	91.18%	31	3	-	-	-	3	73	1	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	44:44	15:45	9	Wests Tigers	Panthers
9	Hooker	68:00	-	-	-	-	-	-	-	-	25	8	60	-	20	-	-	-	-	1	-	-	3.31s	8	60	-	-	6	114	119	14.25	86.11%	31	5	-	-	-	1	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	49:50	17:59	10	Wests Tigers	Dragons
9	Hooker	61:00	-	-	-	-	-	-	-	-	29	3	26	-	7	-	-	-	-	-	1	-	3.68s	2	20	-	-	5	89	91	29.67	84.78%	39	6	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31:23	29:34	11	Wests Tigers	Rabbitohs
9	Hooker	80:00	4	-	2	2	-	100%	-	-	59	6	32	1	6	-	3	3	-	1	-	-	4.88s	4	26	-	1	6	132	137	22	87.18%	34	5	-	-	-	1	38	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	12	Wests Tigers	Cowboys
9	Interchange	58:00	-	-	-	-	-	-	-	-	32	10	77	-	17	-	1	-	-	1	1	-	2.93s	9	68	-	-	5	81	88	8.1	93.94%	31	2	-	-	-	-	-	-	-	-	-	-	-	-	2	1	-	1	-	-	-	-	-	58:00	-	14	Wests Tigers	Raiders
9	Hooker	15:00	-	-	-	-	-	-	-	-	11	1	13	-	5	-	-	-	-	-	-	-	3.68s	1	13	-	-	-	16	17	16	92.31%	12	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14:57	-	15	Wests Tigers	Titans
9	Hooker	59:00	4	1	-	-	-	-	-	-	35	6	77	-	19	-	-	-	-	1	1	-	2.92s	4	51	-	-	-	61	67	10.17	80.49%	33	8	-	-	-	1	52	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45:02	14:24	20	Wests Tigers	Knights
9	Hooker	68:00	4	1	-	-	-	-	-	-	52	13	96	-	12	-	-	-	-	-	-	-	3.79s	10	75	-	-	1	106	110	8.15	88.1%	37	4	1	-	-	2	65	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54:24	13:18	21	Wests Tigers	Dragons
9	Hooker	80:00	8	1	2	2	-	100%	-	-	73	4	31	-	3	1	1	1	-	-	2	-	2.92s	1	8	-	-	3	99	107	24.75	87.04%	47	5	2	-	-	3	120	-	-	1	-	-	-	-	2	2	-	1	1	-	-	-	-	80:00	-	22	Wests Tigers	Rabbitohs
