Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
17	Interchange	62:00	-	-	-	-	-	-	-	-	33	5	56	-	19	-	-	-	-	1	5	-	4.78s	-	-	1	-	-	-	5	-	93.75%	30	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	62:00	-	1	Wests Tigers	Titans
15	2nd Row	80:00	4	1	-	-	-	-	-	-	48	9	85	-	17	1	-	-	-	2	4	-	3.67s	-	-	-	-	-	4	12	0.44	90.32%	28	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	2	Wests Tigers	Knights
11	2nd Row	54:00	-	-	-	-	-	-	-	-	40	9	72	-	30	-	-	-	-	1	9	-	3.49s	-	-	-	1	1	2	13	0.22	96.3%	26	-	1	-	1	-	-	-	-	-	-	-	-	-	1	2	-	1	-	-	-	-	-	53:32	-	3	Wests Tigers	Bulldogs
4	Centre	80:00	4	1	-	-	-	-	-	-	38	13	126	-	48	1	-	-	-	2	-	-	3.26s	-	-	-	-	1	10	22	0.77	80%	12	1	2	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	4	Wests Tigers	Storm
4	Centre	80:00	-	-	-	-	-	-	-	-	15	7	82	-	19	-	2	-	-	-	-	-	3.41s	-	-	-	1	-	9	16	1.29	68.75%	11	5	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	5	Wests Tigers	Broncos
2	Winger	80:00	4	1	-	-	-	-	-	-	36	11	103	-	30	-	1	-	-	7	-	-	2.81s	-	-	-	-	1	2	14	0.18	87.5%	7	1	-	-	1	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	6	Wests Tigers	Eels
4	Centre	48:00	-	-	-	-	-	-	-	-	14	6	48	-	11	-	-	-	-	-	-	-	4.19s	-	-	-	-	-	1	6	0.17	71.43%	10	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47:35	-	8	Wests Tigers	Sea Eagles
17	2nd Row	69:00	-	-	-	-	-	-	-	-	26	8	66	-	23	-	1	-	-	4	7	-	2.82s	-	-	-	1	-	1	10	0.13	75%	18	5	1	-	-	1	23	-	-	1	-	-	-	-	-	-	-	3	-	-	-	-	-	69:00	-	10	Wests Tigers	Dragons
17	Interchange	21:00	-	-	-	-	-	-	-	-	15	3	41	-	21	-	-	-	-	-	-	-	3.92s	-	-	-	-	-	-	3	-	66.67%	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:00	-	11	Wests Tigers	Rabbitohs
17	Interchange	24:00	-	-	-	-	-	-	-	-	11	8	78	-	42	-	-	-	-	1	-	-	3.42s	-	-	-	-	-	2	9	0.25	100%	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:00	-	12	Wests Tigers	Cowboys
17	Interchange	30:00	-	-	-	-	-	-	-	-	14	3	25	-	9	-	-	-	-	1	3	-	4.25s	-	-	-	-	-	-	4	-	100%	12	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	30:00	-	14	Wests Tigers	Raiders
17	Interchange	26:00	-	-	-	-	-	-	-	-	17	4	39	-	17	-	-	-	-	-	2	-	4.05s	-	-	-	1	-	-	4	-	88.89%	8	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:00	-	15	Wests Tigers	Titans
4	Centre	80:00	-	-	-	-	-	-	-	-	33	13	127	-	31	-	1	-	-	5	-	-	3.07s	-	-	-	3	1	8	19	0.62	69.23%	9	4	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	16	Wests Tigers	Storm
17	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	Wests Tigers	Cowboys
2	Winger	80:00	-	-	-	-	-	-	-	-	12	13	86	-	25	-	-	-	-	-	-	-	3.33s	-	-	-	1	-	2	17	0.15	66.67%	2	1	-	-	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	19	Wests Tigers	Sharks
2	Winger	80:00	-	-	-	-	-	-	-	-	11	12	118	9	40	1	-	-	-	1	-	-	2.96s	-	-	-	-	1	4	13	0.33	50%	4	4	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	20	Wests Tigers	Knights
21	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	Wests Tigers	Dragons
