Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
15	Interchange	17:00	-	-	-	-	-	-	-	-	11	4	37	-	19	-	-	-	-	-	4	-	3.94s	-	-	-	-	-	1	5	0.25	85.71%	12	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	05:44	10:48	1	Raiders	Cowboys
15	Interchange	24:00	-	-	-	-	-	-	-	-	34	6	75	-	27	-	-	-	-	2	6	-	3.35s	-	-	-	-	-	-	7	-	100%	27	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	1	-	-	15:26	08:46	2	Raiders	Dolphins
17	Interchange	15:00	-	-	-	-	-	-	-	-	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100%	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15:00	-	10	Raiders	Bulldogs
17	Interchange	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	Raiders	Eels
17	Interchange	17:00	4	1	-	-	-	-	-	-	25	6	68	18	10	1	-	-	-	2	5	-	3.35s	-	-	-	-	-	-	6	-	87.5%	7	-	1	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	17:00	-	12	Raiders	Sea Eagles
17	Interchange	24:00	-	-	-	-	-	-	-	-	33	6	70	32	25	-	-	-	-	1	4	-	3.64s	-	-	-	1	-	-	6	-	95.24%	20	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:14	-	13	Raiders	Rabbitohs
17	Interchange	27:00	-	-	-	-	-	-	-	-	18	11	108	19	36	-	-	-	-	-	9	-	3.18s	-	-	-	-	-	-	11	-	83.33%	10	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:31	-	14	Raiders	Wests Tigers
17	Prop	43:00	-	-	-	-	-	-	-	-	31	14	123	38	43	-	-	-	-	2	10	-	3.26s	-	-	-	1	-	-	14	-	78.95%	15	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:27	24:47	18	Raiders	Titans
13	Prop	32:00	-	-	-	-	-	-	-	-	17	5	45	15	14	-	-	-	-	-	4	-	4.22s	-	-	-	-	-	-	5	-	80.95%	17	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20:11	11:57	19	Raiders	Dragons
17	Interchange	12:00	-	-	-	-	-	-	-	-	9	8	41	-	15	-	-	-	-	1	8	-	3.68s	-	-	-	-	-	-	8	-	100%	5	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	12:19	-	21	Raiders	Warriors
17	Interchange	19:00	-	-	-	-	-	-	-	-	17	5	41	-	14	-	-	-	-	1	5	-	3.02s	-	-	-	-	-	-	5	-	92.86%	13	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:31	-	22	Raiders	Knights
