Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
19	Winger	80:00	-	-	-	-	-	-	-	-	23	13	125	20	42	1	-	-	-	4	1	-	3.93s	1	13	-	1	-	-	16	-	57.14%	4	3	-	-	1	-	-	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	2	Eels	Sharks
5	Winger	80:00	-	-	-	-	-	-	-	-	24	9	77	21	25	-	-	-	-	-	1	-	3.52s	-	-	-	2	-	-	10	-	93.75%	15	1	-	-	-	1	8	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	3	Eels	Sea Eagles
5	Winger	83:00	-	-	-	-	-	-	-	-	23	14	111	24	33	-	-	-	-	2	-	-	4.7s	-	-	-	-	-	-	14	-	100%	6	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	83:00	-	4	Eels	Panthers
5	Winger	57:00	4	1	-	-	-	-	-	-	33	15	97	1	26	1	-	-	-	3	-	-	4.77s	-	-	-	2	-	-	15	-	100%	3	-	-	-	2	1	20	-	-	1	-	-	-	-	-	-	-	1	-	-	-	1	-	50:06	16:41	5	Eels	Roosters
21	Centre	43:00	-	-	-	-	-	-	-	-	18	8	75	-	25	-	-	-	-	2	-	-	4.36s	-	-	-	-	1	-	8	-	90%	9	1	-	-	-	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43:00	-	8	Eels	Broncos
4	Centre	80:00	-	-	-	-	-	-	-	-	40	16	161	-	49	-	2	2	-	-	-	-	3.82s	-	-	-	1	-	3	18	0.19	71.43%	10	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	10	Eels	Titans
4	Centre	80:00	4	1	-	-	-	-	-	-	29	12	123	-	57	1	-	-	-	2	-	-	4.24s	-	-	-	-	-	1	12	0.08	75%	9	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	1	-	-	80:00	-	11	Eels	Raiders
4	Centre	80:00	8	2	-	-	-	-	-	-	50	18	177	-	47	-	1	-	-	5	-	-	4.31s	-	-	-	-	-	5	20	0.28	77.78%	7	1	1	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	12	Eels	Rabbitohs
4	Centre	80:00	-	-	-	-	-	-	-	-	42	20	169	-	43	-	2	1	-	7	1	-	3.96s	-	-	-	-	-	6	28	0.3	86.67%	13	1	1	-	-	-	-	-	-	-	-	-	-	-	4	3	-	-	-	-	-	-	-	80:00	-	13	Eels	Cowboys
4	Centre	80:00	4	1	-	-	-	-	-	-	52	23	200	-	53	-	-	-	-	8	-	-	3.96s	3	24	-	2	2	5	24	0.22	71.43%	10	3	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	15	Eels	Bulldogs
4	Centre	80:00	8	2	-	-	-	-	-	-	60	17	206	12	64	2	-	-	-	5	-	-	4.29s	1	1	-	1	2	5	19	0.29	88.89%	8	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	80:00	-	16	Eels	Sea Eagles
4	Centre	80:00	4	1	-	-	-	-	-	-	47	18	209	42	53	1	-	-	-	3	-	-	3.86s	-	-	-	1	-	4	19	0.22	75%	9	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	17	Eels	Dolphins
4	Centre	80:00	4	1	-	-	-	-	-	-	43	15	131	-	37	1	-	-	-	8	-	-	4.04s	-	-	-	-	-	1	13	0.07	66.67%	12	4	2	-	-	1	2	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	19	Eels	Warriors
4	Centre	80:00	-	-	-	-	-	-	-	-	19	13	123	-	39	-	-	-	-	4	-	-	4.19s	1	7	-	1	-	1	15	0.08	71.43%	5	1	1	-	-	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	80:00	-	20	Eels	Titans
4	Centre	80:00	-	-	-	-	-	-	-	-	25	18	143	-	41	-	-	-	-	4	-	-	4.1s	1	6	-	2	-	5	20	0.28	70%	7	3	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	80:00	-	21	Eels	Cowboys
4	Centre	80:00	-	-	-	-	-	-	-	-	33	15	150	7	30	1	-	-	-	4	1	-	3.53s	-	-	-	1	-	5	15	0.33	62.5%	10	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	22	Eels	Storm
