Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
7	Halfback	80:00	4	1	-	-	-	-	-	-	59	16	114	-	23	2	1	1	-	4	-	-	5.56s	-	-	-	3	7	31	47	1.94	61.54%	8	4	1	-	-	10	177	2	3	3	-	-	3	-	1	1	-	-	-	-	-	-	-	80:00	-	2	Dragons	Titans
7	Halfback	80:00	-	-	-	-	-	-	-	-	22	5	43	-	15	-	-	-	-	1	-	-	2.97s	-	-	-	-	3	27	39	5.4	76%	19	3	3	-	-	8	223	1	4	-	-	-	-	-	1	1	-	2	-	-	-	-	-	80:00	-	3	Dragons	Broncos
7	Halfback	80:00	4	1	-	-	-	-	-	-	48	12	81	-	3	1	-	-	-	1	-	-	3.38s	-	-	-	1	5	30	51	2.5	76%	19	4	2	-	-	16	463	2	3	3	-	-	1	1	2	2	-	1	-	-	-	-	-	80:00	-	4	Dragons	Sharks
7	Halfback	80:00	4	1	-	-	-	-	-	-	72	14	124	-	18	1	1	1	-	6	-	-	3.78s	1	9	-	1	6	39	56	2.79	93.75%	15	1	-	-	-	10	326	1	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	5	Dragons	Dolphins
7	Halfback	80:00	4	1	-	-	-	-	-	-	83	16	134	-	6	1	-	1	-	5	-	-	4.74s	1	7	-	2	4	40	62	2.5	77.78%	21	3	3	1	-	14	339	1	10	1	-	-	-	-	2	2	-	1	-	-	-	-	-	80:00	-	6	Dragons	Titans
7	Halfback	80:00	-	-	-	-	-	-	-	-	37	22	156	-	15	-	-	-	-	1	-	-	3.34s	-	-	-	-	4	50	64	2.27	93.33%	14	1	-	-	-	11	315	-	5	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	7	Dragons	Raiders
7	Halfback	80:00	-	-	-	-	-	-	-	-	33	23	122	-	14	-	1	1	-	4	-	-	2.88s	-	-	-	1	9	48	61	2.09	61.11%	11	6	1	-	-	9	288	-	1	-	-	-	1	1	1	1	-	1	-	-	-	-	-	80:00	-	8	Dragons	Roosters
7	Halfback	80:00	-	-	-	-	-	-	-	-	70	11	61	-	11	-	1	1	-	4	-	-	-	-	-	-	3	7	37	57	3.36	90.63%	29	1	2	-	-	14	380	-	8	2	-	-	1	-	2	2	-	1	-	-	-	-	-	80:00	-	9	Dragons	Bulldogs
7	Halfback	80:00	-	-	-	-	-	-	-	-	34	6	53	-	5	-	-	-	-	-	-	-	2.56s	1	6	-	1	3	80	89	13.33	80%	40	10	-	-	-	8	227	-	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	10	Dragons	Wests Tigers
7	Hooker	80:00	-	-	-	-	-	-	-	-	58	15	82	-	-	-	3	3	-	1	-	-	3.96s	1	3	-	1	8	63	73	4.2	78.26%	18	3	2	-	-	7	220	-	2	1	-	-	1	-	-	-	-	-	-	-	-	-	-	80:00	-	11	Dragons	Cowboys
7	Halfback	80:00	4	1	-	-	-	-	-	-	78	14	107	-	6	1	2	1	-	6	-	-	5.68s	-	-	-	2	7	42	64	3	88.89%	16	2	-	-	-	15	418	1	6	2	-	-	1	1	2	2	-	-	-	-	-	-	-	80:00	-	12	Dragons	Roosters
7	Halfback	80:00	-	-	-	-	-	-	-	-	51	14	72	-	18	-	1	2	-	1	-	-	2.72s	-	-	-	1	11	36	58	2.57	81.82%	9	1	1	-	1	16	567	-	6	-	-	-	1	-	-	-	-	1	-	-	-	-	-	80:00	-	14	Dragons	Panthers
7	Halfback	80:00	4	1	-	-	-	-	-	-	59	16	106	-	3	-	3	2	-	1	-	-	2.72s	-	-	-	1	11	52	71	3.25	66.67%	8	3	1	-	-	17	402	1	7	3	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	15	Dragons	Rabbitohs
7	Halfback	80:00	-	-	-	-	-	-	-	-	30	13	88	-	9	-	-	-	-	-	-	-	3.18s	-	-	-	-	12	39	56	3	70%	14	4	2	-	-	14	444	-	4	1	-	-	2	-	1	1	-	-	-	-	-	-	-	80:00	-	17	Dragons	Warriors
7	Halfback	80:00	-	-	-	-	-	-	-	-	42	10	45	-	4	-	-	-	-	-	-	-	3.16s	1	8	-	2	5	23	35	2.3	95.24%	20	1	-	-	1	11	396	-	4	1	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	18	Dragons	Sharks
7	Halfback	80:00	-	-	-	-	-	-	-	-	70	21	118	-	4	-	-	1	-	5	-	-	2.55s	-	-	-	1	5	39	63	1.86	88.46%	23	2	1	-	-	19	631	1	6	2	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	21	Dragons	Wests Tigers
7	Halfback	80:00	-	-	-	-	-	-	-	-	43	7	68	-	14	1	-	1	-	2	-	-	2.02s	-	-	-	2	11	53	76	7.57	82.35%	14	3	-	-	-	18	435	1	8	3	-	-	1	-	3	3	-	1	-	-	-	-	-	80:00	-	22	Dragons	Sea Eagles
