Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
9	Hooker	45:00	-	-	-	-	-	-	-	-	27	6	48	-	17	-	1	-	-	1	1	-	2.5s	5	44	-	1	-	66	73	11	78.79%	26	6	1	-	-	1	52	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:25	17:57	1	Broncos	Panthers
9	Hooker	46:00	-	-	-	-	-	-	-	-	36	6	55	-	19	-	-	-	-	1	1	-	2.97s	5	44	-	1	1	55	59	9.17	90.32%	28	3	-	-	1	2	62	-	-	1	-	-	-	-	1	1	-	1	-	-	-	-	-	27:51	18:06	2	Broncos	Cowboys
9	Hooker	41:00	-	-	-	-	-	-	-	-	27	4	52	-	19	-	-	-	-	1	-	-	3.56s	4	52	-	-	2	49	53	12.25	95.65%	22	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:26	17:08	3	Broncos	Dragons
9	Hooker	43:00	-	-	-	-	-	-	-	-	30	7	38	-	8	-	-	-	-	-	-	-	4.05s	7	38	-	1	4	51	57	7.29	93.1%	27	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	29:22	13:51	4	Broncos	Dolphins
9	Hooker	38:00	-	-	-	-	-	-	-	-	33	6	90	-	13	2	-	-	-	-	2	-	4.68s	2	24	-	-	3	46	53	7.67	89.47%	17	1	1	-	-	1	43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:32	10:19	5	Broncos	Wests Tigers
9	Hooker	48:00	-	-	-	-	-	-	-	-	26	5	30	-	7	-	-	-	-	1	-	-	3.84s	3	24	-	1	-	68	72	13.6	73.33%	22	2	6	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:42	20:32	6	Broncos	Raiders
9	Hooker	37:00	-	-	-	-	-	-	-	-	20	6	47	-	8	-	-	-	-	2	-	-	3.8s	6	47	-	-	5	39	42	6.5	94.12%	16	1	-	-	-	1	17	-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	37:22	-	7	Broncos	Titans
9	Hooker	46:00	-	-	-	-	-	-	-	-	19	3	26	-	7	-	-	-	-	1	-	-	2.68s	3	26	-	-	2	67	72	22.33	82.61%	19	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33:44	11:49	8	Broncos	Eels
9	Hooker	44:00	-	-	-	-	-	-	-	-	25	2	26	-	7	-	-	-	-	-	-	-	4.05s	2	26	-	-	2	63	66	31.5	85.71%	24	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	33:25	11:14	9	Broncos	Rabbitohs
9	Hooker	54:00	4	1	-	-	-	-	-	-	43	5	26	-	1	1	-	-	-	2	1	-	4.23s	4	24	-	1	2	70	77	14	96.15%	25	1	-	-	-	1	45	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	34:07	19:41	10	Broncos	Sea Eagles
9	Hooker	80:00	-	-	-	-	-	-	-	-	36	7	25	-	5	-	-	-	-	3	4	-	4.55s	2	15	-	2	3	94	101	13.43	89.66%	26	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	11	Broncos	Storm
