Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
3	Centre	80:00	-	-	-	-	-	-	-	-	36	7	73	7	34	-	-	-	-	1	-	-	3.95s	-	-	-	-	-	9	12	1.29	95.83%	23	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	1	Sea Eagles	Bulldogs
3	Centre	80:00	4	1	-	-	-	-	-	-	28	11	88	-	45	-	-	-	-	2	-	-	3.77s	-	-	-	1	1	7	17	0.64	71.43%	10	2	2	-	-	-	-	-	-	-	-	-	-	-	2	1	-	1	-	-	-	-	-	80:00	-	3	Sea Eagles	Eels
3	Centre	82:00	-	-	-	-	-	-	-	-	32	10	109	-	40	-	-	-	-	3	1	-	3.8s	-	-	-	-	1	5	13	0.5	94.74%	18	1	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	82:00	-	4	Sea Eagles	Rabbitohs
3	Centre	90:00	4	1	-	-	-	-	-	-	38	11	145	-	49	1	1	1	-	2	-	-	4.87s	-	-	-	-	1	8	14	0.73	70%	14	5	1	-	1	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	90:00	-	5	Sea Eagles	Knights
3	Centre	80:00	-	-	-	-	-	-	-	-	19	5	45	-	14	-	-	-	-	1	-	-	4.7s	-	-	-	-	1	4	7	0.8	84%	21	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	6	Sea Eagles	Panthers
3	Centre	80:00	-	-	-	-	-	-	-	-	21	11	110	3	32	-	-	-	-	4	-	-	3.8s	-	-	-	-	-	1	11	0.09	75%	9	3	-	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	7	Sea Eagles	Storm
3	Centre	41:00	-	-	-	-	-	-	-	-	12	6	44	-	18	-	-	-	-	4	-	-	3s	1	6	-	-	-	4	10	0.67	66.67%	4	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	40:01	-	8	Sea Eagles	Wests Tigers
3	Centre	67:00	-	-	-	-	-	-	-	-	23	9	66	3	18	-	1	-	-	-	1	-	4.34s	-	-	-	-	-	2	12	0.22	86.96%	20	3	-	-	1	1	10	-	-	1	-	-	-	-	2	2	-	-	-	-	-	-	-	67:05	-	10	Sea Eagles	Broncos
3	Centre	80:00	-	-	-	-	-	-	-	-	24	12	93	-	26	-	-	-	-	2	-	-	3.38s	-	-	-	-	-	7	16	0.58	75%	15	2	3	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	11	Sea Eagles	Sharks
3	Centre	79:00	4	1	-	-	-	-	-	-	32	9	78	-	19	1	-	-	-	7	-	-	4.19s	-	-	-	-	1	8	13	0.89	45.45%	5	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	79:00	-	12	Sea Eagles	Raiders
3	Centre	80:00	-	-	-	-	-	-	-	-	11	7	63	-	26	-	-	1	-	1	-	-	4.43s	-	-	-	-	1	6	8	0.86	60%	6	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	80:00	-	13	Sea Eagles	Knights
3	Centre	80:00	-	-	-	-	-	-	-	-	17	8	56	2	11	-	1	-	-	2	-	-	3.86s	-	-	-	1	-	5	8	0.63	47.37%	9	7	3	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	18	Sea Eagles	Roosters
3	Centre	80:00	4	1	-	-	-	-	-	-	44	9	84	-	31	1	-	-	-	7	-	-	3.85s	1	8	-	-	1	4	12	0.44	76.19%	16	3	2	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	20	Sea Eagles	Cowboys
3	Centre	80:00	-	-	-	-	-	-	-	-	5	7	50	-	21	-	-	-	-	-	-	-	4.23s	1	5	-	-	-	6	9	0.86	66.67%	8	3	1	-	2	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	80:00	-	21	Sea Eagles	Sharks
3	Centre	80:00	-	-	-	-	-	-	-	-	22	5	32	-	14	-	1	-	-	1	-	-	5.59s	1	3	-	-	-	7	10	1.4	77.78%	14	1	3	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	1	-	-	-	80:00	-	22	Sea Eagles	Dragons
