Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
9	Hooker	59:00	-	-	-	-	-	-	-	-	34	10	73	-	13	-	-	-	-	2	5	-	4.29s	5	38	-	-	-	38	45	3.8	90.63%	29	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	05:19	18:56	1	Roosters	Dolphins
9	Hooker	26:00	-	-	-	-	-	-	-	-	11	1	10	-	2	-	-	-	-	-	-	-	2.72s	1	10	-	-	-	40	42	40	100%	9	-	-	-	-	1	53	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:07	-	2	Roosters	Warriors
9	Interchange	55:00	4	1	-	-	-	-	-	-	31	7	74	-	14	1	-	-	-	-	-	-	3.49s	7	74	-	-	11	71	78	10.14	78.26%	18	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55:00	-	3	Roosters	Rabbitohs
9	Hooker	68:00	-	-	-	-	-	-	-	-	48	5	29	-	3	-	1	-	-	1	-	-	-	5	29	-	3	-	92	94	18.4	89.19%	33	2	2	-	-	1	55	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	59:41	08:38	5	Roosters	Eels
9	Hooker	63:00	-	-	-	-	-	-	-	-	31	3	29	-	5	-	-	-	-	-	-	-	1.88s	3	29	-	-	1	60	64	20	85.11%	40	6	1	-	-	2	53	1	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	32:31	29:35	6	Roosters	Storm
9	Hooker	63:00	4	1	-	-	-	-	-	-	44	7	77	-	29	1	-	-	-	7	-	-	2.71s	7	77	-	-	-	75	84	10.71	87.1%	27	3	1	-	-	1	67	-	-	-	-	-	-	-	2	2	-	1	1	-	1	1	-	51:19	15:53	7	Roosters	Sharks
9	Hooker	73:00	-	-	-	-	-	-	-	-	60	9	120	-	50	1	-	-	-	7	2	-	3.38s	7	101	-	1	2	80	89	8.89	83.33%	35	5	2	-	-	1	45	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	56:00	16:54	8	Roosters	Dragons
9	Hooker	52:00	-	-	-	-	-	-	-	-	42	6	46	-	21	-	-	1	-	1	-	-	4.11s	6	46	-	-	2	59	67	9.83	87.88%	29	3	1	-	-	2	61	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	29:43	28:26	9	Roosters	Warriors
9	Hooker	69:00	-	-	-	-	-	-	-	-	52	6	64	-	19	-	-	-	-	4	1	-	3.16s	5	60	-	-	3	74	80	12.33	86.96%	40	3	3	-	-	2	58	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	61:33	07:34	10	Roosters	Cowboys
9	Interchange	54:00	-	-	-	-	-	-	-	-	40	7	44	-	10	-	-	-	-	-	3	-	3.36s	4	26	-	1	1	33	41	4.71	83.33%	35	4	3	-	-	2	49	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	53:15	-	11	Roosters	Panthers
9	Interchange	28:00	-	-	-	-	-	-	-	-	19	-	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	-	34	35	-	80.95%	17	3	1	-	-	1	53	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:33	-	12	Roosters	Dragons
14	Interchange	50:00	-	-	-	-	-	-	-	-	23	4	40	-	4	-	-	-	-	1	-	-	3.56s	3	35	-	-	1	40	41	10	82.14%	23	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50:00	-	20	Roosters	Storm
14	Hooker	72:00	-	-	-	-	-	-	-	-	59	6	103	-	12	1	-	-	-	2	-	-	2.44s	5	93	-	1	2	87	90	14.5	89.58%	43	3	2	-	-	2	7	1	-	1	-	-	1	-	-	-	-	1	-	-	-	-	-	72:22	-	21	Roosters	Titans
9	Hooker	75:00	-	-	-	-	-	-	-	-	42	13	118	25	29	-	-	-	-	1	-	-	3.25s	8	61	-	2	6	80	90	6.15	83.33%	30	4	2	-	2	1	54	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	74:30	-	22	Roosters	Broncos
