Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
15	Interchange	34:00	4	1	-	-	-	-	-	-	42	2	35	-	3	1	-	-	-	-	-	-	3.8s	1	12	-	-	-	56	57	28	100%	27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34:00	-	4	Eels	Panthers
15	Interchange	30:00	-	-	-	-	-	-	-	-	17	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	33	33	33	100%	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30:00	-	5	Eels	Roosters
15	Interchange	28:00	-	-	-	-	-	-	-	-	16	2	6	-	-	-	-	-	-	-	2	-	4.95s	-	-	-	-	5	48	51	24	85.71%	18	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:02	-	6	Eels	Wests Tigers
15	Hooker	80:00	-	-	-	-	-	-	-	-	31	3	20	-	1	-	-	-	-	-	-	-	3.76s	2	14	-	-	2	129	130	43	80%	36	3	6	-	1	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	7	Eels	Bulldogs
15	Interchange	49:00	-	-	-	-	-	-	-	-	20	3	40	-	4	-	1	-	-	-	-	-	3.87s	2	26	-	-	1	79	82	26.33	88.46%	23	2	1	-	1	-	-	-	-	-	-	-	-	-	3	2	-	-	-	-	-	-	-	49:00	-	8	Eels	Broncos
15	Interchange	36:00	-	-	-	-	-	-	-	-	17	3	37	-	11	-	1	-	-	-	1	-	3.74s	2	16	-	-	-	51	53	17	81.48%	22	4	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	35:10	-	9	Eels	Knights
15	Interchange	25:00	-	-	-	-	-	-	-	-	8	2	19	-	4	-	-	-	-	-	1	-	4.24s	1	7	-	-	-	40	41	20	78.95%	15	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25:00	-	10	Eels	Titans
15	Interchange	27:00	-	-	-	-	-	-	-	-	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32	31	-	91.67%	22	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:00	-	11	Eels	Raiders
15	Interchange	26:00	-	-	-	-	-	-	-	-	9	1	7	-	2	-	-	-	-	-	-	-	3.68s	1	7	-	-	3	50	51	50	100%	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:00	-	12	Eels	Rabbitohs
15	Interchange	49:00	-	-	-	-	-	-	-	-	29	4	46	-	9	-	-	-	-	-	-	-	4.36s	4	46	-	-	3	76	81	19	90%	27	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	49:00	-	13	Eels	Cowboys
