Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
4	Centre	80:00	-	-	-	-	-	-	-	-	29	7	102	-	15	-	1	1	-	1	-	-	3.59s	-	-	-	-	-	5	13	0.71	85.71%	12	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	1	Dolphins	Roosters
4	Centre	80:00	-	-	-	-	-	-	-	-	28	12	113	-	36	-	-	-	-	1	1	-	3.71s	-	-	-	-	-	2	14	0.17	93.75%	15	1	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	2	Dolphins	Raiders
4	Centre	80:00	-	-	-	-	-	-	-	-	27	12	119	-	50	-	1	1	-	-	-	-	3.54s	-	-	-	-	-	3	15	0.25	76.47%	13	3	1	-	-	1	11	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	3	Dolphins	Knights
4	Centre	80:00	-	-	-	-	-	-	-	-	27	13	125	-	52	-	-	-	-	-	-	-	4.29s	-	-	-	1	-	10	21	0.77	81.25%	13	-	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	4	Dolphins	Broncos
4	Centre	80:00	-	-	-	-	-	-	-	-	19	11	106	-	30	-	-	-	-	-	1	-	3.1s	-	-	-	-	-	5	13	0.45	88.24%	15	2	-	-	-	1	38	-	-	-	-	-	-	1	-	-	-	1	1	-	-	-	-	80:00	-	5	Dolphins	Dragons
4	Centre	70:00	-	-	-	-	-	-	-	-	20	5	45	-	19	-	1	1	-	1	-	-	3.61s	-	-	-	-	-	5	10	1	86.67%	13	2	-	-	1	1	16	-	-	1	-	-	-	1	-	-	-	1	1	-	-	-	-	70:20	-	6	Dolphins	Cowboys
4	Centre	80:00	-	-	-	-	-	-	-	-	24	10	92	-	25	-	-	-	-	1	-	-	2.91s	-	-	-	1	-	1	11	0.1	90%	9	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	7	Dolphins	Rabbitohs
4	Centre	80:00	-	-	-	-	-	-	-	-	48	16	168	-	53	-	-	-	-	4	-	-	3.37s	-	-	-	2	-	7	20	0.44	80%	16	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	8	Dolphins	Titans
4	Centre	49:00	-	-	-	-	-	-	-	-	11	6	63	-	33	-	-	-	-	4	-	-	4.12s	-	-	-	-	-	1	7	0.17	50%	3	2	1	-	-	1	26	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	49:14	-	9	Dolphins	Raiders
4	Centre	80:00	-	-	-	-	-	-	-	-	30	14	150	-	48	-	-	-	-	4	-	-	3.59s	-	-	-	-	1	4	14	0.29	81.25%	13	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	12	Dolphins	Storm
4	Centre	80:00	-	-	-	-	-	-	-	-	29	13	147	-	66	-	1	1	-	1	-	-	4.24s	-	-	-	-	-	7	17	0.54	82.35%	14	2	1	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	13	Dolphins	Dragons
4	Centre	25:00	-	-	-	-	-	-	-	-	10	5	44	-	18	-	-	-	-	-	-	-	3.9s	-	-	-	-	-	-	5	-	83.33%	10	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	25:04	-	14	Dolphins	Warriors
4	Centre	14:00	-	-	-	-	-	-	-	-	8	1	14	-	5	-	-	-	-	-	-	-	4.12s	-	-	-	-	-	-	1	-	100%	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13:38	-	15	Dolphins	Sea Eagles
