Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
11	2nd Row	80:00	-	-	-	-	-	-	-	-	39	11	108	-	39	-	-	-	-	1	10	-	3.17s	-	-	-	1	-	1	15	0.09	89.47%	34	4	-	-	-	1	35	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	80:00	-	1	Sharks	Rabbitohs
11	2nd Row	80:00	4	1	-	-	-	-	-	-	73	15	135	-	46	1	-	-	-	-	12	-	3.29s	-	-	-	1	1	2	15	0.13	97.56%	40	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	2	Sharks	Eels
11	2nd Row	80:00	4	1	-	-	-	-	-	-	67	14	106	-	11	1	-	-	-	1	12	-	4.1s	-	-	-	1	-	3	17	0.21	90.91%	40	3	1	-	1	1	11	-	-	1	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	3	Sharks	Raiders
11	2nd Row	67:00	4	1	-	-	-	-	-	-	59	8	86	-	16	2	-	-	-	4	8	-	3.47s	-	-	-	-	-	2	9	0.25	96.67%	29	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14:26	52:49	4	Sharks	Dragons
11	2nd Row	80:00	-	-	-	-	-	-	-	-	51	6	77	-	26	1	-	-	-	2	6	-	3.17s	-	-	-	-	-	3	9	0.5	89.74%	35	3	1	-	-	1	2	-	-	1	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	5	Sharks	Warriors
11	2nd Row	80:00	4	1	-	-	-	-	-	-	61	12	78	-	24	1	-	-	-	5	11	-	3.14s	-	-	-	-	1	1	12	0.08	92.86%	39	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	7	Sharks	Roosters
11	2nd Row	80:00	-	-	-	-	-	-	-	-	60	12	132	-	41	1	-	1	-	5	11	-	3.15s	-	-	-	2	-	1	12	0.08	89.66%	26	2	1	-	-	1	20	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	8	Sharks	Bulldogs
11	2nd Row	70:00	-	-	-	-	-	-	-	-	39	9	78	-	21	-	-	1	-	-	8	-	3.32s	-	-	-	-	1	2	12	0.22	90.63%	29	1	2	-	-	1	11	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	70:04	-	9	Sharks	Cowboys
11	2nd Row	80:00	-	-	-	-	-	-	-	-	51	10	77	-	25	1	1	-	-	1	8	-	2.85s	-	-	-	1	-	7	15	0.7	90%	36	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	10	Sharks	Dolphins
11	2nd Row	80:00	-	-	-	-	-	-	-	-	69	14	142	-	32	1	-	1	-	3	13	-	3.61s	-	-	-	1	1	3	16	0.21	93.02%	40	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	11	Sharks	Sea Eagles
