Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
19	Interchange	18:00	-	-	-	-	-	-	-	-	25	6	54	-	13	-	-	-	-	2	6	-	3.73s	-	-	-	1	-	1	7	0.17	100%	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:38	-	1	Storm	Eels
14	Interchange	25:00	-	-	-	-	-	-	-	-	39	7	64	-	19	-	-	-	-	1	6	-	3.73s	-	-	-	1	-	4	11	0.57	95.83%	23	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25:00	-	2	Storm	Bulldogs
21	Interchange	25:00	-	-	-	-	-	-	-	-	21	6	49	-	11	-	-	-	-	-	6	-	3.51s	-	-	-	-	1	-	6	-	100%	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25:00	-	3	Storm	Titans
17	Interchange	19:00	-	-	-	-	-	-	-	-	22	4	35	7	13	-	-	-	-	1	3	-	3.24s	-	-	-	1	1	1	5	0.25	100%	12	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:09	-	4	Storm	Wests Tigers
14	Interchange	26:00	-	-	-	-	-	-	-	-	22	3	23	-	4	-	-	-	-	-	3	-	4.35s	-	-	-	-	1	1	4	0.33	85.71%	24	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:02	-	5	Storm	Rabbitohs
14	Interchange	30:00	-	-	-	-	-	-	-	-	21	5	45	-	16	-	-	-	-	3	4	-	4.27s	1	10	-	-	-	14	19	2.8	100%	13	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	30:00	-	6	Storm	Roosters
14	Interchange	22:00	-	-	-	-	-	-	-	-	23	5	38	2	11	-	-	-	-	2	4	-	3.21s	-	-	-	1	1	-	5	-	93.75%	15	-	1	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	06:47	13:57	7	Storm	Sea Eagles
14	Interchange	31:00	-	-	-	-	-	-	-	-	24	6	43	-	11	-	-	-	-	-	5	-	3.81s	-	-	-	-	-	5	10	0.83	95.65%	22	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20:05	10:50	8	Storm	Warriors
14	Interchange	30:00	4	1	-	-	-	-	-	-	29	3	19	-	-	1	-	-	-	2	-	-	4.28s	3	19	-	-	-	15	18	5	87.5%	21	3	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	1	-	-	-	21:52	07:55	10	Storm	Rabbitohs
14	Interchange	09:00	-	-	-	-	-	-	-	-	5	2	17	-	6	-	-	-	-	-	2	-	4.6s	-	-	-	-	-	-	2	-	100%	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	09:00	-	11	Storm	Broncos
14	Interchange	14:00	-	-	-	-	-	-	-	-	6	1	10	-	3	-	-	-	-	-	-	-	2.48s	-	-	-	-	-	1	3	1	90%	9	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	14:00	-	12	Storm	Dolphins
14	Interchange	29:00	-	-	-	-	-	-	-	-	22	3	33	-	3	-	-	-	-	-	2	-	4.32s	1	17	-	-	-	8	10	2.67	95.45%	21	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:00	-	14	Storm	Cowboys
9	Hooker	46:00	-	-	-	-	-	-	-	-	24	6	52	-	13	-	-	-	-	-	3	-	3.19s	2	14	-	-	-	40	45	6.67	87.1%	27	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	29:53	16:13	16	Storm	Wests Tigers
14	Interchange	29:00	-	-	-	-	-	-	-	-	14	8	77	-	24	-	-	-	-	1	8	-	3.6s	-	-	-	-	-	4	13	0.5	77.78%	14	3	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	29:00	-	17	Storm	Sea Eagles
14	Interchange	20:00	-	-	-	-	-	-	-	-	10	2	18	-	5	-	-	-	-	-	2	-	4.06s	-	-	-	-	-	2	4	1	80.95%	17	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20:00	-	18	Storm	Panthers
18	Interchange	14:00	-	-	-	-	-	-	-	-	7	4	35	-	5	-	-	-	-	-	3	-	2.68s	-	-	-	1	-	3	7	0.75	75%	6	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14:00	-	21	Storm	Knights
14	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	Storm	Eels
