Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
11	2nd Row	84:00	-	-	-	-	-	-	-	-	57	20	153	-	47	-	-	-	-	3	16	-	3.67s	-	-	-	2	-	5	25	0.25	87.5%	28	1	3	1	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	84:00	-	1	Eels	Storm
11	2nd Row	80:00	-	-	-	-	-	-	-	-	48	13	137	-	67	-	-	-	-	2	13	-	2.98s	-	-	-	3	-	6	20	0.46	90.63%	29	3	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	2	Eels	Sharks
11	2nd Row	80:00	-	-	-	-	-	-	-	-	47	17	147	-	43	-	-	-	-	2	12	-	3.48s	-	-	-	3	-	10	25	0.59	87.1%	27	3	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	3	Eels	Sea Eagles
11	2nd Row	83:00	4	1	-	-	-	-	-	-	60	18	167	-	56	-	-	-	-	2	17	-	3.3s	-	-	-	2	-	1	19	0.06	90.32%	28	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	83:00	-	4	Eels	Panthers
11	2nd Row	80:00	-	-	-	-	-	-	-	-	34	14	120	-	32	-	-	-	-	2	12	-	3.68s	-	-	-	1	2	2	15	0.14	85.19%	23	4	-	-	-	1	26	-	-	1	-	-	-	1	-	-	-	-	1	-	-	-	-	80:00	-	5	Eels	Roosters
12	2nd Row	80:00	4	1	-	-	-	-	-	-	53	10	74	-	25	-	-	-	-	1	9	-	3.2s	-	-	-	-	1	2	12	0.2	93.02%	40	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Eels	Wests Tigers
12	Interchange	50:00	-	-	-	-	-	-	-	-	28	6	69	-	28	-	-	-	-	-	6	-	3.25s	-	-	-	-	-	-	6	-	96%	24	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50:00	-	7	Eels	Bulldogs
12	2nd Row	80:00	-	-	-	-	-	-	-	-	26	14	128	-	45	-	-	-	-	-	13	-	4.07s	-	-	-	3	-	5	19	0.36	75%	12	2	2	-	-	-	-	-	-	-	-	-	-	-	2	2	1	-	-	-	-	-	-	80:00	-	8	Eels	Broncos
14	2nd Row	80:00	-	-	-	-	-	-	-	-	51	7	91	-	11	1	1	-	-	3	5	-	3.88s	-	-	-	3	-	7	12	1	82.05%	32	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	9	Eels	Knights
14	Interchange	49:00	-	-	-	-	-	-	-	-	39	14	128	-	26	-	-	-	-	2	10	-	3.77s	-	-	-	3	1	8	18	0.57	80.77%	21	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	49:00	-	10	Eels	Titans
