Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
6	Five-Eighth	72:00	-	-	-	-	-	-	-	-	44	15	138	5	48	-	1	1	-	1	1	-	4.24s	3	41	-	2	3	20	38	1.33	81.48%	22	4	1	-	-	6	176	-	2	1	-	-	1	-	1	1	-	-	1	-	-	-	-	27:35	43:59	1	Storm	Eels
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	57	17	145	-	40	1	-	1	-	3	-	-	3.51s	2	31	-	1	8	39	56	2.29	73.33%	22	5	3	-	-	9	275	-	1	1	-	-	2	-	-	-	-	2	1	-	-	-	-	80:00	-	4	Storm	Wests Tigers
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	56	12	141	1	12	1	-	-	-	4	-	-	4.15s	-	-	-	2	5	34	54	2.83	71.11%	32	12	1	-	-	11	337	-	4	1	-	-	1	-	1	1	-	-	1	-	-	-	-	80:00	-	5	Storm	Rabbitohs
6	Five-Eighth	80:00	6	1	-	-	1	100%	-	-	100	20	209	-	39	1	1	2	-	8	2	-	4.8s	-	-	-	-	-	27	59	1.35	100%	17	-	-	1	-	13	419	-	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Storm	Roosters
1	Fullback	80:00	-	-	-	1	-	-	-	-	41	18	137	20	21	1	-	-	-	5	2	-	4s	-	-	-	1	-	21	40	1.17	85.71%	6	1	-	-	4	5	192	-	-	1	-	-	-	-	1	2	-	2	-	-	-	-	-	39:47	39:57	7	Storm	Sea Eagles
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	66	18	173	-	19	2	-	-	-	8	1	-	3.39s	3	26	-	-	6	38	55	2.11	86.36%	19	3	-	-	-	7	130	-	4	1	1	-	-	-	-	-	-	2	-	-	-	-	-	80:00	-	8	Storm	Warriors
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	55	9	83	-	19	-	-	1	-	3	-	-	3.48s	-	-	-	-	7	33	53	3.67	100%	28	-	-	-	1	10	257	1	4	1	-	-	1	-	-	-	-	1	1	-	-	-	-	80:00	-	10	Storm	Rabbitohs
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	52	12	104	-	29	2	-	-	-	1	-	-	3.95s	-	-	-	1	5	35	61	2.92	76.47%	26	7	1	-	-	16	397	1	13	-	-	-	-	-	1	-	-	1	1	-	-	-	-	80:00	-	11	Storm	Broncos
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	29	12	71	-	10	-	-	-	-	1	-	-	4.6s	-	-	-	-	5	28	53	2.33	76.19%	16	5	-	-	2	12	260	1	3	1	-	-	1	-	1	-	-	2	-	-	-	-	-	80:00	-	12	Storm	Dolphins
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	44	12	88	-	24	-	-	-	-	1	-	-	4.19s	1	11	-	2	4	35	47	2.92	81.82%	27	5	1	-	1	6	178	-	2	-	-	-	1	1	-	-	-	1	-	-	-	-	-	80:00	-	14	Storm	Cowboys
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	78	27	214	-	44	1	2	3	-	7	-	-	4.36s	2	21	-	2	9	26	53	0.96	80%	20	4	1	-	-	8	210	-	2	2	-	-	-	-	1	1	-	2	1	-	-	-	-	80:00	-	15	Storm	Sharks
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	53	9	88	-	30	-	-	-	-	4	-	-	4.34s	1	13	-	-	10	32	50	3.56	92.59%	25	2	-	-	-	11	360	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	18	Storm	Panthers
6	Five-Eighth	75:00	-	-	-	-	-	-	-	-	58	21	141	6	33	-	-	2	-	2	-	-	5.04s	1	3	-	3	11	40	62	1.9	84.21%	16	1	2	-	-	9	256	-	2	-	-	-	1	-	-	-	-	2	-	-	-	-	-	74:35	-	20	Storm	Roosters
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	58	17	110	17	21	1	2	2	-	2	-	-	5.1s	-	-	-	2	10	47	66	2.76	71.43%	15	4	2	-	1	9	239	2	3	1	-	-	2	-	-	-	-	-	-	-	-	-	-	80:00	-	21	Storm	Knights
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	60	17	157	-	23	1	-	-	-	5	-	-	3.64s	1	17	-	3	6	38	55	2.24	75%	12	3	1	-	-	7	171	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	80:00	-	22	Storm	Eels
