Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
2	Winger	80:00	-	-	-	-	-	-	-	-	24	11	91	8	37	1	-	-	-	-	-	-	4.26s	-	-	-	1	-	2	14	0.18	83.33%	5	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	1	Sea Eagles	Bulldogs
2	Winger	80:00	-	-	-	-	-	-	-	-	23	14	143	11	55	-	-	-	-	3	1	-	3.67s	-	-	-	-	-	2	18	0.14	63.64%	7	3	1	-	-	-	-	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	3	Sea Eagles	Eels
2	Winger	82:00	-	-	-	-	-	-	-	-	20	14	112	-	48	-	-	-	-	1	2	-	3.78s	1	9	-	-	-	-	14	-	100%	4	-	-	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	82:00	-	4	Sea Eagles	Rabbitohs
2	Winger	77:00	4	1	-	-	-	-	-	-	27	12	113	12	34	1	-	-	-	1	-	-	3.91s	-	-	-	-	-	4	17	0.33	75%	3	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40:02	36:40	5	Sea Eagles	Knights
5	Winger	80:00	-	-	-	-	-	-	-	-	20	16	151	14	45	1	-	-	-	1	1	-	4.09s	1	6	-	-	-	3	21	0.19	100%	1	-	-	-	2	-	-	-	-	-	-	-	-	-	2	3	-	-	-	-	-	-	-	80:00	-	9	Sea Eagles	Titans
5	Winger	80:00	-	-	-	-	-	-	-	-	24	15	124	3	39	-	-	-	-	3	1	-	3.82s	-	-	-	-	-	2	19	0.13	100%	2	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	15	Sea Eagles	Dolphins
5	Winger	80:00	4	1	-	-	-	-	-	-	54	13	141	-	31	3	-	-	-	3	-	-	3.49s	-	-	-	1	-	1	15	0.08	71.43%	5	2	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	16	Sea Eagles	Eels
5	Winger	80:00	-	-	-	-	-	-	-	-	37	21	200	61	58	2	-	-	-	3	1	-	3.22s	-	-	-	-	-	1	23	0.05	75%	3	1	-	-	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	17	Sea Eagles	Storm
5	Winger	80:00	-	-	-	-	-	-	-	-	27	18	134	2	52	-	-	-	-	5	-	-	3.84s	1	11	-	1	1	3	22	0.17	40%	2	2	1	-	2	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	80:00	-	18	Sea Eagles	Roosters
5	Winger	80:00	-	-	-	-	-	-	-	-	27	16	127	-	59	-	-	-	-	-	-	-	3.84s	-	-	-	-	-	2	19	0.13	100%	5	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	20	Sea Eagles	Cowboys
5	Winger	80:00	-	-	-	-	-	-	-	-	8	10	80	8	34	-	-	-	-	-	-	-	3.8s	-	-	-	-	-	-	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	21	Sea Eagles	Sharks
5	Winger	68:00	-	-	-	-	-	-	-	-	19	12	113	-	55	1	-	-	-	1	-	-	3.94s	-	-	-	1	-	-	13	-	50%	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	67:33	-	22	Sea Eagles	Dragons
