Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	37	11	77	-	18	-	-	-	-	2	-	-	5.46s	1	10	-	-	-	23	35	2.09	87.5%	21	2	1	-	-	5	126	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	1	Rabbitohs	Sharks
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	39	11	81	-	9	-	1	1	-	1	-	-	4.14s	1	8	-	-	-	28	38	2.55	92.31%	24	2	-	-	-	6	139	-	1	3	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	2	Rabbitohs	Panthers
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	40	5	26	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-	26	36	5.2	85.71%	24	4	-	-	-	9	302	3	2	2	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	3	Rabbitohs	Roosters
6	Five-Eighth	82:00	8	2	-	-	-	-	-	-	51	12	99	-	4	1	1	-	-	2	-	-	3.54s	-	-	-	-	1	39	49	3.25	78.38%	29	6	2	-	-	4	143	-	1	-	-	-	-	-	2	2	-	-	-	1	-	-	-	82:00	-	4	Rabbitohs	Sea Eagles
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	79	20	115	-	4	1	-	-	-	4	1	-	6.76s	-	-	-	3	-	33	49	1.65	93.75%	30	1	1	-	1	9	237	-	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	5	Rabbitohs	Storm
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	65	10	75	-	6	1	4	3	-	5	-	-	3.47s	-	-	-	1	-	25	33	2.5	85.71%	18	3	-	-	-	1	12	-	-	-	-	-	1	-	1	1	-	-	-	1	-	-	-	80:00	-	6	Rabbitohs	Bulldogs
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	61	11	61	3	4	-	3	3	-	1	-	-	4.15s	-	-	-	1	1	32	47	2.91	86.67%	13	2	-	-	1	8	253	-	4	-	-	-	-	-	1	1	-	-	-	1	-	-	-	80:00	-	7	Rabbitohs	Dolphins
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	44	10	73	-	13	1	1	2	-	1	-	-	4.28s	3	36	-	1	2	42	53	4.2	85.71%	24	4	-	-	-	5	91	-	-	2	-	-	1	-	1	1	-	-	-	-	-	-	-	80:00	-	8	Rabbitohs	Panthers
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	59	10	77	-	10	1	1	1	-	2	-	-	4.65s	-	-	-	-	1	32	46	3.2	85.71%	18	2	1	1	-	9	291	-	3	-	-	-	1	-	-	-	-	1	-	-	-	-	-	80:00	-	9	Rabbitohs	Broncos
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	42	10	67	-	5	-	2	2	-	2	-	-	4.47s	-	-	-	1	1	35	45	3.5	70.59%	12	4	1	-	-	3	71	1	-	2	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	10	Rabbitohs	Storm
