Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
4	Interchange	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	Roosters	Dolphins
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	Roosters	Warriors
16	Interchange	56:00	-	-	-	-	-	-	-	-	20	6	46	4	12	-	1	1	-	1	-	-	3.56s	-	-	-	-	-	5	10	0.83	61.54%	8	1	4	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	56:11	-	5	Roosters	Eels
16	Interchange	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	Roosters	Storm
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	Roosters	Sharks
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	Roosters	Dragons
2	Winger	80:00	-	-	-	-	-	-	-	-	14	14	114	27	41	-	-	-	-	1	-	-	3.66s	1	7	-	-	-	6	24	0.43	87.5%	7	1	-	-	-	-	-	-	-	-	-	-	-	-	2	3	-	-	-	-	-	-	-	80:00	-	9	Roosters	Warriors
2	Winger	80:00	-	-	-	-	-	-	-	-	28	15	131	30	39	2	-	-	-	3	1	-	3.5s	-	-	-	-	-	6	22	0.4	66.67%	6	3	-	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	80:00	-	10	Roosters	Cowboys
2	Winger	80:00	4	1	-	-	-	-	-	-	40	16	132	24	4	2	-	-	-	3	-	-	3.66s	-	-	-	-	-	6	22	0.38	100%	6	-	-	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	11	Roosters	Panthers
2	Winger	80:00	-	-	-	-	-	-	-	-	24	16	134	3	44	-	1	-	-	1	-	-	3.94s	-	-	-	-	-	6	22	0.38	85.71%	6	-	1	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	80:00	-	12	Roosters	Dragons
2	Winger	80:00	-	-	-	-	-	-	-	-	30	5	49	3	8	1	1	2	-	1	-	-	4.41s	1	17	-	-	-	4	8	0.8	92.31%	12	1	-	-	-	1	18	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	14	Roosters	Bulldogs
3	Centre	55:00	-	-	-	-	-	-	-	-	17	7	53	-	13	-	1	-	-	-	-	-	2.94s	-	-	-	-	-	4	11	0.57	84.62%	11	-	2	-	-	1	32	-	1	-	-	-	-	-	1	1	-	-	-	-	-	-	-	55:18	-	15	Roosters	Panthers
3	Centre	80:00	-	-	-	-	-	-	-	-	16	7	52	-	21	-	-	-	-	3	1	-	3.67s	-	-	-	1	-	4	11	0.57	62.5%	10	5	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	16	Roosters	Knights
19	Centre	80:00	-	-	-	-	-	-	-	-	26	11	127	-	30	1	-	-	-	-	-	-	3.42s	-	-	-	1	-	1	12	0.09	76.19%	16	4	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	18	Roosters	Sea Eagles
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	Roosters	Titans
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	Roosters	Broncos
