Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
16	Interchange	41:00	-	-	-	-	-	-	-	-	33	15	127	28	37	-	-	-	-	-	13	-	3.69s	-	-	-	-	-	2	17	0.13	92.59%	25	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40:44	-	1	Raiders	Cowboys
16	Interchange	30:00	-	-	-	-	-	-	-	-	48	12	115	9	43	-	-	-	-	3	11	-	3.42s	-	-	-	2	1	2	14	0.17	92.59%	25	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11:30	19:11	2	Raiders	Dolphins
16	Interchange	50:00	8	2	-	-	-	-	-	-	65	10	85	-	14	2	-	-	-	5	9	-	4.03s	-	-	-	-	-	7	16	0.7	90%	27	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	49:38	-	3	Raiders	Sharks
16	Interchange	35:00	-	-	-	-	-	-	-	-	38	7	76	-	28	-	-	-	-	-	6	-	4.45s	-	-	-	-	-	2	9	0.29	86.84%	33	2	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	35:21	-	4	Raiders	Knights
17	Interchange	32:00	-	-	-	-	-	-	-	-	23	6	33	-	10	-	-	-	-	1	4	-	3.56s	-	-	-	-	-	3	7	0.5	95.45%	21	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	31:36	-	5	Raiders	Panthers
13	Lock	71:00	-	-	-	-	-	-	-	-	46	13	88	-	23	-	-	-	-	-	11	-	3.71s	-	-	-	-	1	12	24	0.92	93.02%	40	3	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	67:36	03:51	6	Raiders	Broncos
13	Lock	70:00	-	-	-	-	-	-	-	-	54	14	119	-	34	-	-	-	-	1	13	-	4.03s	-	-	-	1	-	10	24	0.71	95.24%	40	2	-	-	-	1	13	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	70:06	-	7	Raiders	Dragons
13	Lock	71:00	-	-	-	-	-	-	-	-	77	24	190	-	94	-	1	1	-	-	20	-	3.14s	-	-	-	5	1	13	34	0.54	89.13%	41	4	1	-	-	1	16	-	-	1	-	-	-	1	-	-	-	1	-	-	-	-	-	54:25	16:07	9	Raiders	Dolphins
13	Lock	62:00	-	-	-	-	-	-	-	-	56	17	180	-	76	-	-	-	-	4	13	-	3.17s	-	-	-	1	2	12	25	0.71	88.24%	30	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61:31	00:15	10	Raiders	Bulldogs
13	Lock	63:00	-	-	-	-	-	-	-	-	48	17	148	-	60	-	-	-	-	1	16	-	3s	-	-	-	1	-	10	26	0.59	97.3%	36	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	72:32	-	11	Raiders	Eels
