Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
8	Prop	47:00	-	-	-	-	-	-	-	-	40	10	100	8	41	-	-	-	-	-	9	-	3.41s	-	-	-	-	-	-	10	-	94.44%	34	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:10	27:35	1	Broncos	Panthers
8	Prop	44:00	-	-	-	-	-	-	-	-	28	10	106	-	51	-	-	-	-	-	10	-	2.8s	-	-	-	-	-	-	10	-	95.45%	21	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	25:43	18:24	2	Broncos	Cowboys
8	Interchange	33:00	-	-	-	-	-	-	-	-	35	13	158	-	70	-	-	-	-	1	13	-	3.48s	-	-	-	-	-	1	14	0.08	100%	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33:29	-	3	Broncos	Dragons
16	Interchange	38:00	-	-	-	-	-	-	-	-	38	12	141	30	58	-	-	-	-	3	10	-	3.29s	-	-	-	-	-	-	13	-	88%	22	1	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	37:29	-	4	Broncos	Dolphins
16	Interchange	34:00	-	-	-	-	-	-	-	-	27	14	147	22	59	-	-	-	-	-	11	-	4.05s	-	-	-	-	-	2	15	0.14	100%	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34:17	-	5	Broncos	Wests Tigers
16	Interchange	38:00	-	-	-	-	-	-	-	-	27	7	89	16	31	-	-	-	-	-	6	-	3.06s	-	-	-	-	-	-	7	-	95%	19	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13:10	24:30	6	Broncos	Raiders
8	Prop	36:00	-	-	-	-	-	-	-	-	34	9	85	6	24	-	-	-	-	1	8	-	3.96s	-	-	-	-	-	1	10	0.11	92.31%	24	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:01	12:27	7	Broncos	Titans
15	Interchange	33:00	-	-	-	-	-	-	-	-	36	11	112	28	28	-	-	-	-	2	9	-	3.07s	-	-	-	-	-	-	11	-	92%	23	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32:52	-	8	Broncos	Eels
15	Interchange	37:00	-	-	-	-	-	-	-	-	32	12	107	-	54	-	-	-	-	-	12	-	3.36s	-	-	-	-	-	-	12	-	95.65%	22	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	36:42	-	9	Broncos	Rabbitohs
15	Interchange	28:00	-	-	-	-	-	-	-	-	30	12	109	7	30	-	-	-	-	-	11	-	3.63s	-	-	-	-	1	-	12	-	95.65%	22	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:00	-	10	Broncos	Sea Eagles
