Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
14	Interchange	35:00	-	-	-	-	-	-	-	-	36	2	13	-	5	-	-	-	-	1	-	-	2.24s	2	13	-	-	-	50	52	25	96.88%	31	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34:38	-	1	Broncos	Panthers
14	Interchange	34:00	-	-	-	-	-	-	-	-	18	3	15	-	4	-	-	-	-	-	-	-	3.64s	2	12	-	1	-	44	46	14.67	94.12%	16	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	34:03	-	2	Broncos	Cowboys
14	Interchange	39:00	4	1	-	-	-	-	-	-	42	3	16	-	4	1	-	-	-	2	-	-	4.46s	3	16	-	-	1	50	55	16.67	95.83%	23	-	1	-	-	1	8	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	38:26	-	3	Broncos	Dragons
14	Interchange	37:00	-	-	-	-	-	-	-	-	32	3	31	-	11	-	-	-	-	1	2	-	4.68s	1	11	-	-	4	35	38	11.67	87.5%	21	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36:47	-	4	Broncos	Dolphins
14	Interchange	42:00	-	-	-	-	-	-	-	-	23	3	22	-	-	-	-	-	-	-	-	-	4s	3	22	-	-	-	48	49	16	91.3%	21	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	42:09	-	5	Broncos	Wests Tigers
14	Interchange	32:00	-	-	-	-	-	-	-	-	14	2	16	-	4	-	-	-	-	-	-	-	3.78s	2	16	-	-	-	37	39	18.5	93.75%	15	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	32:46	-	6	Broncos	Raiders
14	Interchange	43:00	-	-	-	-	-	-	-	-	20	4	30	-	4	-	-	-	-	-	1	-	4.52s	3	24	-	1	8	53	56	13.25	100%	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43:00	-	7	Broncos	Titans
14	Interchange	34:00	-	-	-	-	-	-	-	-	25	2	17	-	3	-	-	-	-	1	-	-	-	2	17	-	-	2	36	37	18	96%	24	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	34:27	-	8	Broncos	Eels
14	Interchange	36:00	-	-	-	-	-	-	-	-	32	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	36	37	36	100%	28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35:21	-	9	Broncos	Rabbitohs
14	Interchange	26:00	-	-	-	-	-	-	-	-	20	2	18	-	4	-	1	-	-	-	-	-	4s	2	18	-	-	2	42	43	21	90.48%	19	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:12	-	10	Broncos	Sea Eagles
14	Interchange	10:00	4	1	-	-	-	-	-	-	17	2	13	-	2	1	-	-	-	-	-	-	3.16s	2	13	-	-	1	16	19	8	100%	7	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	10:00	-	11	Broncos	Storm
14	Interchange	27:00	-	-	-	-	-	-	-	-	29	1	9	-	2	-	-	-	-	-	-	-	3.72s	1	9	-	-	1	36	38	36	89.66%	26	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:31	-	12	Broncos	Panthers
14	Interchange	27:00	-	-	-	-	-	-	-	-	20	2	9	-	1	-	-	-	-	-	1	-	-	1	2	-	1	-	28	30	14	94.12%	16	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:00	-	13	Broncos	Warriors
14	Interchange	22:00	-	-	-	-	-	-	-	-	18	2	24	-	4	-	-	-	-	-	-	-	3.46s	2	24	-	-	1	26	28	13	88.89%	16	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22:05	-	14	Broncos	Sharks
