Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
18	Winger	80:00	-	-	-	-	-	-	-	-	25	14	156	26	41	-	-	-	-	1	1	-	3.37s	-	-	-	-	-	-	16	-	66.67%	2	1	-	-	3	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	7	Warriors	Cowboys
2	Winger	80:00	8	2	-	-	-	-	-	-	56	16	157	33	40	2	-	-	-	8	-	-	3.08s	-	-	-	-	-	3	19	0.19	62.5%	5	3	-	-	4	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	8	Warriors	Storm
2	Fullback	80:00	-	-	-	-	-	-	-	-	30	18	163	99	47	-	-	-	-	2	-	-	3.75s	-	-	-	-	-	5	29	0.28	100%	5	-	-	-	7	1	21	1	-	1	-	-	-	-	2	3	-	-	-	-	-	-	-	80:00	-	9	Warriors	Roosters
2	Winger	67:00	-	-	-	-	-	-	-	-	33	16	137	-	39	1	-	-	-	5	-	-	2.93s	1	7	-	1	1	1	18	0.06	75%	3	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	64:59	02:28	10	Warriors	Panthers
2	Winger	80:00	4	1	-	-	-	-	-	-	28	17	152	18	53	-	-	-	-	4	-	-	3.21s	-	-	-	-	-	3	20	0.18	16.67%	1	5	-	1	2	1	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	11	Warriors	Bulldogs
2	Winger	80:00	8	2	-	-	-	-	-	-	79	21	241	38	57	3	-	-	-	9	-	-	3.31s	-	-	-	1	-	1	24	0.05	80%	4	1	-	1	2	1	2	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	13	Warriors	Broncos
2	Winger	80:00	8	2	-	-	-	-	-	-	52	16	209	8	52	1	-	-	-	4	1	-	2.89s	-	-	-	-	-	1	19	0.06	83.33%	5	1	-	1	1	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	14	Warriors	Dolphins
2	Winger	80:00	4	1	-	-	-	-	-	-	15	12	95	-	34	1	-	-	-	-	1	-	3.43s	-	-	-	1	-	3	19	0.25	33.33%	2	3	1	-	-	-	-	-	-	-	-	-	-	-	2	1	-	1	-	-	-	-	-	80:00	-	15	Warriors	Raiders
2	Winger	80:00	16	4	-	-	-	-	-	-	92	17	227	18	34	5	-	1	-	2	-	-	3.53s	-	-	-	2	1	2	19	0.12	66.67%	2	-	1	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	17	Warriors	Dragons
2	Winger	80:00	-	-	-	-	-	-	-	-	10	11	99	25	31	-	-	-	-	2	-	-	3.32s	-	-	-	-	-	-	13	-	62.5%	5	3	-	-	2	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	18	Warriors	Rabbitohs
2	Winger	80:00	4	1	-	-	-	-	-	-	34	16	148	55	43	1	-	-	-	3	1	-	3.21s	-	-	-	2	1	1	19	0.06	75%	3	1	-	-	1	1	26	-	-	-	-	-	-	-	3	2	-	-	-	-	-	-	-	80:00	-	19	Warriors	Eels
2	Winger	80:00	8	2	-	-	-	-	-	-	49	16	117	17	32	2	-	-	-	3	-	-	3.21s	-	-	-	2	1	5	24	0.31	100%	2	-	-	-	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	20	Warriors	Sharks
2	Winger	82:00	4	1	-	-	-	-	-	-	46	11	92	37	28	1	-	-	-	2	-	-	2.77s	-	-	-	-	-	4	14	0.36	87.5%	7	1	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	82:00	-	21	Warriors	Raiders
