Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
9	Hooker	80:00	-	-	-	-	-	-	-	-	68	11	137	-	31	-	-	-	-	5	2	-	5.85s	8	94	-	-	1	125	137	11.36	94%	47	1	2	-	-	1	17	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	1	Rabbitohs	Sharks
9	Hooker	80:00	-	-	-	-	-	-	-	-	57	8	50	-	15	-	-	-	-	-	2	-	4.84s	4	28	-	2	-	109	116	13.63	92.31%	60	4	1	-	-	-	-	-	-	-	-	-	-	-	2	1	-	2	-	-	-	-	-	80:00	-	2	Rabbitohs	Panthers
9	Hooker	80:00	-	-	-	-	-	-	-	-	52	9	107	-	20	-	-	-	-	3	1	-	4.06s	8	100	-	-	-	99	107	11	89.36%	42	2	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	3	Rabbitohs	Roosters
9	Hooker	82:00	-	-	-	-	-	-	-	-	64	8	63	-	9	-	-	1	-	1	-	-	3.06s	7	63	-	-	-	119	123	14.88	89.29%	50	2	4	-	-	2	55	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	82:00	-	4	Rabbitohs	Sea Eagles
9	Hooker	80:00	-	-	-	-	-	-	-	-	75	10	89	-	13	-	-	-	-	4	1	-	3.76s	8	75	-	-	-	137	139	13.7	97.87%	46	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	5	Rabbitohs	Storm
9	Hooker	80:00	-	-	-	-	-	-	-	-	50	9	53	-	7	-	1	1	-	3	2	-	4.8s	6	32	-	1	1	122	127	13.56	91.18%	31	-	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	80:00	-	6	Rabbitohs	Bulldogs
9	Hooker	80:00	-	-	-	-	-	-	-	-	53	7	44	-	7	-	-	-	-	4	2	-	4.48s	5	37	-	1	1	116	122	16.57	90%	45	3	2	-	-	1	36	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	80:00	-	7	Rabbitohs	Dolphins
9	Hooker	80:00	4	1	-	-	-	-	-	-	50	3	33	-	6	1	-	-	-	1	-	-	2s	3	33	-	-	1	124	127	41.33	89.13%	41	3	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	-	-	-	80:00	-	8	Rabbitohs	Panthers
9	Hooker	80:00	-	-	-	-	-	-	-	-	39	9	65	-	24	-	1	1	-	1	-	-	3.75s	8	65	-	1	1	127	132	14.11	82.22%	37	6	2	-	-	-	-	-	-	-	-	-	-	-	1	2	-	1	1	-	-	-	-	80:00	-	9	Rabbitohs	Broncos
9	Hooker	80:00	-	-	-	-	-	-	-	-	41	8	89	-	20	-	-	-	-	2	1	-	4.1s	7	78	-	1	2	114	121	14.25	92.11%	35	3	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	10	Rabbitohs	Storm
9	Hooker	80:00	-	-	-	-	-	-	-	-	57	3	19	-	3	-	1	1	-	-	1	-	3s	1	7	-	-	-	117	119	39	96.43%	54	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	11	Rabbitohs	Wests Tigers
9	Hooker	80:00	-	-	-	-	-	-	-	-	52	7	67	-	20	-	-	-	-	2	2	-	4.35s	4	42	-	-	2	98	106	14	87.27%	48	1	6	-	-	1	-	-	-	1	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	12	Rabbitohs	Eels
9	Hooker	80:00	4	1	-	-	-	-	-	-	60	2	15	-	6	-	-	-	-	-	-	-	4.34s	2	15	-	-	1	111	116	55.5	92.86%	52	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	13	Rabbitohs	Raiders
9	Hooker	80:00	-	-	-	-	-	-	-	-	51	6	49	-	9	-	1	1	-	2	1	-	6.16s	5	39	-	-	1	105	109	17.5	97.44%	38	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	14	Rabbitohs	Titans
9	Hooker	80:00	-	-	-	-	-	-	-	-	69	6	120	-	10	2	-	-	-	4	1	-	4.78s	5	115	-	-	1	93	101	15.5	87.93%	51	4	3	-	-	1	24	-	-	-	-	-	-	1	1	1	-	-	-	-	-	-	-	80:00	-	15	Rabbitohs	Dragons
9	Hooker	53:00	-	-	-	-	-	-	-	-	48	6	45	-	3	-	-	-	-	2	-	-	3.12s	5	45	-	-	2	72	75	12	95.24%	40	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	53:10	-	17	Rabbitohs	Cowboys
9	Interchange	63:00	-	-	-	-	-	-	-	-	38	7	59	-	21	-	1	1	-	-	1	-	4.5s	6	43	-	-	2	114	121	16.29	94.12%	32	2	-	-	-	1	21	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	63:00	-	18	Rabbitohs	Warriors
9	Hooker	71:00	-	-	-	-	-	-	-	-	42	6	55	-	10	-	1	1	-	-	1	-	3.41s	4	43	-	-	3	92	93	15.33	80.85%	38	3	6	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	59:31	11:50	21	Rabbitohs	Broncos
9	Hooker	80:00	-	-	-	-	-	-	-	-	47	6	42	-	8	-	-	-	-	-	1	-	4.08s	5	38	-	1	-	118	123	19.67	84.44%	38	4	3	-	1	2	14	1	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	22	Rabbitohs	Wests Tigers
