Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
3	Centre	80:00	-	-	-	-	-	-	-	-	53	16	173	-	57	-	2	2	-	5	-	-	3.15s	4	46	-	-	-	4	22	0.25	100%	14	-	-	-	-	1	26	-	1	-	-	-	-	-	2	-	-	1	-	-	-	-	-	80:00	-	2	Knights	Wests Tigers
3	Centre	80:00	-	-	-	-	-	-	-	-	35	15	165	-	56	-	1	-	-	4	-	-	3.06s	2	26	-	-	-	5	20	0.33	80%	16	2	2	-	1	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	3	Knights	Dolphins
3	Centre	80:00	4	1	-	-	-	-	-	-	77	19	185	20	64	1	1	1	-	7	1	-	3.6s	1	9	-	4	1	6	23	0.32	94.74%	18	-	1	-	-	-	-	-	-	-	-	-	-	-	2	2	1	1	-	-	-	-	-	80:00	-	4	Knights	Raiders
3	Centre	90:00	-	-	-	-	-	-	-	-	65	18	214	-	52	-	2	1	-	11	3	-	2.43s	1	6	-	2	-	8	23	0.44	78.57%	22	5	1	-	1	-	-	-	-	-	-	-	-	-	1	2	-	3	-	-	-	-	-	90:00	-	5	Knights	Sea Eagles
3	Centre	80:00	-	-	-	-	-	-	-	-	59	20	174	4	59	-	1	1	-	5	2	-	3.8s	-	-	-	2	-	4	22	0.2	77.78%	14	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Knights	Warriors
3	Centre	81:00	-	-	-	-	-	-	-	-	27	12	108	-	25	-	1	1	-	-	-	-	3.26s	-	-	-	1	-	4	14	0.33	80%	24	6	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	2	-	-	-	-	-	81:00	-	7	Knights	Panthers
3	Centre	80:00	-	-	-	-	-	-	-	-	67	24	237	-	80	1	-	-	-	13	5	-	2.85s	1	10	-	2	-	6	26	0.25	90.91%	10	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	8	Knights	Cowboys
3	Centre	80:00	-	-	-	-	-	-	-	-	65	15	130	-	45	-	2	1	-	7	1	-	3.69s	-	-	-	3	1	6	20	0.4	77.14%	27	5	3	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	9	Knights	Eels
3	Centre	80:00	4	1	-	-	-	-	-	-	48	13	122	-	35	1	-	-	-	5	2	-	3.28s	2	17	-	-	-	3	14	0.23	75%	18	5	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	11	Knights	Titans
3	Centre	80:00	-	-	-	-	-	-	-	-	24	14	143	-	46	-	-	-	-	5	1	-	3.1s	1	3	-	1	-	3	17	0.21	63.64%	14	7	1	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	12	Knights	Sharks
3	Centre	80:00	-	-	-	-	-	-	-	-	41	21	165	20	29	-	-	-	-	4	2	-	2.99s	2	11	-	1	-	9	25	0.43	85.71%	12	1	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	13	Knights	Sea Eagles
3	Centre	80:00	-	-	-	-	-	-	-	-	67	17	148	-	25	-	3	2	-	6	2	-	2.72s	-	-	-	2	-	9	24	0.53	75.86%	22	6	1	-	-	1	4	-	1	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	15	Knights	Broncos
3	Centre	80:00	-	-	-	-	-	-	-	-	58	21	176	-	44	1	-	1	-	10	2	-	3.22s	-	-	-	2	2	7	28	0.33	81.48%	22	4	1	-	-	1	12	-	-	-	-	-	1	-	4	2	1	-	-	-	-	-	-	80:00	-	16	Knights	Roosters
3	Centre	80:00	-	-	-	-	-	-	-	-	31	21	168	6	39	1	-	-	-	8	-	-	2.98s	1	5	-	1	-	3	23	0.14	78.95%	15	4	-	-	-	-	-	-	-	-	-	-	-	-	6	6	1	1	-	-	-	-	-	80:00	-	17	Knights	Panthers
3	Centre	80:00	-	-	-	-	-	-	-	-	51	16	141	4	36	-	2	1	-	3	1	-	3.6s	-	-	-	2	-	4	19	0.25	83.33%	20	3	1	-	-	1	2	-	-	1	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	21	Knights	Storm
3	Centre	80:00	-	-	-	-	-	-	-	-	74	21	241	24	62	2	1	2	-	5	1	-	3.35s	-	-	-	1	1	3	22	0.14	95%	19	1	-	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	22	Knights	Raiders
