Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
10	Prop	65:00	-	-	-	-	-	-	-	-	65	19	186	-	72	-	-	-	-	3	17	-	4.24s	-	-	-	2	2	11	28	0.58	100%	34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	53:01	12:06	1	Wests Tigers	Titans
10	Prop	56:00	-	-	-	-	-	-	-	-	42	11	97	-	39	-	-	-	-	-	11	-	3.34s	-	-	-	-	-	6	17	0.55	96.67%	29	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	49:07	06:47	2	Wests Tigers	Knights
10	Prop	51:00	-	-	-	-	-	-	-	-	45	14	182	47	46	1	-	-	-	1	11	-	3.07s	-	-	-	-	1	4	17	0.29	96.15%	25	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	25:22	26:28	3	Wests Tigers	Bulldogs
10	Prop	49:00	-	-	-	-	-	-	-	-	48	15	131	24	56	-	-	-	-	-	12	-	3.85s	-	-	-	1	1	5	19	0.33	100%	31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:59	24:17	4	Wests Tigers	Storm
10	Prop	44:00	-	-	-	-	-	-	-	-	34	15	138	13	51	-	-	-	-	-	14	-	3.14s	-	-	-	2	1	2	17	0.13	100%	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	20:41	22:46	5	Wests Tigers	Broncos
10	Prop	50:00	-	-	-	-	-	-	-	-	42	20	176	24	78	-	-	-	-	-	17	-	2.71s	-	-	-	2	-	7	27	0.35	95%	19	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:38	20:34	6	Wests Tigers	Eels
10	Prop	47:00	-	-	-	-	-	-	-	-	45	15	155	30	53	-	-	-	-	1	13	-	3.35s	-	-	-	1	2	8	23	0.53	100%	24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:23	17:57	8	Wests Tigers	Sea Eagles
10	Prop	47:00	-	-	-	-	-	-	-	-	58	23	215	-	86	-	-	-	-	1	23	-	3.31s	-	-	-	2	-	3	26	0.13	100%	25	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	24:52	22:06	9	Wests Tigers	Panthers
10	Prop	50:00	-	-	-	-	-	-	-	-	51	19	173	16	54	-	-	-	-	1	18	-	2.94s	-	-	-	2	-	-	19	-	100%	26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:08	22:23	10	Wests Tigers	Dragons
10	Prop	48:00	-	-	-	-	-	-	-	-	43	14	147	11	58	-	-	-	-	-	13	-	2.94s	-	-	-	-	-	5	19	0.36	96.67%	29	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:51	24:10	11	Wests Tigers	Rabbitohs
