Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
16	Prop	39:00	-	-	-	-	-	-	-	-	34	15	146	-	52	-	-	-	-	1	15	-	4.11s	-	-	-	-	-	-	15	-	95.24%	20	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:05	17:49	1	Rabbitohs	Sharks
16	Prop	25:00	-	-	-	-	-	-	-	-	20	8	69	-	24	-	-	-	-	-	8	-	4.57s	-	-	-	-	-	1	9	0.13	88.89%	16	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11:12	14:08	2	Rabbitohs	Panthers
16	Interchange	23:00	-	-	-	-	-	-	-	-	22	5	50	-	18	-	-	-	-	-	5	-	4.02s	-	-	-	-	-	-	5	-	95%	19	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:00	-	3	Rabbitohs	Roosters
16	Interchange	20:00	-	-	-	-	-	-	-	-	9	7	49	10	17	-	-	-	-	-	6	-	4.36s	-	-	-	-	-	-	7	-	90%	9	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	19:59	-	4	Rabbitohs	Sea Eagles
16	Interchange	29:00	-	-	-	-	-	-	-	-	21	12	97	4	36	-	-	-	-	-	11	-	3.69s	-	-	-	-	-	-	12	-	100%	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	29:42	-	5	Rabbitohs	Storm
16	Interchange	27:00	-	-	-	-	-	-	-	-	18	8	76	7	26	-	-	-	-	-	7	-	3.4s	-	-	-	-	-	-	8	-	84.62%	11	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:33	-	6	Rabbitohs	Bulldogs
16	Interchange	54:00	-	-	-	-	-	-	-	-	45	17	177	32	71	-	-	-	-	1	14	-	3.48s	1	2	-	-	-	1	18	0.06	80%	28	3	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	53:19	-	7	Rabbitohs	Dolphins
17	Interchange	33:00	-	-	-	-	-	-	-	-	23	10	95	12	29	-	-	-	-	1	9	-	3.63s	-	-	-	-	-	-	10	-	93.33%	14	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32:44	-	8	Rabbitohs	Panthers
15	Interchange	13:00	-	-	-	-	-	-	-	-	8	4	37	8	17	-	-	-	-	-	3	-	4.51s	-	-	-	-	-	-	4	-	83.33%	5	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12:34	-	9	Rabbitohs	Broncos
16	Interchange	25:00	-	-	-	-	-	-	-	-	24	2	29	17	10	-	-	-	-	-	1	-	3.14s	-	-	-	-	-	-	2	-	92.86%	26	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25:04	-	17	Rabbitohs	Cowboys
16	Interchange	29:00	-	-	-	-	-	-	-	-	22	10	79	-	31	-	-	-	-	-	10	-	4.56s	-	-	-	-	-	-	11	-	92.86%	13	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:28	-	18	Rabbitohs	Warriors
16	Interchange	33:00	-	-	-	-	-	-	-	-	23	7	70	-	29	-	-	-	-	1	7	-	3.35s	-	-	-	-	-	1	8	0.14	80%	20	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32:27	-	19	Rabbitohs	Bulldogs
21	Interchange	21:00	-	-	-	-	-	-	-	-	14	8	63	-	22	-	-	-	-	-	8	-	3.47s	-	-	-	-	-	-	8	-	90%	9	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:26	-	21	Rabbitohs	Broncos
14	Interchange	29:00	-	-	-	-	-	-	-	-	15	11	74	-	23	-	-	-	-	1	11	-	3.77s	-	-	-	-	-	-	11	-	80%	12	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	29:06	-	22	Rabbitohs	Wests Tigers
