Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
14	Interchange	45:00	-	-	-	-	-	-	-	-	28	11	113	17	17	-	-	-	-	-	6	-	3.33s	1	7	-	-	1	18	25	1.64	86.21%	25	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	45:08	-	1	Warriors	Knights
14	Interchange	64:00	-	-	-	-	-	-	-	-	30	9	80	-	39	-	-	-	-	1	-	-	3.61s	2	12	-	-	4	36	46	4	93.1%	27	2	-	-	-	1	11	-	-	1	-	-	-	1	1	1	-	-	1	-	-	-	-	63:41	-	2	Warriors	Roosters
14	Interchange	56:00	-	-	-	-	-	-	-	-	51	20	157	11	38	-	1	1	-	1	16	-	3.5s	-	-	-	-	4	15	32	0.75	84.38%	27	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	56:28	-	3	Warriors	Cowboys
14	Interchange	57:00	-	-	-	-	-	-	-	-	46	19	143	12	53	-	-	-	-	5	13	-	3.14s	1	7	-	2	2	17	31	0.89	90.91%	20	1	1	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	57:00	-	4	Warriors	Bulldogs
14	Interchange	61:00	-	-	-	-	-	-	-	-	36	10	90	-	30	-	-	-	-	3	5	-	3.07s	-	-	-	-	-	13	19	1.3	90%	27	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61:00	-	5	Warriors	Sharks
14	Interchange	60:00	-	-	-	-	-	-	-	-	28	14	111	-	21	-	-	-	-	-	7	-	3.32s	-	-	-	-	3	19	27	1.36	86.11%	31	5	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	60:00	-	6	Warriors	Knights
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	35	5	39	-	-	1	-	-	-	2	-	-	3.08s	-	-	-	-	1	17	25	3.4	91.67%	22	2	-	-	2	1	27	-	-	-	-	-	-	-	1	2	-	1	-	-	-	-	-	80:00	-	7	Warriors	Cowboys
6	Five-Eighth	70:00	-	-	-	-	-	-	-	-	20	10	71	-	7	-	1	1	-	-	-	-	2.99s	-	-	-	-	2	27	32	2.7	85.71%	18	3	-	-	1	1	31	-	1	-	-	-	-	-	-	-	-	1	1	-	1	1	-	70:00	-	8	Warriors	Storm
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	32	19	126	-	18	-	-	-	-	2	-	-	3.94s	2	14	-	1	7	34	45	1.79	80%	16	2	2	-	-	3	60	-	1	1	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	9	Warriors	Roosters
6	Five-Eighth	78:00	-	-	-	-	-	-	-	-	26	6	32	-	6	-	1	-	-	1	-	-	2.8s	-	-	-	2	4	28	36	4.67	80%	24	4	2	-	-	2	10	-	-	1	-	-	-	-	2	1	-	-	1	-	-	-	-	77:32	-	10	Warriors	Panthers
15	Interchange	60:00	-	-	-	-	-	-	-	-	45	11	65	-	7	-	1	1	-	1	6	-	4.07s	-	-	-	-	1	18	24	1.64	88.37%	38	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	60:00	-	11	Warriors	Bulldogs
14	Interchange	42:00	-	-	-	-	-	-	-	-	39	14	97	-	25	-	1	1	-	1	11	-	3.46s	-	-	-	2	3	13	24	0.93	94.12%	16	1	-	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	1	-	-	-	-	42:05	-	17	Warriors	Dragons
14	Interchange	44:00	-	-	-	-	-	-	-	-	45	7	60	-	21	-	-	-	-	-	5	-	3.32s	1	10	-	-	1	1	7	0.14	100%	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30:43	12:28	18	Warriors	Rabbitohs
14	Interchange	41:00	4	1	-	-	-	-	-	-	49	11	126	-	40	1	1	-	-	2	7	-	4.82s	-	-	-	-	2	12	20	1.09	89.29%	25	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40:24	-	19	Warriors	Eels
17	Interchange	49:00	-	-	-	-	-	-	-	-	37	18	147	-	48	-	1	-	-	1	13	-	2.88s	-	-	-	-	1	13	26	0.72	88.46%	23	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	49:14	-	20	Warriors	Sharks
14	Interchange	43:00	-	-	-	-	-	-	-	-	34	11	113	-	33	-	-	-	-	2	8	-	3.46s	-	-	-	1	6	6	15	0.55	89.29%	25	2	1	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	35:48	07:07	21	Warriors	Raiders
