Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
12	2nd Row	84:00	-	-	-	-	-	-	-	-	39	12	117	-	49	-	-	-	-	-	12	-	2.91s	-	-	-	-	1	-	13	-	91.3%	42	4	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	1	-	-	84:00	-	1	Storm	Eels
12	2nd Row	80:00	-	-	-	-	-	-	-	-	63	10	160	-	46	3	-	-	-	3	7	-	4.05s	-	-	-	3	-	4	14	0.4	85.71%	24	4	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	80:00	-	2	Storm	Bulldogs
12	2nd Row	80:00	-	-	-	-	-	-	-	-	58	18	163	12	49	1	-	-	-	1	16	-	3.59s	-	-	-	1	-	1	20	0.06	97.3%	36	-	1	-	-	-	-	-	-	-	-	-	-	-	2	2	-	2	-	-	1	-	-	80:00	-	3	Storm	Titans
12	2nd Row	80:00	-	-	-	-	-	-	-	-	59	14	125	-	45	1	1	2	-	5	13	-	4.04s	-	-	-	-	1	2	16	0.14	84.62%	33	3	3	-	-	-	-	-	-	-	-	-	-	-	2	1	-	1	-	-	-	-	-	80:00	-	4	Storm	Wests Tigers
12	2nd Row	80:00	-	-	-	-	-	-	-	-	35	14	154	-	53	-	-	-	-	1	13	-	4.69s	-	-	-	-	-	4	18	0.29	79.41%	27	5	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	5	Storm	Rabbitohs
12	2nd Row	80:00	-	-	-	-	-	-	-	-	57	13	119	-	33	1	-	-	-	5	13	-	4.51s	-	-	-	1	-	3	16	0.23	93.75%	30	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Storm	Roosters
12	2nd Row	80:00	-	-	-	-	-	-	-	-	33	7	67	-	21	-	-	-	-	-	7	-	3.48s	-	-	-	-	-	1	8	0.14	89.74%	35	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	7	Storm	Sea Eagles
12	2nd Row	38:00	-	-	-	-	-	-	-	-	19	4	38	8	16	-	-	-	-	-	3	-	4.8s	-	-	-	-	-	-	4	-	90.48%	19	2	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	38:04	-	8	Storm	Warriors
12	2nd Row	80:00	-	-	-	-	-	-	-	-	25	13	129	-	40	-	-	-	-	1	12	-	4.32s	-	-	-	1	-	3	16	0.23	80.65%	25	5	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	3	-	-	-	-	-	80:00	-	10	Storm	Rabbitohs
12	2nd Row	80:00	-	-	-	-	-	-	-	-	55	20	172	-	76	-	-	-	-	1	19	-	4.35s	-	-	-	2	-	1	20	0.05	93.75%	30	-	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	11	Storm	Broncos
12	2nd Row	53:00	4	1	-	-	-	-	-	-	63	11	83	-	27	1	1	1	-	6	11	-	2.68s	-	-	-	1	1	1	12	0.09	100%	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	52:40	-	12	Storm	Dolphins
12	2nd Row	80:00	-	-	-	-	-	-	-	-	44	10	87	-	36	1	-	-	-	3	10	-	3.45s	-	-	-	-	-	2	12	0.2	88.89%	32	4	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	14	Storm	Cowboys
12	2nd Row	10:00	-	-	-	-	-	-	-	-	8	3	24	-	9	-	-	-	-	-	3	-	4.52s	-	-	-	-	-	-	3	-	100%	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	09:55	-	15	Storm	Sharks
16	Interchange	54:00	4	1	-	-	-	-	-	-	49	10	82	-	26	1	-	-	-	3	10	-	3.78s	-	-	-	1	-	1	11	0.1	87.5%	21	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	54:00	-	22	Storm	Eels
