Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
15	Interchange	28:00	-	-	-	-	-	-	-	-	34	6	75	-	34	-	-	-	-	1	6	-	2.86s	-	-	-	1	-	5	11	0.83	100%	21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:19	-	1	Titans	Wests Tigers
16	Prop	44:00	-	-	-	-	-	-	-	-	35	11	97	12	28	-	-	-	-	-	8	-	3.28s	-	-	-	1	-	3	12	0.27	91.67%	22	1	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	27:51	15:42	2	Titans	Dragons
15	Interchange	40:00	-	-	-	-	-	-	-	-	26	7	56	-	19	-	-	-	-	1	5	-	3.04s	-	-	-	-	-	21	26	3	87.5%	21	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:37	11:21	3	Titans	Storm
16	Interchange	50:00	-	-	-	-	-	-	-	-	22	4	32	-	8	-	-	-	-	-	4	-	2.64s	-	-	-	-	-	13	17	3.25	86.36%	19	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50:16	-	4	Titans	Cowboys
14	Interchange	46:00	-	-	-	-	-	-	-	-	33	9	94	-	26	-	-	-	-	2	6	-	3.34s	-	-	-	-	2	12	19	1.33	85.71%	24	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32:22	13:13	6	Titans	Dragons
15	Interchange	40:00	-	-	-	-	-	-	-	-	33	8	115	-	36	1	-	-	-	2	7	-	2.97s	-	-	-	-	2	5	12	0.63	85.71%	18	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:41	10:50	7	Titans	Broncos
15	Interchange	40:00	-	-	-	-	-	-	-	-	27	5	53	-	18	-	-	-	-	-	4	-	3.09s	-	-	-	1	-	2	6	0.4	88.89%	24	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	40:09	-	8	Titans	Dolphins
15	Interchange	28:00	-	-	-	-	-	-	-	-	22	8	76	-	14	-	-	-	-	1	5	-	3s	-	-	-	-	-	9	14	1.13	93.75%	15	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:46	03:54	9	Titans	Sea Eagles
15	Interchange	31:00	-	-	-	-	-	-	-	-	19	5	50	7	11	-	-	-	-	-	3	-	2.29s	-	-	-	-	-	3	7	0.6	81.82%	18	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:53	06:49	10	Titans	Eels
15	Interchange	34:00	-	-	-	-	-	-	-	-	27	6	55	-	19	-	-	-	-	-	5	-	3.05s	-	-	-	1	-	4	9	0.67	87.5%	21	2	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34:09	-	12	Titans	Bulldogs
15	Interchange	26:00	-	-	-	-	-	-	-	-	22	7	67	-	20	-	-	-	-	1	4	-	3.36s	-	-	-	-	-	9	12	1.29	100%	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	25:28	-	14	Titans	Rabbitohs
15	Interchange	17:00	-	-	-	-	-	-	-	-	14	5	34	-	6	-	-	-	-	1	3	-	3.56s	-	-	-	-	-	8	11	1.6	84.62%	11	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:42	-	15	Titans	Wests Tigers
15	Interchange	41:00	-	-	-	-	-	-	-	-	28	10	77	-	26	-	-	-	-	1	9	-	3.29s	-	-	-	-	4	6	15	0.6	95.83%	23	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	40:21	-	17	Titans	Broncos
15	Interchange	25:00	-	-	-	-	-	-	-	-	33	11	119	-	35	-	-	-	-	3	10	-	3.8s	-	-	-	-	-	10	20	0.91	100%	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:38	-	18	Titans	Raiders
15	Interchange	44:00	-	-	-	-	-	-	-	-	46	11	112	29	45	-	-	-	-	2	8	-	3.81s	-	-	-	1	1	8	18	0.73	89.19%	33	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	31:05	13:11	19	Titans	Dolphins
16	Interchange	42:00	-	-	-	-	-	-	-	-	25	6	53	-	17	-	-	-	-	1	6	-	3.87s	-	-	-	1	-	5	11	0.83	84.62%	22	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:32	13:38	20	Titans	Eels
13	Lock	55:00	4	1	-	-	-	-	-	-	76	18	157	-	35	1	-	-	-	5	12	-	3.63s	-	-	-	4	1	16	28	0.89	86.21%	25	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:39	30:48	21	Titans	Roosters
13	Lock	50:00	-	-	-	-	-	-	-	-	47	16	130	-	48	-	-	-	-	2	12	-	3.21s	-	-	-	1	2	12	25	0.75	100%	24	-	-	-	-	2	28	1	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	30:34	19:14	22	Titans	Cowboys
