Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
11	2nd Row	80:00	-	-	-	-	-	-	-	-	39	12	96	-	23	-	-	-	-	1	9	-	3.78s	-	-	-	-	-	6	15	0.5	85.71%	30	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	1	Dolphins	Roosters
11	2nd Row	80:00	-	-	-	-	-	-	-	-	38	10	96	-	37	-	-	-	-	1	10	-	3.64s	-	-	-	-	-	2	13	0.2	96.77%	30	-	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-	-	-	80:00	-	2	Dolphins	Raiders
11	2nd Row	70:00	-	-	-	-	-	-	-	-	12	11	86	-	27	-	-	-	-	-	11	-	3.56s	-	-	-	-	-	1	13	0.09	95.45%	21	1	-	-	-	-	-	-	-	-	-	-	-	-	3	3	-	2	-	-	2	1	-	70:00	-	3	Dolphins	Knights
11	2nd Row	80:00	-	-	-	-	-	-	-	-	35	15	132	-	48	-	-	-	-	2	14	-	2.97s	-	-	-	-	-	2	16	0.13	84.85%	28	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	8	Dolphins	Titans
11	2nd Row	84:00	-	-	-	-	-	-	-	-	33	6	54	-	19	-	-	-	-	-	6	-	3.7s	-	-	-	-	-	-	6	-	85%	34	3	3	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	84:00	-	9	Dolphins	Raiders
11	2nd Row	80:00	-	-	-	-	-	-	-	-	51	14	118	-	49	-	-	-	-	2	14	-	3.19s	-	-	-	-	1	1	15	0.07	100%	31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	80:00	-	10	Dolphins	Sharks
11	2nd Row	70:00	-	-	-	-	-	-	-	-	24	11	103	-	63	-	-	-	-	2	11	-	3.48s	-	-	-	-	-	2	13	0.18	100%	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	1	1	-	70:00	-	12	Dolphins	Storm
11	2nd Row	80:00	-	-	-	-	-	-	-	-	30	11	102	-	45	-	1	-	-	-	11	-	3s	-	-	-	-	-	4	15	0.36	81.48%	22	3	2	-	1	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	17	Dolphins	Eels
11	2nd Row	17:00	-	-	-	-	-	-	-	-	11	3	27	-	10	-	-	-	-	-	3	-	3.6s	-	-	-	-	-	1	4	0.33	100%	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:00	-	18	Dolphins	Broncos
11	2nd Row	80:00	-	-	-	-	-	-	-	-	49	15	131	-	43	-	1	-	-	1	15	-	3.64s	-	-	-	-	-	5	20	0.33	92.5%	37	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	80:00	-	20	Dolphins	Panthers
11	2nd Row	80:00	-	-	-	-	-	-	-	-	48	15	142	-	54	1	1	-	-	-	14	-	2.76s	-	-	-	1	-	3	17	0.2	96.3%	26	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	22	Dolphins	Bulldogs
