Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
16	Interchange	30:00	-	-	-	-	-	-	-	-	23	7	66	-	22	-	-	-	-	-	7	-	4.68s	-	-	-	-	-	-	7	-	100%	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30:00	-	1	Wests Tigers	Titans
13	Lock	52:00	4	1	-	-	-	-	-	-	49	13	123	-	32	-	-	-	-	1	12	-	3.24s	-	-	-	1	1	-	14	-	93.1%	27	1	1	-	-	-	-	-	-	-	-	-	-	-	1	2	-	-	-	-	-	-	-	31:57	19:55	3	Wests Tigers	Bulldogs
13	Lock	51:00	-	-	-	-	-	-	-	-	46	13	135	-	62	-	-	-	-	2	13	-	3.34s	-	-	-	-	1	-	13	-	100%	27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	35:03	16:25	4	Wests Tigers	Storm
13	Lock	56:00	-	-	-	-	-	-	-	-	27	5	63	-	30	-	-	-	-	-	5	-	3.15s	-	-	-	-	-	1	6	0.2	93.55%	29	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	1	-	-	49:09	07:18	5	Wests Tigers	Broncos
13	Lock	54:00	-	-	-	-	-	-	-	-	27	11	81	-	23	-	-	-	-	2	11	-	2.77s	-	-	-	-	-	2	12	0.18	89.47%	17	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35:07	19:22	6	Wests Tigers	Eels
13	Lock	59:00	-	-	-	-	-	-	-	-	35	13	131	21	33	-	-	-	-	-	11	-	3s	-	-	-	1	-	4	18	0.31	95.65%	22	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	58:40	-	8	Wests Tigers	Sea Eagles
13	Lock	66:00	-	-	-	-	-	-	-	-	38	13	114	-	49	-	-	-	-	1	13	-	3.69s	-	-	-	-	-	1	14	0.08	93.1%	27	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	65:47	-	9	Wests Tigers	Panthers
13	Lock	45:00	-	-	-	-	-	-	-	-	32	11	97	-	33	-	-	-	-	3	11	-	3.2s	-	-	-	-	-	1	13	0.09	90.91%	20	1	1	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-	21:42	23:06	10	Wests Tigers	Dragons
13	Lock	57:00	-	-	-	-	-	-	-	-	35	6	56	-	29	-	-	-	-	-	6	-	2.65s	-	-	-	-	-	-	6	-	91.67%	33	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	50:32	06:08	11	Wests Tigers	Rabbitohs
13	Interchange	45:00	4	1	-	-	-	-	-	-	41	10	102	-	35	1	-	-	-	2	10	-	3.62s	-	-	-	-	-	3	13	0.3	100%	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35:47	08:47	12	Wests Tigers	Cowboys
13	Lock	44:00	-	-	-	-	-	-	-	-	33	10	143	49	46	-	-	-	-	2	6	-	4.52s	-	-	-	-	-	3	13	0.3	95%	19	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	22:29	22:01	14	Wests Tigers	Raiders
13	Interchange	37:00	-	-	-	-	-	-	-	-	25	5	38	-	18	-	-	-	-	-	4	-	4.36s	-	-	-	-	-	1	6	0.2	100%	23	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	33:08	04:27	15	Wests Tigers	Titans
8	Prop	45:00	-	-	-	-	-	-	-	-	34	9	82	-	31	-	-	-	-	-	9	-	2.85s	-	-	-	-	-	2	12	0.22	96.77%	30	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	21:50	23:20	16	Wests Tigers	Storm
15	Interchange	35:00	-	-	-	-	-	-	-	-	29	3	31	-	16	-	-	-	-	1	3	-	3.71s	-	-	-	-	-	2	5	0.67	100%	24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34:59	-	18	Wests Tigers	Cowboys
13	Lock	59:00	-	-	-	-	-	-	-	-	44	15	128	-	51	-	-	-	-	-	15	-	3.53s	-	-	-	1	1	3	18	0.2	92.31%	36	3	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	31:58	26:31	19	Wests Tigers	Sharks
13	Lock	33:00	-	-	-	-	-	-	-	-	9	5	47	-	21	-	-	-	-	-	5	-	3.44s	-	-	-	-	-	1	6	0.2	85%	17	3	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	-	-	-	22:07	11:25	20	Wests Tigers	Knights
