Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
8	Prop	40:00	-	-	-	-	-	-	-	-	33	11	114	-	46	-	-	-	-	1	11	-	3.38s	-	-	-	-	-	1	12	0.09	76.67%	23	3	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	21:38	17:33	2	Dragons	Titans
8	Prop	55:00	-	-	-	-	-	-	-	-	37	15	176	-	84	-	-	-	-	1	15	-	4.25s	-	-	-	1	-	-	15	-	86.67%	26	3	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	23:54	30:32	3	Dragons	Broncos
8	Prop	49:00	-	-	-	-	-	-	-	-	37	12	96	-	37	-	-	-	-	-	11	-	3.81s	-	-	-	-	-	1	13	0.08	90.32%	28	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:17	21:03	4	Dragons	Sharks
8	Prop	42:00	-	-	-	-	-	-	-	-	31	12	107	-	49	-	-	-	-	1	12	-	3.97s	-	-	-	-	-	1	14	0.08	92.59%	25	1	1	-	-	-	-	-	-	-	-	-	-	-	2	2	1	-	-	-	-	-	-	23:02	18:45	5	Dragons	Dolphins
8	Prop	38:00	-	-	-	-	-	-	-	-	30	12	131	15	56	-	-	-	-	2	11	-	4.22s	-	-	-	-	1	2	14	0.17	85.71%	24	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	-	28:36	19:24	6	Dragons	Titans
18	Lock	41:00	-	-	-	-	-	-	-	-	36	9	70	-	31	-	-	-	-	1	9	-	3.49s	-	-	-	-	-	-	9	-	91.18%	31	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	19:22	21:53	12	Dragons	Roosters
8	Prop	44:00	-	-	-	-	-	-	-	-	41	9	92	30	32	-	-	-	-	-	7	-	3.31s	-	-	-	-	-	-	9	-	97.3%	36	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	18:45	17:48	13	Dragons	Dolphins
8	Prop	59:00	-	-	-	-	-	-	-	-	48	14	118	-	53	-	-	-	-	4	14	-	3.57s	-	-	-	-	-	2	16	0.14	86.05%	37	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:25	36:12	14	Dragons	Panthers
8	Prop	58:00	-	-	-	-	-	-	-	-	38	11	119	-	55	-	-	-	-	-	11	-	3.39s	-	-	-	-	-	2	13	0.18	93.94%	31	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	25:16	32:57	15	Dragons	Rabbitohs
8	Prop	44:00	4	1	-	-	-	-	-	-	43	13	112	-	46	-	-	-	-	-	13	-	4.14s	-	-	-	1	-	-	14	-	91.67%	22	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20:55	23:01	17	Dragons	Warriors
8	Prop	46:00	-	-	-	-	-	-	-	-	42	13	100	-	43	-	-	-	-	3	13	-	4.03s	-	-	-	-	-	2	15	0.15	100%	28	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	18:48	27:17	18	Dragons	Sharks
8	Prop	38:00	-	-	-	-	-	-	-	-	36	13	114	-	49	-	1	-	-	-	13	-	3.53s	-	-	-	2	-	-	13	-	91.3%	21	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	21:03	17:13	19	Dragons	Raiders
8	Prop	41:00	-	-	-	-	-	-	-	-	29	15	134	-	58	-	-	-	-	-	14	-	4.01s	-	-	-	-	-	2	16	0.13	95.24%	20	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	21:44	19:01	21	Dragons	Wests Tigers
8	Prop	43:00	4	1	-	-	-	-	-	-	47	16	139	20	47	1	-	-	-	1	15	-	3.5s	-	-	-	-	-	1	17	0.06	100%	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:29	19:35	22	Dragons	Sea Eagles
