Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
5	Winger	80:00	8	2	-	-	-	-	-	-	78	25	274	35	101	2	-	-	-	10	6	-	3.62s	-	-	-	-	-	-	28	-	100%	3	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	4	Knights	Raiders
5	Winger	90:00	4	1	-	-	-	-	-	-	69	23	234	35	72	2	-	-	-	7	-	-	2.94s	-	-	-	1	-	1	28	0.04	100%	5	-	-	-	2	1	13	1	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	90:00	-	5	Knights	Sea Eagles
5	Winger	80:00	8	2	-	-	-	-	-	-	48	17	151	4	43	2	-	-	-	5	1	-	3.76s	-	-	-	-	-	1	17	0.06	-	-	2	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Knights	Warriors
5	Winger	81:00	-	-	-	-	-	-	-	-	34	17	155	21	45	-	-	-	-	8	1	-	3.18s	1	11	-	1	-	-	18	-	100%	1	-	-	1	-	-	-	-	-	-	-	-	-	-	3	2	-	-	-	-	-	-	-	81:00	-	7	Knights	Panthers
5	Winger	80:00	4	1	-	-	-	-	-	-	53	16	155	27	52	1	-	-	-	9	1	-	3.57s	-	-	-	-	-	1	20	0.06	40%	2	2	1	-	3	-	-	-	-	-	-	-	-	-	1	2	-	-	-	-	-	-	-	80:00	-	8	Knights	Cowboys
5	Winger	80:00	-	-	-	-	-	-	-	-	34	19	206	40	91	1	-	-	-	7	3	-	3.96s	1	9	-	-	-	4	23	0.21	25%	1	3	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	9	Knights	Eels
5	Winger	80:00	4	1	-	-	-	-	-	-	52	19	192	26	65	1	-	-	-	12	1	-	3.92s	1	12	-	-	-	1	22	0.05	-	-	1	-	-	1	1	5	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	11	Knights	Titans
5	Winger	80:00	-	-	-	-	-	-	-	-	37	16	180	33	62	-	-	-	-	9	1	-	3.24s	-	-	-	-	-	-	17	-	50%	1	1	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	12	Knights	Sharks
5	Winger	80:00	12	3	-	-	-	-	-	-	84	18	182	26	41	3	-	-	-	13	1	-	2.99s	1	8	-	1	-	1	19	0.06	100%	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	13	Knights	Sea Eagles
5	Winger	80:00	-	-	-	-	-	-	-	-	36	20	227	52	48	1	-	-	-	6	-	-	3.49s	-	-	-	-	-	2	21	0.1	33.33%	1	1	1	-	3	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	15	Knights	Broncos
5	Winger	80:00	-	-	-	-	-	-	-	-	45	21	222	64	67	-	-	-	-	8	-	-	3.93s	-	-	-	1	-	1	23	0.05	80%	4	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	17	Knights	Panthers
5	Winger	80:00	4	1	-	-	-	-	-	-	66	20	214	9	78	1	-	-	-	15	1	-	4.01s	-	-	-	-	-	2	22	0.1	60%	3	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	18	Knights	Bulldogs
5	Winger	80:00	4	1	-	-	-	-	-	-	73	21	231	14	95	3	-	-	-	9	1	-	3.52s	1	10	-	-	1	-	23	-	83.33%	5	1	-	-	2	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	20	Knights	Wests Tigers
5	Winger	80:00	4	1	-	-	-	-	-	-	54	15	171	67	51	2	-	-	-	8	1	-	3.76s	-	-	-	-	-	1	18	0.07	75%	3	1	-	-	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	21	Knights	Storm
5	Winger	80:00	4	1	-	-	-	-	-	-	42	19	200	37	66	1	-	-	-	4	1	-	3.22s	1	11	-	1	-	-	19	-	100%	3	-	-	-	1	-	-	-	-	-	-	-	-	-	2	2	1	1	-	-	-	-	-	80:00	-	22	Knights	Raiders
