Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
15	Interchange	40:00	-	-	-	-	-	-	-	-	20	9	101	-	27	-	-	-	-	-	9	-	3.86s	-	-	-	-	-	-	9	-	80.77%	21	4	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	28:28	11:48	1	Cowboys	Raiders
15	Interchange	41:00	-	-	-	-	-	-	-	-	22	9	99	-	45	-	-	-	-	-	9	-	3.38s	-	-	-	-	-	1	10	0.11	80.77%	21	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:19	14:58	2	Cowboys	Broncos
15	Interchange	34:00	-	-	-	-	-	-	-	-	21	7	56	8	19	-	-	-	-	-	6	-	3.81s	-	-	-	-	-	1	8	0.14	92%	23	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	33:57	-	3	Cowboys	Warriors
10	Prop	49:00	-	-	-	-	-	-	-	-	23	6	55	-	25	-	-	-	-	1	5	-	2.93s	1	2	-	-	-	1	7	0.17	76.47%	26	5	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:50	21:29	4	Cowboys	Titans
10	Interchange	59:00	-	-	-	-	-	-	-	-	50	17	168	47	40	-	1	-	-	7	13	-	3.46s	-	-	-	1	-	2	18	0.12	78.95%	30	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54:34	04:59	5	Cowboys	Bulldogs
12	2nd Row	80:00	-	-	-	-	-	-	-	-	33	11	116	-	54	-	-	-	-	3	11	-	3.89s	-	-	-	-	-	2	13	0.18	83.33%	30	6	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	6	Cowboys	Dolphins
17	Interchange	46:00	-	-	-	-	-	-	-	-	40	16	124	-	44	-	-	-	-	1	16	-	3.32s	-	-	-	-	-	1	17	0.06	94.12%	32	2	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	39:45	06:36	13	Cowboys	Eels
17	Interchange	38:00	-	-	-	-	-	-	-	-	37	9	97	36	33	-	-	-	-	-	6	-	3.52s	-	-	-	-	-	1	10	0.11	100%	30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	37:56	-	14	Cowboys	Storm
15	Interchange	65:00	-	-	-	-	-	-	-	-	44	18	167	44	54	-	-	-	-	-	15	-	3.66s	-	-	-	-	-	-	19	-	80.49%	33	5	3	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	51:25	13:43	16	Cowboys	Panthers
15	Interchange	42:00	-	-	-	-	-	-	-	-	24	9	102	-	45	-	-	-	-	1	9	-	3.81s	-	-	-	-	-	5	14	0.56	86.96%	20	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	42:16	-	17	Cowboys	Rabbitohs
15	Interchange	52:00	-	-	-	-	-	-	-	-	31	18	208	82	80	-	-	-	-	2	12	-	3.98s	-	-	-	-	-	2	20	0.11	88.24%	15	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	-	-	-	-	41:51	10:20	18	Cowboys	Wests Tigers
15	Interchange	40:00	-	-	-	-	-	-	-	-	25	9	106	49	38	-	-	-	-	-	5	-	3.28s	-	-	-	-	-	-	9	-	85.19%	23	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	40:17	-	20	Cowboys	Sea Eagles
15	Interchange	19:00	-	-	-	-	-	-	-	-	21	8	76	15	23	-	-	-	-	1	7	-	3.8s	-	-	-	-	-	1	9	0.13	87.5%	14	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	19:00	-	21	Cowboys	Eels
