Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
15	Prop	01:00	-	-	-	-	-	-	-	-	-2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50%	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	01:00	-	3	Rabbitohs	Roosters
17	Interchange	47:00	-	-	-	-	-	-	-	-	41	9	96	-	32	-	-	-	-	1	9	-	3.17s	-	-	-	1	-	-	9	-	88.24%	30	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33:45	13:02	5	Rabbitohs	Storm
17	Interchange	31:00	-	-	-	-	-	-	-	-	32	13	130	43	58	-	-	-	-	1	10	-	3.77s	-	-	1	-	-	-	13	-	100%	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30:13	-	6	Rabbitohs	Bulldogs
17	Prop	36:00	-	-	-	-	-	-	-	-	27	10	130	25	48	-	-	-	-	1	8	-	3.67s	-	-	-	-	-	-	12	-	89.47%	17	2	-	-	-	1	45	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	18:34	16:57	7	Rabbitohs	Dolphins
16	Prop	50:00	-	-	-	-	-	-	-	-	43	19	164	22	63	-	-	-	-	1	17	-	3.75s	-	-	-	1	-	-	19	-	92.86%	26	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	1	-	-	-	20:58	20:51	8	Rabbitohs	Panthers
16	Prop	33:00	-	-	-	-	-	-	-	-	27	10	89	16	42	-	-	-	-	2	9	-	3.73s	-	-	-	-	1	-	10	-	94.74%	18	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	17:59	15:20	9	Rabbitohs	Broncos
10	Prop	42:00	-	-	-	-	-	-	-	-	31	9	88	13	31	-	-	-	-	1	8	-	3.65s	-	-	-	-	-	-	10	-	87.5%	21	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:46	24:07	10	Rabbitohs	Storm
10	Prop	40:00	-	-	-	-	-	-	-	-	40	12	119	-	60	-	-	-	-	3	12	-	4.03s	-	-	-	-	-	-	13	-	95.45%	21	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:33	21:45	11	Rabbitohs	Wests Tigers
10	Prop	45:00	-	-	-	-	-	-	-	-	31	12	138	35	50	-	-	-	-	1	9	-	3.44s	-	-	-	-	-	1	13	0.08	88%	22	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11:13	26:33	12	Rabbitohs	Eels
10	Prop	48:00	-	-	-	-	-	-	-	-	31	12	129	28	52	-	-	-	-	-	10	-	3.34s	-	-	-	-	-	-	12	-	85.29%	29	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	23:45	24:05	13	Rabbitohs	Raiders
10	Prop	47:00	4	1	-	-	-	-	-	-	52	13	122	13	50	1	-	-	-	4	12	-	3.87s	-	-	-	-	-	2	15	0.15	92.31%	24	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25:52	21:01	14	Rabbitohs	Titans
10	Prop	56:00	-	-	-	-	-	-	-	-	43	15	159	46	66	-	-	-	-	2	11	-	3.34s	-	-	-	-	1	4	19	0.27	93.33%	28	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	24:10	31:46	15	Rabbitohs	Dragons
10	Prop	40:00	-	-	-	-	-	-	-	-	32	7	64	-	28	-	-	-	-	-	7	-	2.11s	-	-	-	-	-	2	9	0.29	96.77%	30	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	24:15	15:52	17	Rabbitohs	Cowboys
10	Interchange	38:00	-	-	-	-	-	-	-	-	42	16	180	27	82	-	-	-	-	2	14	-	3.83s	-	-	-	-	-	2	18	0.13	100%	21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	18:35	19:25	18	Rabbitohs	Warriors
10	Prop	42:00	-	-	-	-	-	-	-	-	26	9	86	27	31	-	-	-	-	1	7	-	3.88s	-	-	-	-	-	-	9	-	90%	18	-	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	24:59	12:45	21	Rabbitohs	Broncos
10	Prop	22:00	-	-	-	-	-	-	-	-	18	6	61	12	19	-	-	-	-	-	5	-	4.07s	-	-	-	-	-	-	6	-	100%	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21:30	-	22	Rabbitohs	Wests Tigers
