Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
13	Lock	62:00	-	-	-	-	-	-	-	-	36	8	65	-	21	-	-	-	-	-	6	-	3.27s	-	-	-	-	-	12	18	1.5	92.31%	36	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:43	34:35	6	Bulldogs	Rabbitohs
25	Prop	58:00	-	-	-	-	-	-	-	-	32	10	83	-	36	-	-	-	-	-	10	-	4.32s	-	-	-	-	-	4	14	0.4	85.71%	36	5	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	32:51	25:00	9	Bulldogs	Dragons
21	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	Bulldogs	Raiders
17	Lock	68:00	4	1	-	-	-	-	-	-	70	8	65	-	25	1	-	-	-	2	8	-	3.85s	-	-	-	1	1	11	19	1.38	94.12%	48	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	58:26	09:10	11	Bulldogs	Warriors
13	Interchange	63:00	-	-	-	-	-	-	-	-	37	12	97	-	25	-	-	-	-	2	10	-	4.18s	-	-	-	-	-	23	33	1.92	85%	34	5	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	63:00	-	12	Bulldogs	Titans
17	Interchange	56:00	-	-	-	-	-	-	-	-	33	6	36	-	13	-	-	-	-	-	6	-	3.29s	-	-	-	-	3	63	69	10.5	88.89%	32	1	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	56:00	-	14	Bulldogs	Roosters
13	Lock	59:00	-	-	-	-	-	-	-	-	33	8	46	-	3	-	-	-	-	-	5	-	3.94s	-	-	-	-	2	29	34	3.63	80.43%	37	4	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	46:44	12:39	15	Bulldogs	Eels
14	Interchange	40:00	-	-	-	-	-	-	-	-	31	6	48	-	14	-	-	-	-	-	5	-	4.11s	-	-	-	2	3	5	10	0.83	92%	23	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39:20	-	18	Bulldogs	Knights
14	Interchange	52:00	-	-	-	-	-	-	-	-	26	11	87	-	28	-	-	-	-	-	11	-	3.51s	-	-	-	-	2	1	12	0.09	91.67%	22	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	52:00	-	21	Bulldogs	Panthers
20	Interchange	58:00	-	-	-	-	-	-	-	-	33	14	128	-	46	-	-	-	-	-	14	-	3.41s	-	-	-	-	3	5	19	0.36	84.38%	27	2	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	58:00	-	22	Bulldogs	Dolphins
