Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
11	2nd Row	80:00	-	-	-	-	-	-	-	-	43	13	125	-	57	-	-	-	-	3	12	-	4.54s	-	-	-	-	-	2	16	0.15	95.45%	21	-	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	1	Sea Eagles	Bulldogs
11	2nd Row	80:00	8	2	-	-	-	-	-	-	41	10	129	-	46	-	-	-	-	-	9	-	3.3s	-	-	-	-	-	-	11	-	75%	15	2	3	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	3	Sea Eagles	Eels
11	2nd Row	82:00	4	1	-	-	-	-	-	-	62	17	153	5	69	-	-	-	-	5	15	-	3.54s	-	-	-	1	-	6	24	0.35	94.12%	32	2	-	-	1	1	3	-	-	1	-	-	-	-	1	1	-	1	-	-	1	-	-	82:00	-	4	Sea Eagles	Rabbitohs
11	2nd Row	80:00	4	1	-	-	-	-	-	-	62	15	198	-	61	1	-	-	-	5	15	-	4.39s	-	-	1	-	-	1	17	0.07	88.89%	32	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	1	-	80:00	-	5	Sea Eagles	Knights
11	2nd Row	80:00	-	-	-	-	-	-	-	-	39	11	97	-	57	-	-	-	-	4	10	-	3.54s	1	12	-	1	-	1	12	0.09	86.67%	26	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Sea Eagles	Panthers
11	2nd Row	80:00	-	-	-	-	-	-	-	-	46	13	119	-	49	-	-	-	-	5	13	-	3.46s	-	-	-	1	-	2	16	0.15	88.46%	23	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	7	Sea Eagles	Storm
11	2nd Row	80:00	4	1	-	-	-	-	-	-	59	10	111	-	41	1	-	-	-	2	8	-	4.56s	1	8	-	1	-	2	12	0.2	85%	34	5	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3	-	-	-	-	80:00	-	8	Sea Eagles	Wests Tigers
11	2nd Row	80:00	-	-	-	-	-	-	-	-	60	16	147	9	59	-	1	-	-	6	14	-	4.44s	1	18	-	1	-	1	18	0.06	92.31%	36	2	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	1	-	-	80:00	-	9	Sea Eagles	Titans
11	2nd Row	80:00	-	-	-	-	-	-	-	-	60	10	112	-	44	1	1	-	-	5	8	-	4.56s	2	9	-	1	-	4	14	0.4	80.95%	34	5	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	10	Sea Eagles	Broncos
11	2nd Row	80:00	-	-	-	-	-	-	-	-	39	16	151	-	67	-	-	-	-	1	15	-	3.63s	-	-	-	-	1	4	19	0.25	90%	27	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	11	Sea Eagles	Sharks
11	2nd Row	80:00	-	-	-	-	-	-	-	-	29	6	69	-	17	-	-	-	-	3	6	-	3.67s	-	-	-	1	-	3	9	0.5	79.31%	23	5	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	80:00	-	12	Sea Eagles	Raiders
11	2nd Row	80:00	-	-	-	-	-	-	-	-	45	10	82	-	38	-	-	-	-	-	10	-	4.57s	-	-	-	-	-	3	13	0.3	91.18%	31	2	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	13	Sea Eagles	Knights
11	2nd Row	80:00	-	-	-	-	-	-	-	-	53	11	128	-	55	1	-	1	-	3	11	-	4.27s	-	-	-	-	-	1	13	0.09	93.75%	30	2	-	-	-	1	27	1	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	15	Sea Eagles	Dolphins
11	2nd Row	80:00	-	-	-	-	-	-	-	-	37	10	89	-	38	-	-	-	-	3	10	-	3.75s	-	-	-	-	-	2	14	0.2	82.35%	28	4	2	1	-	1	5	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	80:00	-	16	Sea Eagles	Eels
11	2nd Row	80:00	4	1	-	-	-	-	-	-	56	8	73	-	29	1	-	-	-	5	7	-	4.4s	-	-	-	-	-	1	10	0.13	88.57%	31	2	2	-	-	1	25	1	-	1	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	17	Sea Eagles	Storm
11	2nd Row	80:00	-	-	-	-	-	-	-	-	54	13	115	-	47	-	1	-	-	6	11	-	3.87s	-	-	-	-	1	5	14	0.38	93.33%	28	2	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	18	Sea Eagles	Roosters
11	2nd Row	80:00	-	-	-	-	-	-	-	-	42	17	152	-	74	-	-	1	-	2	16	-	3.67s	-	-	-	-	-	6	24	0.35	81.58%	31	5	2	-	1	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	20	Sea Eagles	Cowboys
