Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
10	Prop	37:00	-	-	-	-	-	-	-	-	25	9	82	15	18	-	-	-	-	2	6	-	2.9s	-	-	-	2	-	2	10	0.22	76.47%	13	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	24:14	13:09	5	Dolphins	Dragons
10	Interchange	33:00	-	-	-	-	-	-	-	-	49	14	132	50	46	-	-	-	-	3	10	-	3.39s	-	-	-	4	-	1	14	0.07	100%	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	33:32	-	6	Dolphins	Cowboys
10	Interchange	26:00	-	-	-	-	-	-	-	-	24	10	96	30	27	-	-	-	-	-	7	-	3.01s	-	-	-	2	-	-	10	-	81.25%	13	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:29	-	7	Dolphins	Rabbitohs
10	Prop	32:00	-	-	-	-	-	-	-	-	24	7	81	21	33	-	-	-	-	2	6	-	3.18s	-	-	-	-	-	-	7	-	85.71%	18	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	22:26	09:42	8	Dolphins	Titans
17	Interchange	34:00	-	-	-	-	-	-	-	-	35	11	111	11	47	-	-	-	-	4	10	-	3.11s	-	-	-	-	-	-	11	-	90%	18	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32:38	01:06	9	Dolphins	Raiders
17	Interchange	38:00	-	-	-	-	-	-	-	-	35	13	111	31	39	-	-	-	-	2	10	-	3.47s	-	-	-	2	-	1	14	0.08	100%	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	38:01	-	10	Dolphins	Sharks
17	Interchange	35:00	-	-	-	-	-	-	-	-	36	8	71	-	37	-	-	-	-	3	8	-	3.01s	-	-	-	2	-	1	10	0.13	95.45%	21	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	34:08	-	12	Dolphins	Storm
10	Prop	32:00	-	-	-	-	-	-	-	-	23	9	95	9	42	-	-	-	-	2	8	-	3.94s	-	-	-	-	-	1	10	0.11	93.33%	14	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	21:15	10:51	13	Dolphins	Dragons
10	Prop	47:00	-	-	-	-	-	-	-	-	42	11	113	26	39	-	-	-	-	2	9	-	3.74s	-	-	-	-	-	2	13	0.18	100%	27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:39	22:42	14	Dolphins	Warriors
14	Interchange	52:00	-	-	-	-	-	-	-	-	48	15	164	-	61	-	-	-	-	1	14	-	3.51s	-	-	-	1	-	1	15	0.07	100%	28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	34:31	17:32	15	Dolphins	Sea Eagles
10	Prop	29:00	-	-	-	-	-	-	-	-	32	8	83	-	28	-	-	-	-	1	8	-	3.3s	-	-	-	1	-	-	8	-	95.65%	22	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	18:54	10:26	17	Dolphins	Eels
10	Interchange	26:00	-	-	-	-	-	-	-	-	37	8	86	-	26	-	-	-	-	5	8	-	3.12s	-	-	-	2	-	1	8	0.13	83.33%	15	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:01	-	18	Dolphins	Broncos
10	Interchange	33:00	-	-	-	-	-	-	-	-	37	8	76	11	26	-	-	-	-	3	6	-	3.25s	-	-	-	2	-	-	8	-	94.12%	16	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33:38	-	19	Dolphins	Titans
14	Interchange	33:00	-	-	-	-	-	-	-	-	43	14	132	59	36	-	-	-	-	4	10	-	3.72s	-	-	-	1	-	4	17	0.29	100%	20	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	32:21	-	20	Dolphins	Panthers
14	Interchange	33:00	-	-	-	-	-	-	-	-	37	5	60	-	24	-	-	-	-	3	5	-	4.09s	-	-	-	1	-	1	6	0.2	100%	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	32:57	-	22	Dolphins	Bulldogs
