Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	11	12	76	-	14	-	-	-	-	-	-	-	4.79s	-	-	-	-	2	26	43	2.17	54.55%	6	3	2	-	-	6	196	2	2	-	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	1	Dolphins	Roosters
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	31	6	44	-	11	-	1	1	-	-	-	-	5.04s	-	-	-	-	2	25	34	4.17	87.5%	21	3	-	-	-	5	109	1	1	1	-	-	1	-	-	-	-	-	-	-	-	-	-	80:00	-	2	Dolphins	Raiders
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	25	2	4	-	-	-	1	1	-	-	-	-	4.64s	-	-	-	-	2	27	35	13.5	70.83%	17	5	2	-	-	6	217	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	3	Dolphins	Knights
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	32	4	35	-	-	-	1	1	-	-	-	-	4s	-	-	-	1	1	32	46	8	66.67%	16	5	3	-	1	12	358	-	3	-	-	-	2	-	-	-	-	-	-	-	-	-	-	80:00	-	5	Dolphins	Dragons
7	Halfback	80:00	-	-	-	-	-	-	-	-	29	8	47	15	10	-	-	1	-	1	-	-	-	-	-	-	2	2	28	43	3.5	55.56%	10	7	1	-	1	13	395	-	5	-	-	-	2	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Dolphins	Cowboys
7	Halfback	80:00	-	-	-	-	-	-	-	-	40	9	54	-	9	-	-	-	-	3	-	-	3.26s	-	-	-	-	3	29	43	3.22	83.87%	26	4	1	-	-	8	227	-	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	7	Dolphins	Rabbitohs
7	Halfback	80:00	-	-	-	-	-	-	-	-	40	15	91	-	7	-	-	1	-	2	-	-	5.5s	-	-	-	-	4	33	55	2.2	71.43%	15	5	1	-	-	17	416	2	4	3	-	-	3	-	-	-	-	-	-	-	-	-	-	80:00	-	8	Dolphins	Titans
7	Halfback	84:00	-	-	-	-	-	-	-	-	33	8	41	-	7	-	1	-	-	-	-	-	3.2s	-	-	-	-	3	17	34	2.13	79.17%	19	3	2	-	-	12	440	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	84:00	-	9	Dolphins	Raiders
7	Halfback	80:00	4	1	-	-	-	-	-	-	46	10	79	-	11	1	-	-	-	-	-	-	4.89s	-	-	-	-	4	31	50	3.1	78.95%	15	3	1	-	-	15	577	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	10	Dolphins	Sharks
7	Halfback	50:00	-	-	-	-	-	-	-	-	20	2	-	-	-	-	-	-	-	-	-	-	4.52s	-	-	-	-	1	18	27	9	90.91%	10	1	-	-	-	7	304	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	49:39	-	12	Dolphins	Storm
