Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
13	Lock	47:00	-	-	-	-	-	-	-	-	52	15	113	-	23	-	1	1	-	3	8	-	3.74s	-	-	-	1	-	17	24	1.13	86.84%	33	4	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	23:48	23:05	2	Dragons	Titans
13	Lock	80:00	-	-	-	-	-	-	-	-	47	7	89	-	43	-	-	-	-	-	7	-	4.3s	-	-	-	-	1	6	13	0.86	95.45%	42	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	3	Dragons	Broncos
13	Interchange	67:00	-	-	-	-	-	-	-	-	32	12	91	-	28	-	-	-	-	2	10	-	3.3s	-	-	-	2	-	10	22	0.83	81.25%	26	3	3	-	-	1	-	-	-	1	-	-	-	-	1	1	-	3	1	-	-	-	-	67:00	-	4	Dragons	Sharks
13	Lock	80:00	-	-	-	-	-	-	-	-	54	11	91	-	27	-	2	1	-	7	9	-	4.49s	1	7	-	1	-	15	26	1.36	88%	22	2	1	-	-	1	16	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	5	Dragons	Dolphins
13	Lock	60:00	-	-	-	-	-	-	-	-	64	14	117	-	22	-	1	1	-	6	11	-	4.25s	-	-	-	2	3	11	22	0.79	83.33%	30	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	28:37	30:41	6	Dragons	Titans
13	2nd Row	80:00	-	-	-	-	-	-	-	-	56	18	137	-	36	-	-	-	-	7	15	-	2.86s	1	11	-	1	1	9	25	0.5	86.96%	40	5	1	-	-	2	28	-	-	1	-	-	1	-	1	1	-	2	-	1	-	-	-	80:00	-	7	Dragons	Raiders
12	2nd Row	80:00	4	1	-	-	-	-	-	-	62	14	88	-	22	-	-	-	-	14	13	-	3.47s	-	-	-	-	-	7	22	0.5	83.72%	36	6	1	-	-	-	-	-	-	-	-	-	-	-	3	2	-	-	-	-	-	-	-	80:00	-	8	Dragons	Roosters
12	2nd Row	80:00	-	-	-	-	-	-	-	-	40	10	65	-	25	-	1	-	-	6	10	-	3.68s	-	-	-	2	1	4	14	0.4	78.26%	18	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	80:00	-	9	Dragons	Bulldogs
13	Lock	54:00	-	-	-	1	-	-	-	-	50	12	102	-	29	-	-	-	-	3	10	-	3.01s	-	-	-	-	-	7	18	0.58	91.84%	45	3	1	-	-	1	27	-	-	-	-	-	-	-	1	-	-	1	1	-	-	-	-	29:54	24:21	10	Dragons	Wests Tigers
13	2nd Row	80:00	2	-	1	1	-	100%	-	-	65	16	150	-	42	-	-	-	-	9	13	-	3.36s	1	10	-	-	1	5	23	0.31	93.94%	31	-	2	-	1	1	19	1	-	1	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	11	Dragons	Cowboys
11	2nd Row	52:00	4	1	-	-	-	-	-	-	37	10	86	10	37	-	-	-	-	4	9	-	3.79s	-	-	-	-	-	1	12	0.1	89.47%	17	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	52:22	-	13	Dragons	Dolphins
11	2nd Row	80:00	-	-	-	-	-	-	-	-	29	9	70	-	21	-	-	-	-	3	6	-	4.22s	-	-	-	-	1	4	12	0.44	86.67%	26	2	2	-	-	-	-	-	-	-	-	-	-	-	3	2	-	-	-	-	-	-	-	80:00	-	17	Dragons	Warriors
17	Interchange	22:00	-	-	-	-	-	-	-	-	16	2	15	-	6	-	-	-	-	-	1	-	3.82s	1	8	-	-	-	3	5	1.5	94.44%	17	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22:09	-	21	Dragons	Wests Tigers
