Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
22	Interchange	46:00	-	-	-	-	-	-	-	-	32	11	93	-	30	-	-	-	-	-	11	-	3.84s	-	-	-	1	-	9	21	0.82	100%	23	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	46:02	-	5	Dragons	Dolphins
15	Interchange	39:00	-	-	-	-	-	-	-	-	29	6	68	-	26	-	-	-	-	1	6	-	3.8s	-	-	-	-	-	5	11	0.83	88.46%	23	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39:45	-	6	Dragons	Titans
15	Lock	80:00	-	-	-	-	-	-	-	-	67	10	76	-	7	-	-	-	-	1	2	-	2.9s	-	-	-	-	-	18	20	1.8	93.1%	54	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	80:00	-	7	Dragons	Raiders
13	Lock	68:00	-	-	-	-	-	-	-	-	52	16	91	-	19	-	-	-	-	1	12	-	3.29s	-	-	-	1	3	11	24	0.69	87.76%	43	4	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	51:54	16:05	8	Dragons	Roosters
13	Lock	80:00	-	-	-	-	-	-	-	-	76	21	178	-	62	-	-	-	-	4	17	-	3.27s	-	-	-	1	2	11	28	0.52	89.58%	43	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	9	Dragons	Bulldogs
8	Prop	74:00	-	-	-	-	-	-	-	-	72	17	142	-	33	-	1	1	-	-	11	-	3.2s	-	-	-	1	2	10	21	0.59	91.38%	53	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	70:01	04:19	10	Dragons	Wests Tigers
8	Prop	71:00	4	1	-	-	-	-	-	-	69	19	140	-	25	1	-	-	-	2	10	-	3.19s	-	-	-	-	-	12	22	0.63	95.12%	39	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	49:38	20:59	11	Dragons	Cowboys
8	Prop	80:00	-	-	-	-	-	-	-	-	74	20	150	-	39	-	-	-	-	1	14	-	2.93s	-	-	-	1	1	15	29	0.75	95.83%	46	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	12	Dragons	Roosters
13	Lock	70:00	-	-	-	-	-	-	-	-	63	16	138	-	41	-	-	-	-	1	9	-	3.3s	-	-	-	1	-	10	19	0.63	98.36%	60	1	-	-	-	-	-	-	-	-	-	-	-	-	2	2	1	2	1	-	1	1	-	70:00	-	13	Dragons	Dolphins
13	Lock	61:00	-	-	-	-	-	-	-	-	39	10	70	-	23	-	-	-	-	-	7	-	3.29s	-	-	-	1	2	11	18	1.1	92.31%	36	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	61:00	-	14	Dragons	Panthers
13	Lock	80:00	-	-	-	-	-	-	-	-	63	16	99	-	17	-	-	-	-	-	7	-	3.47s	-	-	-	-	2	16	23	1	93.22%	55	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	17	Dragons	Warriors
13	Lock	80:00	-	-	-	-	-	-	-	-	65	10	82	-	21	-	-	-	-	2	6	-	3.05s	-	-	-	-	-	8	14	0.8	98.25%	56	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	18	Dragons	Sharks
13	Lock	80:00	-	-	-	-	-	-	-	-	63	23	171	-	28	-	-	-	-	2	9	-	3.77s	-	-	-	1	-	24	33	1.04	88.46%	46	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	19	Dragons	Raiders
13	Lock	65:00	-	-	-	-	-	-	-	-	51	17	113	-	21	-	-	-	-	3	8	-	3.17s	-	-	-	-	2	14	23	0.82	90.48%	38	1	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	1	-	-	33:36	30:39	21	Dragons	Wests Tigers
13	Lock	70:00	-	-	-	-	-	-	-	-	61	15	123	-	31	1	1	-	-	2	13	-	3.31s	-	-	-	2	1	22	35	1.47	92.86%	39	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	1	-	70:00	-	22	Dragons	Sea Eagles
