Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
16	Interchange	30:00	-	-	-	-	-	-	-	-	18	8	64	-	17	-	-	-	-	1	8	-	3.23s	-	-	-	1	-	1	9	0.13	80%	16	4	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	23:08	06:40	1	Knights	Warriors
16	Interchange	30:00	-	-	-	-	-	-	-	-	18	4	30	-	14	-	-	-	-	-	4	-	4.3s	-	-	-	-	-	-	4	-	100%	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	24:40	05:40	2	Knights	Wests Tigers
10	Prop	35:00	-	-	-	-	-	-	-	-	10	5	54	-	21	-	-	-	-	-	5	-	3.15s	-	-	-	-	-	-	6	-	85%	17	3	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	2	-	-	-	-	-	22:03	12:30	3	Knights	Dolphins
15	Interchange	25:00	-	-	-	-	-	-	-	-	32	10	116	-	41	1	-	-	-	1	9	-	3.07s	-	-	-	-	-	1	10	0.1	100%	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:56	-	4	Knights	Raiders
15	Interchange	20:00	-	-	-	-	-	-	-	-	13	3	27	20	9	-	-	-	-	1	1	-	2.17s	-	-	-	-	-	-	3	-	91.67%	11	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:49	-	5	Knights	Sea Eagles
15	Interchange	29:00	-	-	-	-	-	-	-	-	22	7	65	16	27	-	-	-	-	-	5	-	3.39s	-	-	-	-	-	-	7	-	94.12%	16	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:32	-	6	Knights	Warriors
15	Interchange	21:00	-	-	-	-	-	-	-	-	15	3	27	-	9	-	-	-	-	1	3	-	2.32s	-	-	-	-	-	-	3	-	89.47%	17	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	20:16	-	7	Knights	Panthers
17	Interchange	16:00	-	-	-	-	-	-	-	-	28	6	46	-	19	-	-	-	-	4	6	-	3.03s	-	-	-	-	-	1	7	0.17	100%	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16:00	-	8	Knights	Cowboys
17	Interchange	43:00	-	-	-	-	-	-	-	-	27	8	65	-	26	-	-	-	-	1	8	-	3.57s	-	-	-	-	-	-	8	-	83.87%	26	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	31:59	11:37	9	Knights	Eels
17	Lock	23:00	-	-	-	-	-	-	-	-	25	5	46	-	12	-	-	-	-	1	5	-	4.32s	-	-	-	2	-	-	5	-	100%	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:42	04:40	11	Knights	Titans
