Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
12	2nd Row	27:00	-	-	-	-	-	-	-	-	19	5	43	-	18	-	-	-	-	-	5	-	3.51s	-	-	-	-	-	1	7	0.2	100%	17	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	27:04	-	4	Rabbitohs	Sea Eagles
12	2nd Row	41:00	-	-	-	-	-	-	-	-	23	11	98	-	33	-	-	-	-	1	11	-	3.38s	-	-	-	-	-	1	12	0.09	83.33%	20	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	40:02	-	5	Rabbitohs	Storm
12	2nd Row	74:00	4	1	-	-	-	-	-	-	47	9	95	-	27	1	1	1	-	1	9	-	3.3s	-	-	-	-	-	1	10	0.11	84%	21	1	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	56:23	17:18	6	Rabbitohs	Bulldogs
12	2nd Row	62:00	-	-	-	-	-	-	-	-	40	14	138	-	57	-	-	-	-	-	14	-	3.32s	-	-	-	1	-	1	15	0.07	90.63%	29	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61:36	-	7	Rabbitohs	Dolphins
12	2nd Row	25:00	-	-	-	-	-	-	-	-	5	3	21	-	8	-	-	-	-	-	3	-	4.11s	-	-	-	-	-	3	6	1	73.33%	11	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17:04	08:24	8	Rabbitohs	Panthers
12	2nd Row	55:00	-	-	-	-	-	-	-	-	31	9	73	-	31	-	-	-	-	1	9	-	3.52s	-	-	-	-	-	-	9	-	95.65%	22	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	54:37	-	9	Rabbitohs	Broncos
12	2nd Row	69:00	4	1	-	-	-	-	-	-	40	12	116	-	37	1	-	-	-	4	12	-	4.06s	-	-	-	-	-	2	14	0.17	86.36%	19	3	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	68:35	-	10	Rabbitohs	Storm
12	2nd Row	70:00	-	-	-	-	-	-	-	-	46	9	81	-	39	-	-	-	-	-	9	-	3.03s	-	-	-	-	-	1	10	0.11	100%	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	56:32	12:59	11	Rabbitohs	Wests Tigers
12	Interchange	52:00	-	-	-	-	-	-	-	-	20	4	31	-	9	-	-	-	-	-	4	-	3.59s	-	-	-	-	-	1	5	0.25	79.17%	19	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51:44	-	12	Rabbitohs	Eels
12	2nd Row	59:00	-	-	-	-	-	-	-	-	24	8	74	-	33	-	-	-	-	-	8	-	3.78s	-	-	-	-	-	2	10	0.25	83.33%	25	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57:30	01:17	13	Rabbitohs	Raiders
12	2nd Row	80:00	-	-	-	-	-	-	-	-	36	12	121	-	63	-	-	-	-	-	12	-	3.55s	-	-	-	-	-	-	12	-	88.89%	32	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	14	Rabbitohs	Titans
12	2nd Row	36:00	4	1	-	-	-	-	-	-	24	3	22	-	6	1	-	-	-	-	3	-	3s	-	-	-	-	-	1	5	0.33	92.31%	12	-	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	24:19	11:50	15	Rabbitohs	Dragons
20	2nd Row	80:00	-	-	-	-	-	-	-	-	44	9	87	-	30	-	-	-	-	-	9	-	3.38s	-	-	-	2	-	1	10	0.11	92.31%	36	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	1	-	-	80:00	-	17	Rabbitohs	Cowboys
17	Interchange	33:00	-	-	-	-	-	-	-	-	10	8	63	-	19	-	-	-	-	-	8	-	2.78s	-	-	-	-	-	1	10	0.13	88.89%	8	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	33:00	-	21	Rabbitohs	Broncos
12	2nd Row	58:00	-	-	-	-	-	-	-	-	17	9	77	-	26	-	-	-	-	-	9	-	3.24s	-	-	-	-	-	-	9	-	81.82%	18	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57:35	-	22	Rabbitohs	Wests Tigers
