Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
14	Interchange	56:00	4	1	-	-	-	-	-	-	66	11	132	-	23	-	1	-	-	6	1	-	4.69s	9	93	-	2	6	90	97	8.18	89.29%	25	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	56:00	-	2	Dragons	Titans
14	Interchange	46:00	-	-	-	-	-	-	-	-	42	7	86	-	11	-	-	-	-	-	1	-	2.99s	6	74	-	1	2	62	66	8.86	96.88%	31	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	46:37	-	3	Dragons	Broncos
14	Interchange	39:00	-	-	-	-	-	-	-	-	26	4	36	-	11	-	-	-	-	1	1	-	4.1s	3	36	1	-	1	45	49	11.25	86.21%	25	3	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	39:41	-	4	Dragons	Sharks
14	Hooker	49:00	4	1	-	-	-	-	-	-	45	4	37	-	3	1	1	1	-	1	-	-	2.08s	4	37	-	-	-	75	78	18.75	89.29%	25	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	49:24	-	5	Dragons	Dolphins
9	Hooker	34:00	-	-	-	-	-	-	-	-	26	5	47	-	19	-	-	-	-	-	1	-	5.02s	4	43	-	-	3	40	44	8	82.76%	24	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:35	05:22	6	Dragons	Titans
9	Interchange	40:00	-	-	-	-	-	-	-	-	27	5	54	-	13	-	-	-	-	2	-	-	2.94s	5	54	-	-	-	41	46	8.2	88%	22	2	1	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	40:18	-	7	Dragons	Raiders
14	Interchange	33:00	-	-	-	-	-	-	-	-	23	3	23	-	4	-	-	-	-	-	-	-	2.76s	3	23	-	1	-	49	50	16.33	89.47%	17	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33:00	-	8	Dragons	Roosters
14	Interchange	38:00	-	-	-	-	-	-	-	-	24	4	29	-	7	-	-	-	-	-	1	-	3.33s	3	29	-	-	1	50	53	12.5	92%	23	1	1	1	-	1	39	-	-	-	-	-	-	-	-	-	-	2	-	-	1	-	-	38:44	-	9	Dragons	Bulldogs
9	Hooker	54:00	-	-	-	-	-	-	-	-	34	4	37	-	9	-	-	-	-	-	2	-	3.71s	2	26	-	-	4	73	76	18.25	86.49%	32	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34:55	19:21	12	Dragons	Roosters
9	Hooker	73:00	-	-	-	-	-	-	-	-	78	5	89	-	14	2	1	1	-	3	-	-	2.7s	5	89	-	1	1	104	107	20.8	91.38%	53	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	72:57	-	13	Dragons	Dolphins
9	Hooker	50:00	-	-	-	-	-	-	-	-	42	4	24	-	5	-	-	-	-	1	-	-	2.22s	4	24	-	-	4	68	71	17	95.24%	40	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:01	14:39	14	Dragons	Panthers
9	Hooker	76:00	4	1	-	-	-	-	-	-	47	5	20	-	2	1	-	-	-	3	-	-	4.98s	5	20	-	1	2	119	121	23.8	88.57%	31	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	75:40	-	15	Dragons	Rabbitohs
9	Hooker	57:00	-	-	-	-	-	-	-	-	46	5	31	-	3	-	1	1	-	-	-	-	3.3s	5	31	-	-	1	75	77	15	89.8%	44	3	2	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	57:04	-	17	Dragons	Warriors
9	Hooker	57:00	-	-	-	-	-	-	-	-	35	3	17	-	5	-	1	1	-	-	-	-	4.04s	3	17	-	-	1	68	72	22.67	84.78%	39	5	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	56:57	-	18	Dragons	Sharks
9	Hooker	53:00	-	-	-	-	-	-	-	-	46	5	60	-	11	2	-	-	-	1	2	-	2.59s	2	21	-	-	2	73	77	14.6	92.86%	39	3	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	32:01	27:27	19	Dragons	Raiders
9	Hooker	74:00	-	-	-	-	-	-	-	-	51	4	46	-	15	-	-	-	-	2	-	-	2.28s	4	46	-	1	-	112	117	28	92.86%	39	1	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	73:43	-	21	Dragons	Wests Tigers
9	Hooker	71:00	-	-	-	-	-	-	-	-	44	8	85	-	28	-	-	-	-	1	1	-	2.85s	7	78	-	-	1	107	113	13.38	93.55%	29	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	31:05	39:59	22	Dragons	Sea Eagles
