Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
1	Fullback	80:00	-	-	-	-	-	-	-	-	32	24	177	55	35	-	-	-	-	5	-	-	3.56s	-	-	-	1	-	18	42	0.75	100%	2	-	-	-	1	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	8	Wests Tigers	Sea Eagles
1	Fullback	80:00	-	-	-	-	-	-	-	-	45	16	102	27	23	-	1	1	-	3	1	-	3.77s	-	-	-	1	1	10	27	0.63	88.89%	8	1	-	-	1	1	6	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	9	Wests Tigers	Panthers
1	Fullback	80:00	-	-	-	-	-	-	-	-	46	19	180	51	52	-	1	1	-	6	2	-	3.02s	1	8	-	-	-	9	30	0.47	66.67%	6	2	1	-	2	1	17	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	10	Wests Tigers	Dragons
1	Fullback	80:00	-	-	-	-	-	-	-	-	36	21	190	83	39	-	1	-	-	1	-	-	3.66s	2	17	-	-	-	20	42	0.95	87.5%	7	1	-	-	8	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	11	Wests Tigers	Rabbitohs
1	Fullback	80:00	4	1	-	-	-	-	-	-	63	22	241	60	64	1	2	2	-	1	2	-	3.57s	-	-	-	3	1	9	29	0.41	50%	1	1	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	12	Wests Tigers	Cowboys
1	Fullback	80:00	4	1	-	-	-	-	-	-	61	30	245	70	41	2	1	-	-	3	1	-	3.6s	1	9	-	3	-	19	41	0.63	100%	7	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	14	Wests Tigers	Raiders
1	Fullback	80:00	4	1	-	-	-	-	-	-	61	21	226	101	41	2	-	-	-	5	-	-	4.11s	2	8	-	1	2	14	34	0.67	70%	7	3	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	15	Wests Tigers	Titans
1	Fullback	80:00	-	-	-	-	-	-	-	-	36	22	217	69	55	-	-	-	-	5	1	-	3.14s	1	9	-	-	3	21	41	0.95	100%	3	-	-	-	4	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-	80:00	-	16	Wests Tigers	Storm
1	Fullback	80:00	-	-	-	-	-	-	-	-	15	10	99	46	19	-	-	-	-	4	-	-	4.24s	-	-	-	1	-	10	22	1	45.45%	5	5	1	-	3	-	-	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	18	Wests Tigers	Cowboys
1	Fullback	80:00	-	-	-	-	-	-	-	-	31	19	158	46	44	-	-	-	-	4	-	-	3.62s	-	-	-	2	1	6	25	0.32	60%	6	4	-	-	4	-	-	-	-	-	-	-	-	-	1	2	-	-	-	-	-	-	-	80:00	-	19	Wests Tigers	Sharks
1	Fullback	80:00	8	2	-	-	-	-	-	-	69	19	128	37	32	1	-	-	-	8	-	-	4.07s	-	-	-	1	-	6	25	0.32	83.33%	10	2	-	-	5	-	-	-	-	-	-	-	-	-	3	3	-	-	-	-	-	-	-	80:00	-	20	Wests Tigers	Knights
1	Fullback	80:00	-	-	-	-	-	-	-	-	28	17	146	69	52	-	-	-	-	3	-	-	3.37s	-	-	-	-	-	15	36	0.88	75%	9	1	2	-	3	1	27	1	-	1	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	21	Wests Tigers	Dragons
1	Fullback	80:00	-	-	-	-	-	-	-	-	36	18	104	70	20	-	1	-	-	3	-	-	3.61s	-	-	-	2	-	8	25	0.44	75%	12	4	-	-	3	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	22	Wests Tigers	Rabbitohs
