Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
7	Halfback	84:00	-	-	-	-	-	-	-	-	45	16	143	-	19	-	-	-	-	2	-	-	3.21s	1	19	-	1	3	22	40	1.38	85.71%	18	2	1	-	-	9	314	1	4	-	-	-	-	-	1	-	-	-	-	1	-	-	-	84:00	-	1	Storm	Eels
7	Halfback	80:00	4	1	-	-	-	-	-	-	78	21	146	5	33	2	2	-	-	6	-	-	4.53s	-	-	-	3	4	30	58	1.43	83.33%	15	2	1	-	-	14	458	1	5	3	-	-	-	1	1	1	-	3	-	-	-	-	-	80:00	-	2	Storm	Bulldogs
7	Halfback	80:00	4	1	-	-	-	-	-	-	47	11	83	-	5	1	1	-	-	4	-	-	3.83s	-	-	-	-	1	31	42	2.82	94.44%	17	1	-	-	-	5	127	-	3	-	-	-	1	-	2	2	-	1	-	-	-	-	-	80:00	-	3	Storm	Titans
7	Halfback	80:00	-	-	-	-	-	-	-	-	27	12	81	7	10	-	1	-	-	2	-	-	4.34s	-	-	-	1	1	35	51	2.92	76.92%	10	1	2	-	-	7	169	-	3	1	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	6	Storm	Roosters
7	Halfback	80:00	-	-	-	-	-	-	-	-	29	14	95	-	13	-	-	-	-	1	1	-	3.93s	-	-	-	-	1	34	47	2.43	76.19%	16	5	-	-	1	7	283	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	7	Storm	Sea Eagles
7	Halfback	80:00	-	-	-	-	-	-	-	-	54	13	100	3	22	1	1	1	-	3	-	-	3.6s	-	-	-	-	4	35	58	2.69	90.48%	19	2	-	-	1	12	293	1	5	2	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	8	Storm	Warriors
7	Halfback	80:00	-	-	-	-	-	-	-	-	30	10	74	-	8	-	-	-	-	1	-	-	4.15s	-	-	-	-	3	39	53	3.9	81.25%	13	2	1	-	1	10	243	2	2	2	-	-	1	-	-	-	-	-	1	-	-	-	-	80:00	-	10	Storm	Rabbitohs
7	Halfback	80:00	-	-	-	-	-	-	-	-	59	14	143	-	29	1	-	2	-	5	-	-	3.5s	2	22	-	-	3	35	53	2.5	94.12%	16	-	1	-	1	7	192	-	-	1	-	-	3	-	1	1	-	-	-	-	-	-	-	80:00	-	11	Storm	Broncos
7	Halfback	80:00	-	-	-	-	-	-	-	-	38	9	45	-	9	-	1	2	-	2	-	-	3.88s	-	-	-	-	2	43	54	4.78	82.35%	14	3	-	-	-	8	181	-	1	2	-	-	3	-	-	-	-	-	-	-	-	-	-	80:00	-	12	Storm	Dolphins
7	Halfback	80:00	-	-	-	-	-	-	-	-	33	9	61	7	13	-	1	-	-	2	-	-	2.3s	-	-	-	1	1	26	38	2.89	77.27%	17	5	-	-	-	8	245	-	3	1	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	14	Storm	Cowboys
7	Halfback	80:00	4	1	-	-	-	-	-	-	66	16	131	-	12	1	4	2	-	2	-	-	3.5s	1	6	-	-	-	38	56	2.38	86.67%	13	2	-	1	-	9	197	-	3	1	-	-	3	-	-	-	-	-	-	-	-	-	-	80:00	-	15	Storm	Sharks
7	Halfback	80:00	-	-	-	-	-	-	-	-	32	13	111	-	24	-	-	2	-	-	-	-	3.3s	-	-	-	-	3	44	69	3.38	53.85%	7	5	1	-	-	17	474	1	5	3	-	-	1	-	1	-	-	-	1	-	-	-	-	80:00	-	16	Storm	Wests Tigers
7	Halfback	80:00	4	1	-	-	-	-	-	-	70	12	71	4	17	-	1	2	-	2	-	-	2.84s	-	-	-	-	3	30	50	2.5	81.82%	27	2	4	1	2	13	372	-	3	3	-	-	1	-	-	-	-	1	-	-	-	-	-	80:00	-	17	Storm	Sea Eagles
7	Halfback	80:00	-	-	-	-	-	-	-	-	33	7	50	7	8	-	1	-	-	2	-	-	3.8s	-	-	-	-	3	27	36	3.86	86.36%	19	2	1	-	-	6	210	-	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	80:00	-	18	Storm	Panthers
7	Halfback	80:00	4	1	-	-	-	-	-	-	56	16	95	2	7	1	-	-	-	4	-	-	4.91s	-	-	-	-	5	51	65	3.19	100%	20	-	-	-	1	8	255	1	1	2	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	20	Storm	Roosters
