Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
12	Interchange	22:00	-	-	-	-	-	-	-	-	22	8	90	10	33	-	-	-	-	2	7	-	3.04s	-	-	-	1	-	-	8	-	84.62%	11	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	22:19	-	1	Rabbitohs	Sharks
8	Interchange	61:00	-	-	-	-	-	-	-	-	66	16	181	14	68	-	-	-	-	6	15	-	2.75s	-	-	-	1	-	2	18	0.13	87.18%	34	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61:00	-	7	Rabbitohs	Dolphins
8	Prop	72:00	-	-	-	-	-	-	-	-	47	13	113	10	42	-	-	-	-	-	12	-	3.18s	-	-	-	1	-	1	14	0.08	92.68%	38	2	1	-	-	1	2	-	-	1	-	-	-	-	-	-	-	1	-	-	1	-	-	72:00	-	8	Rabbitohs	Panthers
10	Prop	43:00	-	-	-	-	-	-	-	-	37	13	129	8	55	-	-	-	-	-	12	-	3.24s	-	-	-	-	-	1	14	0.08	96.43%	27	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:06	20:06	9	Rabbitohs	Broncos
15	Interchange	65:00	-	-	-	-	-	-	-	-	45	11	94	-	27	-	-	-	-	2	11	-	4.08s	-	-	-	-	-	3	14	0.27	90.48%	38	2	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	65:00	-	10	Rabbitohs	Storm
14	Interchange	49:00	-	-	-	-	-	-	-	-	56	12	110	-	47	-	-	-	-	4	11	-	3.75s	-	-	-	1	-	2	15	0.17	97.06%	33	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	48:31	00:57	11	Rabbitohs	Wests Tigers
15	2nd Row	72:00	-	-	-	-	-	-	-	-	65	16	159	-	66	-	-	-	-	3	15	-	3.37s	-	-	-	2	-	4	19	0.25	92.68%	38	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	23:48	48:14	12	Rabbitohs	Eels
14	Lock	20:00	-	-	-	-	-	-	-	-	11	6	45	-	12	-	-	-	-	-	4	-	3.27s	-	-	-	-	1	6	10	1	90%	9	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20:14	-	14	Rabbitohs	Titans
12	2nd Row	67:00	-	-	-	-	-	-	-	-	47	12	130	-	43	1	-	-	-	2	12	-	3.81s	-	-	-	1	-	3	15	0.25	85.29%	29	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	52:39	14:36	21	Rabbitohs	Broncos
8	Prop	54:00	-	-	-	-	-	-	-	-	37	15	129	11	50	-	-	-	-	2	14	-	3.71s	-	-	-	-	1	2	17	0.13	91.3%	21	2	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	27:46	26:18	22	Rabbitohs	Wests Tigers
