Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
14	Hooker	34:00	-	-	-	-	-	-	-	-	28	6	57	-	15	2	-	-	-	1	2	-	5.68s	3	19	-	-	1	44	48	7.33	89.47%	17	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:45	09:13	1	Wests Tigers	Titans
14	Interchange	18:00	-	-	-	-	-	-	-	-	10	2	1	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	16	19	8	92.31%	12	1	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	17:50	-	2	Wests Tigers	Knights
14	Interchange	26:00	4	1	-	-	-	-	-	-	23	2	17	-	2	1	-	-	-	2	-	-	2.92s	2	17	-	-	2	38	41	19	85.71%	12	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	26:00	-	5	Wests Tigers	Broncos
14	Interchange	09:00	-	-	-	-	-	-	-	-	-1	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	50%	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	09:00	-	6	Wests Tigers	Eels
22	Interchange	03:00	-	-	-	-	-	-	-	-	3	1	6	-	3	-	-	-	-	-	1	-	3.16s	-	-	-	-	-	-	1	-	100%	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	03:00	-	8	Wests Tigers	Sea Eagles
14	Interchange	20:00	-	-	-	-	-	-	-	-	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	38	38	-	92.86%	13	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	19:31	-	9	Wests Tigers	Panthers
14	Interchange	12:00	-	-	-	-	-	-	-	-	9	2	12	-	3	-	-	-	-	-	-	-	2.92s	2	12	-	-	2	16	17	8	100%	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12:11	-	10	Wests Tigers	Dragons
14	Interchange	19:00	-	-	-	-	-	-	-	-	12	2	7	-	-	-	-	-	-	-	-	-	3.48s	2	7	-	-	-	23	24	11.5	92.31%	12	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:03	-	11	Wests Tigers	Rabbitohs
14	Interchange	13:00	-	-	-	-	-	-	-	-	6	2	28	-	15	-	-	-	-	-	2	-	3.28s	-	-	-	-	-	1	3	0.5	100%	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13:00	-	12	Wests Tigers	Cowboys
14	Hooker	22:00	-	-	-	-	-	-	-	-	16	5	29	-	5	-	1	-	-	-	-	-	5.11s	4	20	-	-	1	28	32	5.6	84.21%	16	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	22:22	-	14	Wests Tigers	Raiders
14	Interchange	65:00	-	-	-	-	-	-	-	-	57	8	70	-	15	-	1	1	-	2	3	-	4.02s	5	41	-	-	4	68	74	8.5	90%	45	4	1	-	-	2	29	1	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	65:00	-	15	Wests Tigers	Titans
9	Hooker	47:00	-	-	-	-	-	-	-	-	52	3	36	-	8	-	-	-	-	3	1	-	3.23s	2	23	-	-	1	55	57	18.33	95.12%	39	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:57	17:46	16	Wests Tigers	Storm
9	Hooker	46:00	-	-	-	-	-	-	-	-	38	7	59	-	12	-	-	-	-	2	1	-	3.95s	5	47	-	-	-	37	42	5.29	90.24%	37	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	26:09	20:09	18	Wests Tigers	Cowboys
9	Hooker	51:00	-	-	-	-	-	-	-	-	26	3	17	-	2	-	-	-	-	-	2	-	5.14s	1	13	-	-	-	68	70	22.67	83.33%	35	5	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	51:08	-	19	Wests Tigers	Sharks
14	Interchange	35:00	-	-	-	-	-	-	-	-	8	-	-	-	-	-	-	-	-	-	-	-	5s	-	-	-	-	-	35	36	-	69.57%	16	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35:00	-	20	Wests Tigers	Knights
