Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
10	Prop	47:00	-	-	-	-	-	-	-	-	47	14	112	-	41	-	-	-	-	2	14	-	3.24s	-	-	-	1	-	1	15	0.07	94.44%	34	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	28:09	19:28	1	Panthers	Broncos
10	Prop	55:00	-	-	-	-	-	-	-	-	56	13	106	21	25	-	-	-	-	-	10	-	2.78s	-	-	-	1	-	2	14	0.15	95.83%	46	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:24	26:51	2	Panthers	Rabbitohs
10	Prop	61:00	-	-	-	-	-	-	-	-	65	9	80	21	16	-	-	-	-	1	6	-	2.82s	-	-	-	1	-	2	11	0.22	93.44%	57	2	2	-	-	1	11	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	31:12	30:11	4	Panthers	Eels
10	Prop	21:00	-	-	-	-	-	-	-	-	20	7	63	-	22	-	-	-	-	1	7	-	3.78s	-	-	-	-	-	3	9	0.43	100%	12	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	20:32	-	5	Panthers	Raiders
10	Prop	40:00	-	-	-	-	-	-	-	-	43	13	104	-	33	-	-	-	-	6	12	-	2.89s	-	-	-	1	-	3	14	0.23	82.61%	19	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:57	15:01	10	Panthers	Warriors
10	Prop	52:00	-	-	-	-	-	-	-	-	45	19	154	9	41	1	-	1	-	2	16	-	3.59s	-	-	-	1	-	5	22	0.26	84%	21	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	21:05	30:34	11	Panthers	Roosters
10	Prop	37:00	-	-	-	-	-	-	-	-	16	11	79	11	21	-	-	-	-	-	8	-	2.92s	-	-	-	-	-	3	13	0.27	80.95%	17	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	18:43	17:50	12	Panthers	Broncos
10	Prop	52:00	-	-	-	-	-	-	-	-	38	15	127	23	37	-	-	-	-	-	12	-	3.36s	-	-	-	-	1	3	17	0.2	91.43%	32	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:05	22:57	14	Panthers	Dragons
10	Prop	37:00	-	-	-	-	-	-	-	-	27	11	104	-	38	-	-	-	-	-	10	-	3.17s	-	-	-	-	-	2	12	0.18	86.36%	19	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:44	13:25	15	Panthers	Roosters
10	Prop	58:00	-	-	-	-	-	-	-	-	53	17	116	21	34	-	-	-	-	5	14	-	3.3s	-	-	-	1	-	4	20	0.24	94.44%	34	2	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	32:54	16:14	16	Panthers	Cowboys
10	Prop	52:00	-	-	-	-	-	-	-	-	49	15	139	19	50	-	-	-	-	5	11	-	2.61s	-	-	-	1	-	6	19	0.4	87.5%	28	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:59	23:11	17	Panthers	Knights
10	Prop	51:00	-	-	-	-	-	-	-	-	40	15	112	21	28	-	-	-	-	2	11	-	2.97s	-	-	-	1	-	6	18	0.4	90%	27	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30:08	20:51	18	Panthers	Storm
10	Prop	46:00	-	-	-	-	-	-	-	-	41	15	134	-	49	-	-	-	-	2	14	-	2.86s	-	-	-	-	-	3	17	0.2	100%	24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:12	18:55	20	Panthers	Dolphins
10	Prop	50:00	-	-	-	-	-	-	-	-	36	17	170	70	59	-	-	-	-	-	12	-	3.09s	-	-	-	-	-	1	18	0.06	84.38%	27	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	26:30	14:06	21	Panthers	Bulldogs
10	Prop	39:00	-	-	-	-	-	-	-	-	45	19	137	12	46	1	-	-	-	3	18	-	2.84s	-	-	-	1	-	2	21	0.11	95.65%	22	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	27:44	11:16	22	Panthers	Sharks
