Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
1	Fullback	80:00	-	-	-	-	-	-	-	-	29	15	153	50	36	1	1	1	-	3	-	-	3.75s	-	-	-	-	-	5	22	0.33	25%	1	1	2	-	2	1	14	1	-	1	-	-	-	-	2	1	-	1	-	-	-	-	-	80:00	-	1	Roosters	Dolphins
1	Fullback	80:00	-	-	-	-	-	-	-	-	43	19	199	96	59	-	1	1	-	4	-	-	4.11s	2	26	-	-	2	3	25	0.16	75%	3	-	1	-	1	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	2	Roosters	Warriors
1	Fullback	80:00	-	-	-	-	-	-	-	-	46	16	151	22	32	1	1	1	-	6	1	-	3.95s	1	13	-	-	-	10	24	0.63	100%	5	-	-	-	-	2	38	1	-	2	-	-	-	1	-	-	-	-	-	-	-	-	-	80:00	-	3	Roosters	Rabbitohs
1	Fullback	24:00	-	-	-	-	-	-	-	-	19	9	101	10	22	1	-	-	-	1	1	-	3.76s	-	-	-	-	-	9	14	1	50%	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:49	-	5	Roosters	Eels
1	Fullback	80:00	-	-	-	-	-	-	-	-	37	15	143	58	53	-	-	-	-	8	2	-	4.2s	1	9	-	-	3	11	26	0.73	66.67%	4	1	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	7	Roosters	Sharks
1	Fullback	80:00	4	1	-	-	-	-	-	-	56	21	236	34	64	-	-	-	-	7	1	-	3.36s	5	54	-	2	4	11	31	0.52	75%	3	-	1	-	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	8	Roosters	Dragons
1	Fullback	80:00	-	-	-	-	-	-	-	-	42	19	176	69	54	1	-	-	-	6	1	-	3.7s	2	19	-	1	2	18	38	0.95	83.33%	5	-	1	-	2	2	25	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	9	Roosters	Warriors
1	Fullback	80:00	-	-	-	-	-	-	-	-	45	22	238	98	66	-	-	-	-	3	-	-	3.82s	1	17	-	1	2	18	39	0.82	100%	7	-	-	-	4	2	34	2	-	2	-	-	-	-	2	-	-	-	-	-	-	-	-	80:00	-	10	Roosters	Cowboys
1	Fullback	80:00	-	-	-	-	-	-	-	-	15	12	104	2	28	-	1	-	-	1	-	-	3.44s	-	-	-	2	2	13	25	1.08	16.67%	1	2	3	-	-	1	5	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	11	Roosters	Panthers
1	Fullback	80:00	8	2	-	-	-	-	-	-	84	18	200	48	48	2	-	1	-	11	-	-	3.41s	-	-	1	-	-	8	23	0.44	88.89%	8	1	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	12	Roosters	Dragons
1	Fullback	80:00	8	2	-	-	-	-	-	-	70	21	200	44	48	1	-	1	-	11	-	-	4.1s	2	38	-	-	4	7	27	0.33	100%	1	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	14	Roosters	Bulldogs
1	Fullback	80:00	4	1	-	-	-	-	-	-	51	16	147	7	30	1	-	-	-	6	-	-	3.35s	-	-	-	1	3	15	30	0.94	75%	6	2	-	-	-	2	19	1	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	15	Roosters	Panthers
1	Fullback	80:00	-	-	-	-	-	-	-	-	20	19	197	106	44	-	-	-	-	1	1	-	4s	-	-	1	-	7	8	34	0.42	60%	3	1	1	-	2	2	19	-	-	2	-	-	-	-	4	4	-	-	-	-	-	-	-	80:00	-	17	Roosters	Raiders
1	Fullback	80:00	4	1	-	-	-	-	-	-	62	27	299	122	63	1	-	-	-	6	1	-	3.47s	1	10	-	2	2	11	35	0.41	100%	5	-	-	-	2	1	6	-	-	1	-	-	-	-	2	2	-	-	-	-	-	-	-	80:00	-	18	Roosters	Sea Eagles
1	Fullback	80:00	4	1	-	-	-	-	-	-	87	18	230	82	44	1	2	2	-	4	-	-	3.64s	-	-	1	2	6	13	31	0.72	90%	9	1	-	-	3	1	20	1	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	21	Roosters	Titans
1	Fullback	80:00	-	-	-	-	-	-	-	-	22	14	139	53	35	-	-	-	-	2	-	-	3.57s	-	-	-	1	3	12	22	0.86	60%	3	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	22	Roosters	Broncos
