Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
8	Interchange	38:00	-	-	-	-	-	-	-	-	38	17	174	-	62	-	-	-	-	-	17	-	3.68s	-	-	-	-	2	2	19	0.12	92%	23	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29:43	09:13	3	Roosters	Rabbitohs
8	Prop	49:00	-	-	-	-	-	-	-	-	45	21	180	54	55	-	-	-	-	3	16	-	3.71s	-	-	-	-	-	1	22	0.05	89.29%	25	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28:49	20:28	5	Roosters	Eels
8	Prop	50:00	-	-	-	-	-	-	-	-	37	11	90	6	33	-	-	-	-	-	10	-	2.86s	-	-	-	-	1	2	14	0.18	93.94%	31	2	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:15	22:31	6	Roosters	Storm
8	Prop	54:00	-	-	-	-	-	-	-	-	42	18	170	21	64	-	-	-	-	1	16	-	3.49s	-	-	-	1	-	3	21	0.17	89.29%	25	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27:35	25:59	7	Roosters	Sharks
8	Prop	47:00	-	-	-	-	-	-	-	-	29	17	116	10	25	-	1	1	-	-	14	-	4.16s	-	-	-	-	-	2	17	0.12	84%	21	4	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	-	-	33:02	14:20	8	Roosters	Dragons
8	Interchange	31:00	-	-	-	-	-	-	-	-	21	6	54	-	21	-	-	-	-	-	6	-	3.55s	-	-	-	-	-	3	9	0.5	84.62%	22	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30:53	-	10	Roosters	Cowboys
8	Prop	16:00	-	-	-	-	-	-	-	-	7	4	34	8	9	-	-	-	-	1	3	-	3.14s	-	-	-	-	-	-	5	-	85.71%	6	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	16:08	-	11	Roosters	Panthers
8	Prop	52:00	-	-	-	-	-	-	-	-	42	17	147	-	50	-	-	-	-	1	15	-	3.59s	-	-	-	1	-	3	18	0.18	92.86%	26	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	28:06	24:01	14	Roosters	Bulldogs
8	Prop	35:00	-	-	-	-	-	-	-	-	33	12	111	11	41	-	-	-	-	4	11	-	3.29s	-	-	-	-	-	3	16	0.25	92.59%	25	1	1	-	-	1	21	-	1	-	-	-	-	-	1	1	-	1	-	-	-	1	-	19:32	22:26	15	Roosters	Panthers
8	Prop	49:00	-	-	-	-	-	-	-	-	34	12	112	-	41	-	-	-	-	1	12	-	3.73s	-	-	-	-	-	2	14	0.17	84.62%	33	5	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	26:17	22:31	16	Roosters	Knights
8	Prop	56:00	-	-	-	-	-	-	-	-	47	17	162	-	51	-	-	-	-	-	14	-	3.54s	-	-	-	-	2	5	19	0.29	87.23%	41	5	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26:22	29:31	17	Roosters	Raiders
8	Prop	46:00	-	-	-	-	-	-	-	-	44	13	101	-	26	-	-	-	-	-	10	-	3.44s	-	-	-	1	-	5	15	0.38	90.24%	37	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	21:16	25:10	18	Roosters	Sea Eagles
8	Prop	44:00	-	-	-	-	-	-	-	-	35	10	84	-	29	-	-	-	-	1	10	-	3.16s	-	-	-	-	2	1	11	0.1	81.58%	31	5	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	24:30	19:27	20	Roosters	Storm
8	Prop	61:00	-	-	-	-	-	-	-	-	61	20	210	44	73	-	1	-	-	-	16	-	3.26s	-	-	-	1	2	3	23	0.15	88.1%	37	3	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	34:48	26:27	21	Roosters	Titans
8	Prop	57:00	-	-	-	-	-	-	-	-	39	17	120	5	44	-	-	-	-	2	15	-	3.34s	-	-	-	-	1	2	19	0.12	87.88%	29	2	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	32:36	24:17	22	Roosters	Broncos
