Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
3	Centre	80:00	8	-	3	3	1	100%	-	-	31	8	58	-	15	-	-	-	-	1	-	-	4.96s	-	-	-	-	-	-	8	-	80%	16	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Raiders	Broncos
3	Centre	80:00	8	-	3	3	1	100%	-	-	23	9	67	20	9	-	-	-	-	2	-	-	3.5s	-	-	-	-	-	7	15	0.78	73.68%	14	5	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	80:00	-	7	Raiders	Dragons
3	Centre	84:00	14	1	3	5	2	71.43%	-	-	37	8	80	-	23	2	-	-	-	2	-	-	3.3s	1	10	-	-	-	1	10	0.13	55.56%	5	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	84:00	-	9	Raiders	Dolphins
3	Centre	80:00	14	1	4	6	1	71.43%	-	-	37	8	62	-	12	1	-	-	-	2	-	-	3.81s	-	-	-	1	2	8	10	1	66.67%	4	1	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	10	Raiders	Bulldogs
3	Centre	80:00	10	-	3	4	2	83.33%	-	-	21	10	94	4	38	-	-	-	-	1	-	-	3.8s	-	-	-	-	-	7	15	0.7	60%	3	2	-	-	1	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	11	Raiders	Eels
3	Centre	80:00	6	-	2	2	1	100%	-	-	13	7	71	-	23	-	-	-	-	1	-	-	3.8s	-	-	-	-	-	5	13	0.71	50%	6	5	1	-	-	1	24	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	12	Raiders	Sea Eagles
3	Centre	80:00	12	-	4	5	2	85.71%	-	-	45	5	68	-	11	1	2	3	-	1	-	-	4.04s	-	-	-	-	-	5	8	1	85.71%	6	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	13	Raiders	Rabbitohs
3	Centre	80:00	6	-	2	2	1	100%	-	-	33	8	82	-	19	-	-	-	-	2	-	-	3.22s	-	-	-	1	-	4	13	0.5	90%	18	2	-	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	15	Raiders	Warriors
3	Centre	77:00	8	-	2	3	2	80%	-	-	41	9	90	-	28	-	1	-	-	2	-	-	3.33s	-	-	-	1	-	4	14	0.44	87.5%	14	2	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	77:00	-	17	Raiders	Roosters
3	Centre	80:00	10	-	4	4	1	100%	-	-	41	4	65	-	11	1	1	1	-	-	-	-	3.4s	-	-	-	1	-	6	9	1.5	87.5%	14	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	18	Raiders	Titans
3	Centre	80:00	12	-	6	6	-	100%	-	-	12	7	43	-	15	-	-	-	-	1	-	-	3.45s	-	-	-	-	-	4	9	0.57	56.52%	13	9	1	-	2	-	-	-	-	-	-	-	-	-	2	1	-	1	-	1	-	-	-	80:00	-	19	Raiders	Dragons
3	Centre	82:00	4	-	2	4	-	50%	-	-	23	8	49	6	10	-	-	-	-	5	-	-	3.86s	-	-	-	-	-	6	12	0.75	85.71%	12	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	1	-	-	-	82:00	-	21	Raiders	Warriors
3	Centre	80:00	2	-	1	1	-	100%	-	-	19	8	65	2	28	-	-	-	-	1	-	-	3.34s	-	-	1	-	-	6	13	0.75	80%	12	3	-	-	1	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	22	Raiders	Knights
