Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
2	Winger	80:00	4	1	-	-	-	-	-	-	15	9	90	6	26	-	-	-	-	2	1	-	4.28s	-	-	-	-	-	1	15	0.11	44.44%	4	4	1	1	2	-	-	-	-	-	-	-	-	-	4	2	-	-	-	-	-	-	-	80:00	-	6	Sea Eagles	Panthers
2	Winger	80:00	-	-	-	-	-	-	-	-	13	12	98	18	39	-	-	-	-	-	-	-	4.21s	-	-	-	-	-	1	13	0.08	80%	4	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	7	Sea Eagles	Storm
2	Winger	80:00	4	1	-	-	-	-	-	-	32	13	133	24	20	2	-	-	-	1	1	-	4.09s	-	-	-	-	1	4	17	0.31	71.43%	5	1	1	-	-	-	-	-	-	-	-	-	-	-	3	2	-	-	-	-	-	-	-	80:00	-	8	Sea Eagles	Wests Tigers
2	Winger	80:00	-	-	-	-	-	-	-	-	5	8	69	-	21	1	-	-	-	-	1	-	3.91s	-	-	-	-	-	4	12	0.5	50%	3	3	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	9	Sea Eagles	Titans
2	Winger	80:00	-	-	-	-	-	-	-	-	36	13	194	31	44	2	-	-	-	1	1	-	4.05s	-	-	-	1	1	3	17	0.23	75%	3	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	10	Sea Eagles	Broncos
2	Winger	80:00	-	-	-	-	-	-	-	-	25	13	102	35	29	-	-	-	-	-	-	-	3.69s	1	5	-	-	-	4	17	0.31	77.78%	7	1	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	11	Sea Eagles	Sharks
2	Winger	80:00	4	1	-	-	-	-	-	-	37	7	144	-	27	1	-	1	-	2	-	-	4.9s	-	-	-	-	-	3	11	0.43	100%	5	-	-	-	1	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	12	Sea Eagles	Raiders
2	Winger	80:00	4	1	-	-	-	-	-	-	36	7	134	-	14	-	-	-	-	-	-	-	4.12s	-	-	-	-	-	2	10	0.29	71.43%	10	4	-	1	2	1	20	1	-	1	-	-	-	-	1	-	-	1	-	-	-	-	-	80:00	-	13	Sea Eagles	Knights
2	Winger	80:00	8	2	-	-	-	-	-	-	43	11	155	22	34	2	-	-	-	-	1	-	3.6s	-	-	-	-	1	1	13	0.09	75%	6	2	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	15	Sea Eagles	Dolphins
2	Winger	80:00	-	-	-	-	-	-	-	-	11	5	41	9	12	-	-	-	-	-	-	-	3.89s	-	-	-	-	-	2	10	0.4	76.92%	10	2	1	-	1	-	-	-	-	-	-	-	-	-	4	3	-	-	-	-	-	-	-	80:00	-	16	Sea Eagles	Eels
2	Winger	80:00	-	-	-	-	-	-	-	-	18	11	66	15	17	1	-	-	-	1	-	-	4.29s	1	3	-	1	-	3	15	0.27	81.82%	9	2	-	-	1	1	23	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	18	Sea Eagles	Roosters
2	Winger	80:00	-	-	-	-	-	-	-	-	10	9	71	-	26	-	-	-	-	2	1	-	3.39s	-	-	-	1	-	3	13	0.33	62.5%	5	3	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	20	Sea Eagles	Cowboys
2	Winger	80:00	-	-	-	-	-	-	-	-	51	11	113	28	35	2	1	2	-	-	1	-	3.29s	-	-	-	3	-	3	14	0.27	80%	8	1	1	-	1	-	-	-	-	-	-	-	-	-	3	1	-	1	-	-	-	-	-	80:00	-	21	Sea Eagles	Sharks
2	Winger	80:00	4	1	-	-	-	-	-	-	59	12	194	48	36	3	-	1	-	3	-	-	4.37s	-	-	-	1	-	2	14	0.17	90%	9	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	22	Sea Eagles	Dragons
