Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
23	Interchange	04:00	-	-	-	-	-	-	-	-	3	2	11	-	3	-	-	-	-	-	2	-	4.4s	-	-	-	-	-	-	2	-	100%	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	04:00	-	2	Bulldogs	Storm
14	Interchange	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	Bulldogs	Wests Tigers
14	Interchange	25:00	-	-	-	-	-	-	-	-	20	5	31	-	8	-	-	-	-	1	3	-	3.3s	1	2	-	-	-	-	5	-	85%	17	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:31	05:54	4	Bulldogs	Warriors
17	Interchange	72:00	-	-	-	-	-	-	-	-	29	8	90	-	34	-	-	-	-	-	8	-	3.57s	-	-	-	-	-	4	12	0.5	93.94%	31	2	-	-	-	1	21	1	-	1	-	-	-	-	-	-	-	1	-	-	1	1	-	72:00	-	5	Bulldogs	Cowboys
15	Winger	80:00	-	-	-	-	-	-	-	-	23	11	110	23	36	-	-	-	-	1	-	-	3.36s	-	-	-	1	-	2	18	0.18	85.71%	12	1	1	-	-	-	-	-	-	-	-	-	-	-	3	4	-	1	-	-	-	-	-	80:00	-	7	Bulldogs	Eels
15	Interchange	26:00	-	-	-	-	-	-	-	-	13	6	35	-	22	-	-	-	-	1	6	-	3.72s	-	-	-	-	-	-	6	-	87.5%	14	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	26:09	-	8	Bulldogs	Sharks
15	Interchange	43:00	-	-	-	-	-	-	-	-	24	5	45	-	21	-	-	-	-	-	5	-	4.58s	-	-	-	-	-	-	6	-	89.29%	25	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	42:55	-	9	Bulldogs	Dragons
15	Interchange	34:00	-	-	-	-	-	-	-	-	20	9	77	21	22	-	-	-	-	-	7	-	3.47s	-	-	-	-	-	2	11	0.22	87.5%	14	1	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33:17	-	10	Bulldogs	Raiders
15	Interchange	50:00	4	1	-	-	-	-	-	-	57	6	70	-	20	1	-	-	-	6	6	-	4.18s	-	-	-	2	-	2	9	0.33	95.83%	23	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	50:00	-	11	Bulldogs	Warriors
15	Interchange	56:00	4	1	-	-	-	-	-	-	46	7	52	-	13	1	-	-	-	3	7	-	3.72s	-	-	-	-	-	-	7	-	95.83%	23	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	56:00	-	12	Bulldogs	Titans
11	2nd Row	80:00	-	-	-	-	-	-	-	-	36	7	82	-	40	-	-	-	-	1	7	-	2.61s	-	-	-	1	1	2	9	0.29	91.89%	34	3	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	1	-	-	-	-	-	80:00	-	14	Bulldogs	Roosters
11	2nd Row	69:00	-	-	-	-	-	-	-	-	24	9	78	-	36	-	-	-	-	2	9	-	3.55s	-	-	-	-	-	3	14	0.33	82.86%	29	6	-	-	-	-	-	-	-	-	-	-	-	-	2	2	-	-	-	-	-	-	-	59:29	09:01	15	Bulldogs	Eels
11	2nd Row	80:00	-	-	-	-	-	-	-	-	25	5	41	-	18	-	-	-	-	2	4	-	3.79s	-	-	-	-	-	1	6	0.2	81.25%	26	4	2	-	-	1	30	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	16	Bulldogs	Sharks
11	2nd Row	80:00	-	-	-	-	-	-	-	-	34	3	26	-	13	-	-	-	-	-	2	-	4.47s	1	9	-	-	-	-	6	-	86.79%	46	6	1	-	-	1	20	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	18	Bulldogs	Knights
11	Interchange	40:00	-	-	-	-	-	-	-	-	33	8	92	-	41	-	1	1	-	-	8	-	4.02s	-	-	-	-	-	5	12	0.63	95%	19	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39:51	-	19	Bulldogs	Rabbitohs
