Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	21	8	43	-	6	-	-	-	-	-	-	-	4.11s	-	-	-	-	-	24	34	3	80.95%	17	4	-	-	-	6	184	1	1	2	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	2	Dragons	Titans
6	Five-Eighth	80:00	4	1	-	-	-	-	-	-	35	4	48	-	8	1	-	-	-	2	-	-	4.72s	-	-	-	-	-	14	24	3.5	68.42%	13	2	4	-	-	6	208	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	3	Dragons	Broncos
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	22	7	48	-	5	-	1	1	-	-	-	-	3.82s	1	1	-	-	2	25	36	3.57	88.24%	15	2	-	-	1	4	54	-	-	1	-	-	1	-	1	1	-	-	-	-	2	-	-	80:00	-	4	Dragons	Sharks
14	Interchange	56:00	12	2	2	2	-	100%	-	-	56	6	72	-	5	2	-	-	-	4	-	-	3.36s	-	-	-	-	3	30	40	5	76.92%	10	2	1	-	-	7	217	-	2	1	-	-	-	1	-	-	-	-	-	-	-	-	-	56:00	-	10	Dragons	Wests Tigers
14	Halfback	19:00	2	-	1	1	-	100%	-	-	3	4	28	-	2	-	-	-	-	-	-	-	3.41s	-	-	-	-	1	9	14	2.25	83.33%	5	1	-	-	-	2	100	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1	-	29:29	-	11	Dragons	Cowboys
14	Interchange	26:00	-	-	-	-	-	-	-	-	16	2	16	-	1	-	-	-	-	-	1	-	3.64s	-	-	-	-	2	38	39	19	89.47%	17	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	05:08	20:36	12	Dragons	Roosters
7	Halfback	80:00	-	-	-	-	-	-	-	-	55	9	96	-	18	1	-	-	-	3	-	-	3.19s	-	-	-	-	6	33	53	3.67	86.21%	25	3	1	-	-	16	572	-	2	4	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	13	Dragons	Dolphins
14	Five-Eighth	80:00	-	-	-	-	-	-	-	-	36	7	44	-	13	-	-	-	-	1	-	-	3.95s	-	-	-	1	4	25	32	3.57	88.24%	30	3	1	-	-	2	52	1	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-	80:00	-	14	Dragons	Panthers
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	25	9	53	-	8	-	1	-	-	3	-	-	2.42s	-	-	-	1	6	36	43	4	72.73%	16	4	2	-	-	1	4	1	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	15	Dragons	Rabbitohs
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	48	9	60	-	10	-	1	-	-	4	-	-	3.89s	3	10	-	1	5	43	52	4.78	88.89%	24	1	2	-	-	3	27	1	-	2	-	-	1	-	-	-	-	-	-	-	-	-	-	80:00	-	17	Dragons	Warriors
6	Five-Eighth	80:00	-	-	-	-	-	-	-	-	27	3	22	-	6	-	-	-	-	1	-	-	3.56s	-	-	-	-	2	21	28	7	89.66%	26	2	1	-	-	5	126	-	1	1	-	-	-	-	1	-	-	-	1	-	-	-	-	80:00	-	18	Dragons	Sharks
7	Halfback	65:00	-	-	-	-	-	-	-	-	26	13	82	-	18	-	1	-	-	-	-	-	3.95s	1	1	-	2	6	25	42	1.92	71.43%	10	4	-	-	-	8	226	-	1	1	-	-	1	1	-	-	-	-	1	-	-	-	-	65:03	-	19	Dragons	Raiders
