Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
12	2nd Row	80:00	-	-	-	-	-	-	-	-	32	12	116	-	47	-	-	-	-	1	11	-	3.12s	-	-	-	1	-	2	15	0.17	84.62%	22	3	1	-	-	-	-	-	-	-	-	-	-	-	2	2	-	1	1	-	-	-	-	80:00	-	2	Dragons	Titans
12	2nd Row	80:00	-	-	-	-	-	-	-	-	45	10	99	-	38	-	1	1	-	-	10	-	4.38s	-	-	-	2	-	2	13	0.2	81.4%	35	5	3	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	1	-	-	-	80:00	-	3	Dragons	Broncos
12	2nd Row	80:00	4	1	-	-	-	-	-	-	53	10	94	-	28	1	-	-	-	1	9	-	3.52s	-	-	-	1	-	1	12	0.1	89.47%	34	3	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	80:00	-	4	Dragons	Sharks
12	2nd Row	24:00	-	-	-	-	-	-	-	-	21	5	38	-	6	-	-	-	-	1	5	-	5.04s	-	-	-	3	-	-	5	-	85.71%	6	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	23:46	-	5	Dragons	Dolphins
12	2nd Row	80:00	-	-	-	-	-	-	-	-	55	12	116	-	36	-	1	-	-	2	9	-	3.59s	-	-	-	2	-	7	16	0.58	87.8%	36	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	80:00	-	6	Dragons	Titans
12	2nd Row	74:00	-	-	-	-	-	-	-	-	55	13	128	-	37	-	-	-	-	5	12	-	3.5s	-	-	-	2	-	4	16	0.31	93.94%	31	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	74:28	-	7	Dragons	Raiders
12	2nd Row	80:00	-	-	-	-	-	-	-	-	53	15	120	-	27	-	-	1	-	4	13	-	2.98s	-	-	-	2	-	6	18	0.4	86.49%	32	4	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	80:00	-	10	Dragons	Wests Tigers
12	2nd Row	80:00	4	1	-	-	-	-	-	-	53	13	139	-	50	-	-	-	-	3	13	-	3.5s	-	-	-	-	-	-	14	-	90%	27	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	-	-	-	80:00	-	11	Dragons	Cowboys
12	2nd Row	80:00	4	1	-	-	-	-	-	-	61	16	146	-	49	1	-	-	-	5	14	-	3.85s	-	-	-	-	-	6	20	0.38	90%	27	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	12	Dragons	Roosters
12	2nd Row	80:00	-	-	-	-	-	-	-	-	49	15	104	-	48	-	-	-	-	3	15	-	3.96s	-	-	-	-	-	-	15	-	93.02%	40	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	80:00	-	14	Dragons	Panthers
12	2nd Row	71:00	4	1	-	-	-	-	-	-	55	17	154	-	60	1	-	-	-	2	17	-	2.8s	-	-	-	4	1	-	17	-	82.35%	14	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	71:22	-	15	Dragons	Rabbitohs
12	2nd Row	80:00	-	-	-	-	-	-	-	-	28	9	81	-	41	-	-	-	-	-	9	-	3.87s	-	-	-	1	-	-	9	-	78.95%	30	6	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	17	Dragons	Warriors
12	2nd Row	78:00	-	-	-	-	-	-	-	-	38	10	77	-	22	-	-	-	-	1	9	-	3.32s	-	-	-	1	-	1	10	0.1	87.5%	35	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	77:36	-	18	Dragons	Sharks
