Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	Rabbitohs	Sharks
15	Interchange	34:00	-	-	-	-	-	-	-	-	13	3	39	-	22	-	-	-	-	1	3	-	3.44s	-	-	-	-	-	-	3	-	83.33%	20	4	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-	33:48	-	2	Rabbitohs	Panthers
18	Interchange	19:00	-	-	-	-	-	-	-	-	16	2	17	-	5	-	-	-	-	-	2	-	4.12s	-	-	-	-	-	-	2	-	93.33%	14	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	18:55	-	3	Rabbitohs	Roosters
17	Interchange	35:00	-	-	-	-	-	-	-	-	17	7	64	-	28	-	-	-	-	1	7	-	3.58s	-	-	-	-	-	-	7	-	68.18%	15	2	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	35:12	-	4	Rabbitohs	Sea Eagles
14	Interchange	25:00	-	-	-	-	-	-	-	-	37	6	52	-	16	-	-	-	-	1	6	-	3.94s	-	-	-	1	-	-	6	-	100%	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25:00	-	5	Rabbitohs	Storm
14	Interchange	28:00	-	-	-	-	-	-	-	-	18	4	41	-	10	1	-	1	-	1	2	-	4.37s	-	-	-	-	-	2	5	0.5	77.78%	7	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	28:00	-	6	Rabbitohs	Bulldogs
14	Interchange	19:00	-	-	-	-	-	-	-	-	11	4	44	-	20	-	-	-	-	1	3	-	3.31s	-	-	-	-	-	-	3	-	100%	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18:59	-	7	Rabbitohs	Dolphins
14	Interchange	24:00	-	-	-	-	-	-	-	-	9	4	47	-	20	-	-	-	-	-	4	-	2.14s	-	-	-	-	-	2	6	0.5	100%	7	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	23:56	-	8	Rabbitohs	Panthers
14	Interchange	25:00	-	-	-	-	-	-	-	-	14	6	45	-	30	-	-	-	-	2	5	-	3.71s	-	-	-	-	1	2	7	0.33	76.47%	13	2	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	1	-	-	-	-	25:00	-	9	Rabbitohs	Broncos
14	Interchange	11:00	-	-	-	-	-	-	-	-	10	5	66	-	34	-	-	-	-	-	5	-	4.52s	-	-	-	-	-	-	5	-	85.71%	6	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11:00	-	10	Rabbitohs	Storm
15	Interchange	03:00	-	-	-	-	-	-	-	-	3	1	15	-	8	-	-	-	-	-	1	-	3s	-	-	-	-	-	-	1	-	100%	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	03:00	-	11	Rabbitohs	Wests Tigers
14	Centre	79:00	4	1	-	-	-	-	-	-	32	9	106	4	29	1	-	-	-	2	-	-	3.57s	-	-	-	-	-	5	12	0.56	80%	16	3	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	78:43	-	13	Rabbitohs	Raiders
14	Interchange	23:00	-	-	-	-	-	-	-	-	31	4	35	-	15	-	-	-	-	1	3	-	2.76s	-	-	-	2	-	3	6	0.75	90.91%	20	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:00	-	15	Rabbitohs	Dragons
12	Interchange	25:00	-	-	-	-	-	-	-	-	26	4	40	-	18	-	-	-	-	-	4	-	3.6s	-	-	-	-	-	1	5	0.25	96%	24	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24:30	-	17	Rabbitohs	Cowboys
18	Replacement	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	Rabbitohs	Broncos
16	Interchange	22:00	-	-	-	-	-	-	-	-	10	2	15	-	3	-	-	-	-	-	2	-	4.36s	-	-	-	-	-	-	2	-	81.82%	9	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22:00	-	22	Rabbitohs	Wests Tigers
