Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
12	2nd Row	80:00	-	-	-	-	-	-	-	-	20	4	42	-	8	-	-	-	-	1	4	-	3.75s	-	-	-	-	-	-	5	-	86.67%	26	4	-	-	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	1	Cowboys	Raiders
12	2nd Row	80:00	8	2	-	-	-	-	-	-	40	4	31	6	5	1	-	-	-	3	2	-	3.84s	-	-	-	-	-	1	6	0.25	72.22%	26	8	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	2	Cowboys	Broncos
12	2nd Row	80:00	-	-	-	-	-	-	-	-	47	6	43	-	11	-	-	-	-	-	5	-	4.07s	-	-	-	2	-	4	10	0.67	88.1%	37	3	2	1	-	-	-	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-	-	80:00	-	3	Cowboys	Warriors
12	2nd Row	70:00	4	1	-	-	-	-	-	-	56	11	109	-	32	1	1	-	-	4	11	-	3.26s	-	-	-	2	-	1	12	0.09	78.13%	25	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	1	-	70:00	-	4	Cowboys	Titans
12	2nd Row	80:00	-	-	-	-	-	-	-	-	32	15	119	-	36	-	-	-	-	2	15	-	3.74s	-	-	-	-	-	1	16	0.07	92%	23	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	7	Cowboys	Warriors
12	2nd Row	65:00	-	-	-	-	-	-	-	-	19	7	69	-	29	-	-	-	-	4	6	-	3.23s	1	2	-	-	1	2	11	0.29	74.19%	23	8	-	-	-	-	-	-	-	-	-	-	-	-	2	3	-	1	-	-	-	-	-	38:01	26:44	8	Cowboys	Knights
12	2nd Row	73:00	-	-	-	-	-	-	-	-	20	11	81	-	26	-	-	-	-	-	11	-	3.96s	-	-	-	2	-	2	13	0.18	79.41%	27	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	1	1	-	73:00	-	9	Cowboys	Sharks
15	Interchange	53:00	4	1	-	-	-	-	-	-	38	12	118	-	31	1	-	-	-	1	9	-	3.7s	1	8	-	-	-	1	12	0.08	83.33%	15	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	53:00	-	14	Cowboys	Storm
21	2nd Row	80:00	-	-	-	-	-	-	-	-	58	14	182	-	61	1	2	-	-	5	13	-	3.81s	-	-	-	1	1	6	19	0.43	85.71%	24	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	17	Cowboys	Rabbitohs
12	2nd Row	80:00	4	1	-	-	-	-	-	-	81	21	226	-	86	-	-	-	-	9	19	-	4.12s	-	-	-	3	1	6	24	0.29	85.19%	23	3	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	18	Cowboys	Wests Tigers
12	2nd Row	66:00	4	1	-	-	-	-	-	-	47	11	95	-	33	1	-	-	-	-	10	-	3.3s	-	-	-	1	1	2	13	0.18	90.32%	28	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	-	-	-	65:50	-	20	Cowboys	Sea Eagles
12	2nd Row	41:00	-	-	-	-	-	-	-	-	30	5	37	-	16	-	1	-	-	1	5	-	4.42s	-	-	-	-	-	2	7	0.4	95%	19	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	41:14	-	21	Cowboys	Eels
