Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
9	Hooker	72:00	-	-	-	-	-	-	-	-	68	13	123	-	12	1	1	2	-	1	2	-	4.33s	10	109	-	-	3	110	116	8.46	93.02%	40	2	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	65:31	06:16	1	Dolphins	Roosters
9	Hooker	71:00	-	-	-	-	-	-	-	-	33	6	53	-	8	-	-	-	-	-	-	-	3.67s	6	53	-	-	2	88	94	14.67	97.62%	41	1	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	1	1	-	71:00	-	2	Dolphins	Raiders
9	Hooker	80:00	-	-	-	-	-	-	-	-	48	6	80	-	21	-	-	-	-	3	-	-	3.42s	6	80	-	-	1	83	92	13.83	97.06%	33	-	1	-	1	1	7	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	5	Dolphins	Dragons
9	Hooker	80:00	-	-	-	-	-	-	-	-	66	7	75	-	23	-	2	2	-	2	1	-	3.01s	6	63	-	-	1	86	94	12.29	93.18%	41	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80:00	-	6	Dolphins	Cowboys
9	Hooker	80:00	4	1	-	-	-	-	-	-	56	6	52	-	11	1	-	-	-	3	-	-	2.12s	6	52	-	-	1	94	99	15.67	88.89%	40	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	80:00	-	7	Dolphins	Rabbitohs
9	Hooker	80:00	-	-	-	-	-	-	-	-	39	5	58	-	11	-	1	1	-	-	1	-	3.85s	2	30	-	-	2	109	111	21.8	81.25%	39	4	5	-	-	-	-	-	-	-	-	-	-	-	1	1	-	1	-	-	-	-	-	80:00	-	8	Dolphins	Titans
9	Hooker	84:00	-	-	-	-	-	-	-	-	57	5	49	-	14	-	1	1	-	2	1	-	3.56s	4	39	-	-	1	88	90	17.6	84.85%	56	6	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	84:00	-	9	Dolphins	Raiders
9	Hooker	80:00	-	-	-	-	-	-	-	-	62	4	25	-	7	-	1	1	-	3	2	-	2.96s	2	10	-	1	3	119	123	29.75	93.75%	45	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	10	Dolphins	Sharks
9	Hooker	80:00	-	-	-	-	-	-	-	-	39	6	49	-	26	-	-	-	-	1	-	-	4.03s	6	49	-	-	7	83	89	13.83	86.54%	45	5	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	80:00	-	12	Dolphins	Storm
9	Hooker	80:00	-	-	-	-	-	-	-	-	62	3	47	-	6	1	1	1	-	1	-	-	2.44s	3	47	-	2	1	108	112	36	89.8%	44	4	1	-	-	1	8	1	-	1	-	-	-	-	-	1	-	2	-	-	-	-	-	80:00	-	13	Dolphins	Dragons
9	Hooker	41:00	-	-	-	-	-	-	-	-	24	1	17	-	4	-	-	-	-	-	-	-	5.84s	1	17	-	-	-	36	37	36	88%	22	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40:01	-	15	Dolphins	Sea Eagles
9	Hooker	80:00	4	1	-	-	-	-	-	-	46	8	69	-	14	1	-	-	-	3	1	-	3.38s	7	63	-	-	3	86	92	10.75	85%	34	5	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	80:00	-	18	Dolphins	Broncos
9	Hooker	80:00	-	-	-	-	-	-	-	-	60	7	66	-	24	1	1	-	-	4	3	-	3.77s	4	37	-	1	2	95	103	13.57	94.74%	36	1	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	2	-	-	-	-	-	80:00	-	22	Dolphins	Bulldogs
