Number	Position	Mins Played	Points	Tries	Conversions	Conversion Attempts	Penalty Goals	Goal Conversion Rate	1 Point Field Goals	2 Point Field Goals	Total Points	All Runs	All Run Metres	Kick Return Metres	Post Contact Metres	Line Breaks	Line Break Assists	Try Assists	Line Engaged Runs	Tackle Breaks	Hit Ups	Play The Ball	Average Play The Ball Speed	Dummy Half Runs	Dummy Half Run Metres	One on One Steal	Offloads	Dummy Passes	Passes	Receipts	Passes To Run Ratio	Tackle Efficiency	Tackles Made	Missed Tackles	Ineffective Tackles	Intercepts	Kicks Defused	Kicks	Kicking Metres	Forced Drop Outs	Bomb Kicks	Grubbers	40/20	20/40	Cross Field Kicks	Kicked Dead	Errors	Handling Errors	One on One Lost	Penalties	Ruck Infringements	Inside 10 Metres	On Report	Sin Bins	Send Offs	Stint One	Stint Two	Round	Team	Opposition
8	Prop	44:00	-	-	-	-	-	-	-	-	42	10	103	-	36	-	-	-	-	4	10	-	4.57s	-	-	-	2	-	-	10	-	80%	28	6	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23:41	20:01	1	Dolphins	Roosters
8	Prop	46:00	-	-	-	-	-	-	-	-	39	11	116	21	42	-	-	-	-	-	10	-	4.27s	-	-	1	-	-	-	11	-	87.18%	34	4	1	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	19:50	16:10	2	Dolphins	Raiders
8	Prop	52:00	-	-	-	-	-	-	-	-	37	13	128	31	33	-	-	1	-	-	11	-	3.68s	-	-	-	1	-	4	17	0.31	85.71%	24	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	23:17	29:00	3	Dolphins	Knights
8	Prop	48:00	-	-	-	-	-	-	-	-	37	15	158	20	54	-	-	-	-	1	12	-	3.55s	-	-	-	1	-	2	16	0.13	90%	18	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19:42	27:32	4	Dolphins	Broncos
8	Prop	54:00	-	-	-	-	-	-	-	-	33	10	86	-	32	-	-	-	-	-	10	-	3.24s	-	-	-	-	-	3	13	0.3	87.88%	29	1	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	24:20	29:43	5	Dolphins	Dragons
8	Prop	51:00	-	-	-	-	-	-	-	-	53	11	101	9	34	-	-	-	-	1	10	-	3.04s	-	-	-	1	-	1	12	0.09	93.18%	41	1	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	19:27	32:15	7	Dolphins	Rabbitohs
8	Prop	40:00	-	-	-	-	-	-	-	-	30	8	89	-	40	-	-	-	-	1	8	-	4.07s	-	-	-	-	-	1	9	0.13	95.83%	23	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	22:25	17:47	8	Dolphins	Titans
8	Prop	51:00	4	1	-	-	-	-	-	-	53	9	103	35	38	1	-	-	-	2	6	-	3.86s	-	-	-	-	-	4	13	0.44	84.09%	37	4	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	22:56	28:26	9	Dolphins	Raiders
8	Prop	28:00	-	-	-	-	-	-	-	-	16	8	55	13	22	-	-	-	-	1	6	-	4.42s	-	-	-	-	-	1	9	0.13	92.86%	13	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	21:23	07:15	12	Dolphins	Storm
8	Prop	50:00	-	-	-	-	-	-	-	-	31	11	115	21	43	-	-	-	-	-	9	-	3.86s	-	-	-	-	-	3	15	0.27	86.49%	32	5	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-	21:27	16:27	13	Dolphins	Dragons
